,date,hour,type,前门
1956,20140417,6,PM2.5,85.0
1962,20140417,7,PCA,34.701557427938205
1962,20140417,7,PM2.5,83.0
1968,20140417,8,PCA,34.5410998672921
1968,20140417,8,PM2.5,86.0
1974,20140417,9,PCA,34.06303599879653
1974,20140417,9,PM2.5,90.0
1980,20140417,10,PCA,28.136378136740877
1980,20140417,10,PM2.5,85.0
1986,20140417,11,PCA,22.888383838619703
1986,20140417,11,PM2.5,85.0
1992,20140417,12,PCA,2.0599278171966735
1992,20140417,12,PM2.5,62.0
1998,20140417,13,PCA,-0.5735699687001589
1998,20140417,13,PM2.5,70.0
2004,20140417,14,PCA,2.0896009967381577
2004,20140417,14,PM2.5,79.0
2010,20140417,15,PCA,4.017730005509271
2010,20140417,15,PM2.5,83.0
2016,20140417,16,PCA,12.923786625894575
2016,20140417,16,PM2.5,86.0
2022,20140417,17,PCA,29.313692203192502
2022,20140417,17,PM2.5,92.0
2028,20140417,18,PCA,41.49559303891913
2028,20140417,18,PM2.5,102.0
2034,20140417,19,PCA,51.20712929224544
2034,20140417,19,PM2.5,107.0
2040,20140417,20,PCA,81.9104566664602
2040,20140417,20,PM2.5,138.0
2046,20140417,21,PCA,71.78650346045653
2046,20140417,21,PM2.5,110.0
2052,20140417,22,PCA,80.97973843709157
2052,20140417,22,PM2.5,113.0
2058,20140417,23,PCA,110.23461539195871
2058,20140417,23,PM2.5,145.0
2064,20140418,0,PCA,95.790763774938
2064,20140418,0,PM2.5,129.0
2070,20140418,1,PCA,98.10297818528343
2070,20140418,1,PM2.5,126.0
2076,20140418,2,PCA,98.21764358033758
2076,20140418,2,PM2.5,125.0
2082,20140418,3,PCA,90.90827739716852
2082,20140418,3,PM2.5,123.0
2088,20140418,4,PCA,86.52858043094449
2088,20140418,4,PM2.5,121.0
2094,20140418,5,PCA,90.35016802304729
2094,20140418,5,PM2.5,127.0
2100,20140418,6,PCA,89.40223712626234
2100,20140418,6,PM2.5,127.0
2106,20140418,7,PCA,117.06857994347747
2106,20140418,7,PM2.5,156.0
2112,20140418,8,PCA,102.43942992246289
2112,20140418,8,PM2.5,129.0
2118,20140418,9,PCA,105.11546343245347
2118,20140418,9,PM2.5,129.0
2124,20140418,10,PCA,150.56488398873455
2124,20140418,10,PM2.5,178.0
2130,20140418,11,PCA,138.57952632970165
2130,20140418,11,PM2.5,162.0
2136,20140418,12,PCA,169.49257636031822
2136,20140418,12,PM2.5,192.0
2286,20140419,13,PCA,-22.29001723124819
2286,20140419,13,PM2.5,54.0
2292,20140419,14,PCA,-36.3072502162942
2292,20140419,14,PM2.5,42.0
2298,20140419,15,PCA,-44.70737919009288
2298,20140419,15,PM2.5,34.0
2304,20140419,16,PCA,-35.64732325420921
2304,20140419,16,PM2.5,50.0
2310,20140419,17,PCA,-43.481651134705544
2310,20140419,17,PM2.5,43.0
2316,20140419,18,PCA,-42.41275530485567
2316,20140419,18,PM2.5,46.0
2322,20140419,19,PCA,-25.3405978060213
2322,20140419,19,PM2.5,60.0
