,date,hour,type,永乐店
1272,20140412,12,PCA,-27.33103733941193
1272,20140412,12,PM2.5,53.0
1278,20140412,13,PCA,0.17864458104297368
1278,20140412,13,PM2.5,89.0
1284,20140412,14,PCA,0.09884611118524059
1284,20140412,14,PM2.5,90.0
1290,20140412,15,PCA,2.1661887220227345
1290,20140412,15,PM2.5,89.0
1296,20140412,16,PCA,28.102171728056025
1296,20140412,16,PM2.5,116.0
1302,20140412,17,PCA,26.108576959775267
1302,20140412,17,PM2.5,110.0
1308,20140412,18,PCA,29.87939593543693
1308,20140412,18,PM2.5,113.0
1314,20140412,19,PCA,9.265851686622954
1314,20140412,19,PM2.5,82.0
1320,20140412,20,PCA,-5.120843985911035
1320,20140412,20,PM2.5,59.0
1326,20140412,21,PCA,8.77583287047438
1326,20140412,21,PM2.5,71.0
1332,20140412,22,PCA,30.73490824847865
1332,20140412,22,PM2.5,88.0
1338,20140412,23,PCA,39.74794081879617
1338,20140412,23,PM2.5,93.0
1344,20140413,0,PCA,43.97883753749006
1344,20140413,0,PM2.5,100.0
1350,20140413,1,PCA,47.95031116487366
1350,20140413,1,PM2.5,108.0
1356,20140413,2,PCA,53.80365147091823
1356,20140413,2,PM2.5,117.0
1362,20140413,3,PCA,54.891535999349536
1362,20140413,3,PM2.5,120.0
1368,20140413,4,PCA,54.85079562311188
1368,20140413,4,PM2.5,122.0
1374,20140413,5,PCA,59.44903232380792
1374,20140413,5,PM2.5,130.0
1380,20140413,6,PCA,60.13078420188733
1380,20140413,6,PM2.5,131.0
1386,20140413,7,PCA,65.02500886392592
1386,20140413,7,PM2.5,138.0
1392,20140413,8,PCA,77.45159083171978
1392,20140413,8,PM2.5,153.0
1398,20140413,9,PCA,103.33057622241802
1398,20140413,9,PM2.5,189.0
1404,20140413,10,PCA,117.29844685349113
1404,20140413,10,PM2.5,209.0
1410,20140413,11,PCA,97.4921890022563
1410,20140413,11,PM2.5,185.0
1416,20140413,12,PCA,102.16463245792526
1416,20140413,12,PM2.5,196.0
1422,20140413,13,PCA,83.54116866104431
1422,20140413,13,PM2.5,172.0
1428,20140413,14,PCA,66.76755425405821
1428,20140413,14,PM2.5,152.0
1434,20140413,15,PCA,71.35000932738377
1434,20140413,15,PM2.5,165.0
1440,20140413,16,PCA,65.0822157697817
1440,20140413,16,PM2.5,156.0
1446,20140413,17,PCA,57.81462026045726
1446,20140413,17,PM2.5,145.0
1452,20140413,18,PCA,54.47515204800655
1452,20140413,18,PM2.5,137.0
1458,20140413,19,PCA,114.38880613014024
1458,20140413,19,PM2.5,207.0
1464,20140413,20,PCA,131.07013685160786
1464,20140413,20,PM2.5,210.0
1470,20140413,21,PCA,158.19962253284888
1470,20140413,21,PM2.5,225.0
1476,20140413,22,PCA,168.8532845760831
1476,20140413,22,PM2.5,229.0
1482,20140413,23,PCA,149.2534227288349
1482,20140413,23,PM2.5,199.0
1488,20140414,0,PCA,161.25619390753886
1488,20140414,0,PM2.5,203.0
1494,20140414,1,PCA,167.95026587521465
1494,20140414,1,PM2.5,206.0
1500,20140414,2,PCA,180.3866467885455
1500,20140414,2,PM2.5,215.0
1506,20140414,3,PCA,181.51904245308833
