,date,hour,type,天坛
1092,20140411,6,PM2.5,82.0
1098,20140411,7,PCA,39.77951769445469
1098,20140411,7,PM2.5,51.0
1104,20140411,8,PCA,26.858249909870132
1104,20140411,8,PM2.5,44.0
1110,20140411,9,PCA,14.950963854859058
1110,20140411,9,PM2.5,36.0
1116,20140411,10,PCA,28.18384876705064
1116,20140411,10,PM2.5,51.0
1122,20140411,11,PCA,26.032841401953018
1122,20140411,11,PM2.5,50.0
1128,20140411,12,PCA,6.526765775833486
1128,20140411,12,PM2.5,48.0
1134,20140411,13,PCA,-5.661797078847348
1134,20140411,13,PM2.5,44.0
1140,20140411,14,PCA,-25.190505345836907
1140,20140411,14,PM2.5,31.0
1146,20140411,15,PCA,-21.92069611510198
1146,20140411,15,PM2.5,43.0
1152,20140411,16,PCA,-27.017313808155894
1152,20140411,16,PM2.5,41.0
1158,20140411,17,PCA,-24.010907356976656
1158,20140411,17,PM2.5,48.0
1164,20140411,18,PCA,-26.44979655695111
1164,20140411,18,PM2.5,45.0
1170,20140411,19,PCA,-10.951979885777249
1170,20140411,19,PM2.5,65.0
1176,20140411,20,PCA,-12.775621751155754
1176,20140411,20,PM2.5,58.0
1182,20140411,21,PCA,-13.88652672176509
1182,20140411,21,PM2.5,58.0
1188,20140411,22,PCA,8.320158181780327
1188,20140411,22,PM2.5,73.0
1194,20140411,23,PCA,20.851212409615297
1194,20140411,23,PM2.5,86.0
1200,20140412,0,PCA,10.845460259211036
1200,20140412,0,PM2.5,74.0
1206,20140412,1,PCA,12.202177960379254
1206,20140412,1,PM2.5,78.0
1212,20140412,2,PCA,14.11150489828374
1212,20140412,2,PM2.5,79.0
1218,20140412,3,PCA,16.574063544992306
1218,20140412,3,PM2.5,83.0
1224,20140412,4,PCA,14.699087009570006
1224,20140412,4,PM2.5,82.0
1230,20140412,5,PCA,22.98483478324327
1230,20140412,5,PM2.5,95.0
1236,20140412,6,PCA,13.566077498017368
1236,20140412,6,PM2.5,82.0
1242,20140412,7,PCA,21.578014920345243
1242,20140412,7,PM2.5,90.0
1248,20140412,8,PCA,45.06815872722755
1248,20140412,8,PM2.5,109.0
1254,20140412,9,PCA,65.40974803054397
1254,20140412,9,PM2.5,128.0
1260,20140412,10,PCA,68.63127678693243
1260,20140412,10,PM2.5,127.0
1266,20140412,11,PCA,52.446365719538164
1266,20140412,11,PM2.5,115.0
1272,20140412,12,PCA,17.023112956116538
1272,20140412,12,PM2.5,83.0
1278,20140412,13,PCA,5.159431192386772
1278,20140412,13,PM2.5,76.0
1284,20140412,14,PCA,10.046140573247154
1284,20140412,14,PM2.5,86.0
1290,20140412,15,PCA,13.268788459000783
1290,20140412,15,PM2.5,84.0
1296,20140412,16,PCA,18.171171837135418
1296,20140412,16,PM2.5,88.0
1302,20140412,17,PCA,26.90408489314198
1302,20140412,17,PM2.5,96.0
1308,20140412,18,PCA,61.06108592903476
1308,20140412,18,PM2.5,139.0
1314,20140412,19,PCA,60.42556803609303
1314,20140412,19,PM2.5,134.0
1320,20140412,20,PCA,44.77490534663644
1320,20140412,20,PM2.5,105.0
1326,20140412,21,PCA,53.7117466585502
1326,20140412,21,PM2.5,107.0
1332,20140412,22,PCA,63.24763618619226
1332,20140412,22,PM2.5,98.0
1338,20140412,23,PCA,61.1371754623717
1338,20140412,23,PM2.5,92.0
1344,20140413,0,PCA,58.66959168296857
1344,20140413,0,PM2.5,98.0
1350,20140413,1,PCA,73.15471266121511
1350,20140413,1,PM2.5,121.0
1356,20140413,2,PCA,78.26208610330826
1356,20140413,2,PM2.5,128.0
1362,20140413,3,PCA,68.55287033558685
1362,20140413,3,PM2.5,111.0
1368,20140413,4,PCA,76.7819044718811
1368,20140413,4,PM2.5,118.0
1374,20140413,5,PCA,95.25151371034457
1374,20140413,5,PM2.5,146.0
1380,20140413,6,PCA,97.3413517109335
1380,20140413,6,PM2.5,147.0
1386,20140413,7,PCA,83.8694434303076
1386,20140413,7,PM2.5,124.0
1392,20140413,8,PCA,113.7871004853055
1392,20140413,8,PM2.5,149.0
1398,20140413,9,PCA,134.87078017445617
1398,20140413,9,PM2.5,174.0
1404,20140413,10,PCA,143.45621585953097
1404,20140413,10,PM2.5,183.0
1410,20140413,11,PCA,162.41253892625915
1410,20140413,11,PM2.5,207.0
1416,20140413,12,PCA,139.43731126256904
1416,20140413,12,PM2.5,186.0
1422,20140413,13,PCA,143.17896468359828
1422,20140413,13,PM2.5,204.0
1428,20140413,14,PCA,109.17586591803949
1428,20140413,14,PM2.5,165.0
1434,20140413,15,PCA,96.41644111028796
1434,20140413,15,PM2.5,148.0
1440,20140413,16,PCA,114.0813188963753
1440,20140413,16,PM2.5,170.0
1446,20140413,17,PCA,122.08025841859283
1446,20140413,17,PM2.5,176.0
1452,20140413,18,PCA,105.97646186711432
1452,20140413,18,PM2.5,150.0
1458,20140413,19,PCA,125.59322521749503
1458,20140413,19,PM2.5,170.0
1464,20140413,20,PCA,103.94252242758407
1464,20140413,20,PM2.5,132.0
1470,20140413,21,PCA,124.39997635110501
1470,20140413,21,PM2.5,146.0
1476,20140413,22,PCA,127.09983012600138
1476,20140413,22,PM2.5,135.0
1482,20140413,23,PCA,151.1554224149601
1482,20140413,23,PM2.5,156.0
1488,20140414,0,PCA,211.181903749475
1488,20140414,0,PM2.5,217.0
1494,20140414,1,PCA,210.11748171798502
1494,20140414,1,PM2.5,217.0
1500,20140414,2,PCA,218.343583859965
1500,20140414,2,PM2.5,230.0
1506,20140414,3,PCA,205.53716679404874
1506,20140414,3,PM2.5,210.0
1512,20140414,4,PCA,212.93789820430038
1512,20140414,4,PM2.5,218.0
1518,20140414,5,PCA,230.23327412326944
1518,20140414,5,PM2.5,245.0
1524,20140414,6,PCA,215.33934293499536
1524,20140414,6,PM2.5,226.0
1530,20140414,7,PCA,190.55188933605115
1530,20140414,7,PM2.5,188.0
1536,20140414,8,PCA,200.03165256306323
1536,20140414,8,PM2.5,192.0
1542,20140414,9,PCA,223.78821997755256
1542,20140414,9,PM2.5,220.0
