,date,hour,type,万寿西宫
6582,20140525,1,PCA,22.41104105875793
6582,20140525,1,PM2.5,88.4
6588,20140525,2,PCA,28.626394312107816
6588,20140525,2,PM2.5,95.5
6594,20140525,3,PCA,31.07171225448207
6594,20140525,3,PM2.5,103.6
6600,20140525,4,PCA,49.3222956164939
6600,20140525,4,PM2.5,121.5
6606,20140525,5,PCA,52.15083383335647
6606,20140525,5,PM2.5,129.2
6612,20140525,6,PCA,61.95026819604205
6612,20140525,6,PM2.5,138.9
6618,20140525,7,PCA,67.60784902389189
6618,20140525,7,PM2.5,140.0
6624,20140525,8,PCA,80.60679975377373
6624,20140525,8,PM2.5,146.0
6630,20140525,9,PCA,88.76445504015376
6630,20140525,9,PM2.5,151.8
6636,20140525,10,PCA,66.23716265508213
6636,20140525,10,PM2.5,129.5
6642,20140525,11,PCA,56.71297810603332
6642,20140525,11,PM2.5,123.7
6648,20140525,12,PCA,21.034437217996498
6648,20140525,12,PM2.5,74.8
6654,20140525,13,PCA,-13.302270039190352
6654,20140525,13,PM2.5,28.9
6660,20140525,14,PCA,-32.47773107736887
6660,20140525,14,PM2.5,3.7
6666,20140525,15,PCA,-27.5897471840802
6666,20140525,15,PM2.5,14.7
6672,20140525,16,PCA,-32.79238418058045
6672,20140525,16,PM2.5,10.4
6678,20140525,17,PCA,-39.130290613082686
6678,20140525,17,PM2.5,5.2
6684,20140525,18,PCA,-36.605949721291815
6684,20140525,18,PM2.5,12.7
6690,20140525,19,PCA,-39.84296838918335
6690,20140525,19,PM2.5,9.8
6696,20140525,20,PCA,-35.301863120686626
6696,20140525,20,PM2.5,15.2
6702,20140525,21,PCA,-47.726795517103135
6702,20140525,21,PM2.5,3.0
6708,20140525,22,PCA,-42.65308401077126
6708,20140525,22,PM2.5,10.5
6714,20140525,23,PCA,-41.49277733872091
6714,20140525,23,PM2.5,13.1
6720,20140526,0,PCA,-47.490391598740075
6720,20140526,0,PM2.5,6.1
6726,20140526,1,PCA,-42.485351331426074
6726,20140526,1,PM2.5,10.8
6732,20140526,2,PCA,-37.131622550345064
6732,20140526,2,PM2.5,13.8
6738,20140526,3,PCA,-38.282361679431325
6738,20140526,3,PM2.5,11.2
6744,20140526,4,PCA,-31.96112372029557
6744,20140526,4,PM2.5,23.7
6750,20140526,5,PCA,-29.803947991900564
6750,20140526,5,PM2.5,27.8
6756,20140526,6,PCA,-27.76151890204751
6756,20140526,6,PM2.5,31.9
6762,20140526,7,PCA,-32.37762053390752
6762,20140526,7,PM2.5,25.2
6768,20140526,8,PCA,-41.248452260558565
6768,20140526,8,PM2.5,21.9
6774,20140526,9,PCA,-43.219219402410324
6774,20140526,9,PM2.5,22.8
6780,20140526,10,PCA,-53.7176741224966
6780,20140526,10,PM2.5,15.1
6786,20140526,11,PCA,-65.80445931808636
6786,20140526,11,PM2.5,13.2
6792,20140526,12,PCA,-71.60442062066706
6792,20140526,12,PM2.5,17.2
6798,20140526,13,PCA,-69.01123114802397
6798,20140526,13,PM2.5,25.3
6804,20140526,14,PCA,-68.7537490145496
6804,20140526,14,PM2.5,24.9
6810,20140526,15,PCA,-64.09963255062625
6810,20140526,15,PM2.5,29.4
6816,20140526,16,PCA,-59.91433954462692
6816,20140526,16,PM2.5,30.8
6822,20140526,17,PCA,-55.038359930359746
6822,20140526,17,PM2.5,31.3
6828,20140526,18,PCA,-56.12629198314856
6828,20140526,18,PM2.5,23.8
6834,20140526,19,PCA,-51.673361369931136
6834,20140526,19,PM2.5,28.1
6840,20140526,20,PCA,-38.87258795596054
6840,20140526,20,PM2.5,24.9
6846,20140526,21,PCA,-10.701535093253085
6846,20140526,21,PM2.5,45.2
6852,20140526,22,PCA,-4.602293048015817
6852,20140526,22,PM2.5,52.3
6858,20140526,23,PCA,-20.431442886913754
6858,20140526,23,PM2.5,34.8
6864,20140527,0,PCA,-24.982598274126723
6864,20140527,0,PM2.5,26.4
6870,20140527,1,PCA,-17.97990369536437
6870,20140527,1,PM2.5,35.9
6876,20140527,2,PCA,-12.794523171810907
6876,20140527,2,PM2.5,44.5
6882,20140527,3,PCA,-11.806733468176288
6882,20140527,3,PM2.5,44.6
6888,20140527,4,PCA,-18.211440642801158
6888,20140527,4,PM2.5,39.6
6894,20140527,5,PCA,-24.612503048123447
6894,20140527,5,PM2.5,34.9
6900,20140527,6,PCA,-21.403757560445108
6900,20140527,6,PM2.5,31.7
6906,20140527,7,PCA,2.6200478286009057
6906,20140527,7,PM2.5,75.0
6912,20140527,8,PCA,21.231891004784426
6912,20140527,8,PM2.5,105.7
6918,20140527,9,PCA,15.693978529641385
6918,20140527,9,PM2.5,101.1
6924,20140527,10,PCA,-16.40153115400472
6924,20140527,10,PM2.5,60.4
6930,20140527,11,PCA,-41.50857518526128
6930,20140527,11,PM2.5,23.9
6936,20140527,12,PCA,-50.405770592946794
6936,20140527,12,PM2.5,11.0
6942,20140527,13,PCA,-49.789505635563906
6942,20140527,13,PM2.5,11.0
6948,20140527,14,PCA,-49.63455515707804
6948,20140527,14,PM2.5,11.4
6954,20140527,15,PCA,-42.81142654824767
6954,20140527,15,PM2.5,17.4
6960,20140527,16,PCA,-45.54788407219045
6960,20140527,16,PM2.5,11.1
6966,20140527,17,PCA,-45.13564639198818
6966,20140527,17,PM2.5,11.1
6972,20140527,18,PCA,-47.0191611053067
6972,20140527,18,PM2.5,11.4
6978,20140527,19,PCA,-46.616841808574
6978,20140527,19,PM2.5,12.7
6984,20140527,20,PCA,-45.420892726925565
6984,20140527,20,PM2.5,12.7
6990,20140527,21,PCA,-38.89485461770766
6990,20140527,21,PM2.5,14.5
6996,20140527,22,PCA,-24.44915399630845
6996,20140527,22,PM2.5,19.8
7002,20140527,23,PCA,-19.671390352643648
7002,20140527,23,PM2.5,20.4
7008,20140528,0,PCA,-18.911876050340936
7008,20140528,0,PM2.5,17.9
7014,20140528,1,PCA,-13.76736665451283
7014,20140528,1,PM2.5,23.5
7020,20140528,2,PCA,-13.300977528842688
7020,20140528,2,PM2.5,27.0
7026,20140528,3,PCA,-10.496169837010497
7026,20140528,3,PM2.5,31.9
7032,20140528,4,PCA,-9.422075464372368
7032,20140528,4,PM2.5,32.8
7038,20140528,5,PCA,-7.7661567208010664
7038,20140528,5,PM2.5,35.5
7044,20140528,6,PCA,-13.355638169831417
7044,20140528,6,PM2.5,30.1
7050,20140528,7,PCA,-8.524589848848379
7050,20140528,7,PM2.5,38.3
7056,20140528,8,PCA,3.8762865731519227
7056,20140528,8,PM2.5,49.6
7062,20140528,9,PCA,-15.858714957096227
7062,20140528,9,PM2.5,35.3
7068,20140528,10,PCA,-46.07009451615136
7068,20140528,10,PM2.5,21.2
7074,20140528,11,PCA,-57.93741804280163
7074,20140528,11,PM2.5,19.6
7080,20140528,12,PCA,-66.30344672931022
7080,20140528,12,PM2.5,15.8
7086,20140528,13,PCA,-59.20747332560408
7086,20140528,13,PM2.5,24.5
7092,20140528,14,PCA,-41.08446667845681
7092,20140528,14,PM2.5,28.6
7098,20140528,15,PCA,-48.917291035177165
7098,20140528,15,PM2.5,28.4
7104,20140528,16,PCA,-42.91834412382622
7104,20140528,16,PM2.5,34.1
7110,20140528,17,PCA,-43.27468545674572
7110,20140528,17,PM2.5,38.2
7116,20140528,18,PCA,-56.41813665704038
7116,20140528,18,PM2.5,29.1
7122,20140528,19,PCA,-56.07536681302433
7122,20140528,19,PM2.5,24.5
7128,20140528,20,PCA,-48.08251394375687
7128,20140528,20,PM2.5,34.4
7134,20140528,21,PCA,-46.28856610421752
7134,20140528,21,PM2.5,31.9
7140,20140528,22,PCA,-35.27095090336202
7140,20140528,22,PM2.5,39.0
7146,20140528,23,PCA,-30.436588073574562
7146,20140528,23,PM2.5,42.4
7152,20140529,0,PCA,-32.779639360482356
7152,20140529,0,PM2.5,38.2
7158,20140529,1,PCA,-32.08940278572444
7158,20140529,1,PM2.5,37.0
7164,20140529,2,PCA,-22.17965168190897
7164,20140529,2,PM2.5,50.5
7170,20140529,3,PCA,-28.03878724692275
7170,20140529,3,PM2.5,40.8
7176,20140529,4,PCA,-20.152967499077338
7176,20140529,4,PM2.5,45.0
7182,20140529,5,PCA,-18.282271482199725
7182,20140529,5,PM2.5,44.1
7188,20140529,6,PCA,-1.2142847029069916
7188,20140529,6,PM2.5,51.7
7194,20140529,7,PCA,1.5188014200663806
7194,20140529,7,PM2.5,55.2
7200,20140529,8,PCA,22.19042356281519
7200,20140529,8,PM2.5,70.1
7206,20140529,9,PCA,10.93965254758133
7206,20140529,9,PM2.5,64.1
7212,20140529,10,PCA,1.7510073975934188
7212,20140529,10,PM2.5,61.3
7218,20140529,11,PCA,-18.610257210107708
7218,20140529,11,PM2.5,46.6
7224,20140529,12,PCA,-30.388376163789907
7224,20140529,12,PM2.5,43.5
7230,20140529,13,PCA,-39.07540199860276
7230,20140529,13,PM2.5,29.1
7236,20140529,14,PCA,-44.9096084769155
7236,20140529,14,PM2.5,20.8
7242,20140529,15,PCA,-54.72747417379653
7242,20140529,15,PM2.5,17.1
7248,20140529,16,PCA,-53.69930369421359
7248,20140529,16,PM2.5,18.8
7254,20140529,17,PCA,-24.48030737655378
7254,20140529,17,PM2.5,31.2
7260,20140529,18,PCA,-50.1691912467579
7260,20140529,18,PM2.5,25.3
7266,20140529,19,PCA,-39.59894894905544
7266,20140529,19,PM2.5,28.1
7272,20140529,20,PCA,-22.32695255629679
7272,20140529,20,PM2.5,40.8
7278,20140529,21,PCA,7.340011850375653
7278,20140529,21,PM2.5,56.8
7284,20140529,22,PCA,13.184602117006776
7284,20140529,22,PM2.5,60.3
7290,20140529,23,PCA,4.559805562812852
7290,20140529,23,PM2.5,52.2
7296,20140530,0,PCA,9.095747531041185
7296,20140530,0,PM2.5,52.8
7302,20140530,1,PCA,22.214411211758506
7302,20140530,1,PM2.5,58.9
7308,20140530,2,PCA,26.637532444926798
7308,20140530,2,PM2.5,70.6
7314,20140530,3,PCA,12.189160441817684
7314,20140530,3,PM2.5,83.6
7320,20140530,4,PCA,18.496465330436603
7320,20140530,4,PM2.5,106.0
7326,20140530,5,PCA,27.86946564670733
7326,20140530,5,PM2.5,105.5
7332,20140530,6,PCA,22.34411748760649
7332,20140530,6,PM2.5,91.2
7338,20140530,7,PCA,15.977252874463222
7338,20140530,7,PM2.5,95.4
7344,20140530,8,PCA,15.905448522815007
7344,20140530,8,PM2.5,93.7
7350,20140530,9,PCA,19.983595370217916
7350,20140530,9,PM2.5,94.1
7356,20140530,10,PCA,12.506026617935802
7356,20140530,10,PM2.5,94.1
7362,20140530,11,PCA,30.493150114297638
7362,20140530,11,PM2.5,109.4
7368,20140530,12,PCA,46.135885510759515
7368,20140530,12,PM2.5,118.0
7374,20140530,13,PCA,47.134793686442165
7374,20140530,13,PM2.5,118.4
7380,20140530,14,PCA,49.575914939086985
7380,20140530,14,PM2.5,113.6
7386,20140530,15,PCA,49.722807733074845
7386,20140530,15,PM2.5,108.8
7392,20140530,16,PCA,49.132547675085135
7392,20140530,16,PM2.5,110.4
7398,20140530,17,PCA,41.5454422241154
7398,20140530,17,PM2.5,104.0
7404,20140530,18,PCA,26.93800990558641
7404,20140530,18,PM2.5,96.1
7410,20140530,19,PCA,21.647869424268652
7410,20140530,19,PM2.5,95.3
7416,20140530,20,PCA,15.273259337318216
7416,20140530,20,PM2.5,94.5
7422,20140530,21,PCA,16.107562451089365
7422,20140530,21,PM2.5,89.1
7428,20140530,22,PCA,20.10584888932936
7428,20140530,22,PM2.5,88.9
7434,20140530,23,PCA,22.89173523648955
7434,20140530,23,PM2.5,83.8
7440,20140531,0,PCA,25.70192006355529
7440,20140531,0,PM2.5,82.3
7446,20140531,1,PCA,23.217668285976895
7446,20140531,1,PM2.5,74.9
7452,20140531,2,PCA,21.90292631839547
7452,20140531,2,PM2.5,77.5
7458,20140531,3,PCA,22.513059589011185
7458,20140531,3,PM2.5,76.0
7464,20140531,4,PCA,26.091119986882934
7464,20140531,4,PM2.5,75.8
7470,20140531,5,PCA,36.766818414006856
7470,20140531,5,PM2.5,85.6
7476,20140531,6,PCA,46.937680180314906
7476,20140531,6,PM2.5,87.9
7482,20140531,7,PCA,47.32973332428304
7482,20140531,7,PM2.5,92.5
7488,20140531,8,PCA,58.61935835093542
7488,20140531,8,PM2.5,102.9
7494,20140531,9,PCA,61.44513399521102
7494,20140531,9,PM2.5,102.8
7500,20140531,10,PCA,63.401900920232585
7500,20140531,10,PM2.5,104.9
7506,20140531,11,PCA,61.36962518247849
7506,20140531,11,PM2.5,112.9
7512,20140531,12,PCA,63.64213351862059
7512,20140531,12,PM2.5,123.3
7518,20140531,13,PCA,70.63316855391462
7518,20140531,13,PM2.5,140.9
7524,20140531,14,PCA,61.25316941364774
7524,20140531,14,PM2.5,140.2
7530,20140531,15,PCA,61.61695139856039
7530,20140531,15,PM2.5,135.1
7536,20140531,16,PCA,64.66241260645637
7536,20140531,16,PM2.5,138.2
7542,20140531,17,PCA,55.704021239027156
7542,20140531,17,PM2.5,134.0
7548,20140531,18,PCA,54.72105227230839
7548,20140531,18,PM2.5,132.0
7554,20140531,19,PCA,61.89913869691655
7554,20140531,19,PM2.5,138.8
7560,20140531,20,PCA,73.71245341953797
7560,20140531,20,PM2.5,143.5
7566,20140531,21,PCA,78.90979524660386
7566,20140531,21,PM2.5,143.3
7572,20140531,22,PCA,46.948072362144416
7572,20140531,22,PM2.5,105.7
7578,20140531,23,PCA,17.21590193985305
7578,20140531,23,PM2.5,67.3
7584,20140601,0,PCA,16.751123168164103
7584,20140601,0,PM2.5,66.6
7590,20140601,1,PCA,16.622419165140492
7590,20140601,1,PM2.5,64.8
7596,20140601,2,PCA,15.564087247097923
7596,20140601,2,PM2.5,61.0
7602,20140601,3,PCA,1.9069963562668655
7602,20140601,3,PM2.5,48.6
7608,20140601,4,PCA,-2.114089017448559
7608,20140601,4,PM2.5,42.8
7614,20140601,5,PCA,-3.575347625430075
7614,20140601,5,PM2.5,39.7
7620,20140601,6,PCA,-9.48997924756186
7620,20140601,6,PM2.5,35.7
7626,20140601,7,PCA,-6.431458776294262
7626,20140601,7,PM2.5,39.7
7632,20140601,8,PCA,-4.181031756691628
7632,20140601,8,PM2.5,41.3
7638,20140601,9,PCA,-8.943154379539417
7638,20140601,9,PM2.5,37.2
7644,20140601,10,PCA,-14.155718577077568
7644,20140601,10,PM2.5,31.8
7650,20140601,11,PCA,-26.53251242480081
7650,20140601,11,PM2.5,25.0
7656,20140601,12,PCA,-31.698479086816498
7656,20140601,12,PM2.5,25.3
7662,20140601,13,PCA,-38.61550935814447
7662,20140601,13,PM2.5,24.7
7668,20140601,14,PCA,-41.22274282939457
7668,20140601,14,PM2.5,31.5
7674,20140601,15,PCA,-40.02609767009328
7674,20140601,15,PM2.5,33.4
7680,20140601,16,PCA,-44.14047386221867
7680,20140601,16,PM2.5,34.3
7686,20140601,17,PCA,-42.40737593092736
7686,20140601,17,PM2.5,39.0
7692,20140601,18,PCA,-24.458645927713313
7692,20140601,18,PM2.5,69.7
7698,20140601,19,PCA,-42.75557393733194
7698,20140601,19,PM2.5,40.6
7704,20140601,20,PCA,-37.63008538587384
7704,20140601,20,PM2.5,46.0
7710,20140601,21,PCA,-28.29882481263367
7710,20140601,21,PM2.5,57.3
7716,20140601,22,PCA,-37.84082988153986
7716,20140601,22,PM2.5,53.0
7722,20140601,23,PCA,-37.78777614657268
7722,20140601,23,PM2.5,52.5
7728,20140602,0,PCA,-35.128155819620865
7728,20140602,0,PM2.5,56.2
7734,20140602,1,PCA,-37.44515375715075
7734,20140602,1,PM2.5,51.3
7740,20140602,2,PCA,-37.71615582938532
7740,20140602,2,PM2.5,47.7
7746,20140602,3,PCA,-38.05618951623855
7746,20140602,3,PM2.5,46.0
7752,20140602,4,PCA,-64.51779613355394
7752,20140602,4,PM2.5,22.0
7758,20140602,5,PCA,-76.90289692745996
7758,20140602,5,PM2.5,12.3
7764,20140602,6,PCA,-78.38695809566208
7764,20140602,6,PM2.5,12.3
7770,20140602,7,PCA,-72.87511941406908
7770,20140602,7,PM2.5,15.9
7776,20140602,8,PCA,-70.12666557594072
7776,20140602,8,PM2.5,17.7
7782,20140602,9,PCA,-72.66247068091111
7782,20140602,9,PM2.5,15.2
7788,20140602,10,PCA,-73.58569170367899
7788,20140602,10,PM2.5,17.4
7794,20140602,11,PCA,-78.00042434334138
7794,20140602,11,PM2.5,16.4
7800,20140602,12,PCA,-78.99680650912154
7800,20140602,12,PM2.5,17.1
7806,20140602,13,PCA,-75.87767935430081
7806,20140602,13,PM2.5,23.7
7812,20140602,14,PCA,-77.18621263498746
7812,20140602,14,PM2.5,22.8
7818,20140602,15,PCA,-75.73670872378497
7818,20140602,15,PM2.5,27.9
7824,20140602,16,PCA,-74.93691418043275
7824,20140602,16,PM2.5,25.7
7830,20140602,17,PCA,-63.68711615184157
7830,20140602,17,PM2.5,37.4
7836,20140602,18,PCA,-67.2174002528529
7836,20140602,18,PM2.5,29.1
7842,20140602,19,PCA,-71.30850465838235
7842,20140602,19,PM2.5,31.8
7848,20140602,20,PCA,-65.24899172173151
7848,20140602,20,PM2.5,37.0
7854,20140602,21,PCA,-49.687345695831404
7854,20140602,21,PM2.5,47.8
7860,20140602,22,PCA,-37.50566278692996
7860,20140602,22,PM2.5,51.9
7866,20140602,23,PCA,-35.10028818500863
7866,20140602,23,PM2.5,50.8
7872,20140603,0,PCA,-43.50837708835566
7872,20140603,0,PM2.5,43.8
7878,20140603,1,PCA,-44.83307882659395
7878,20140603,1,PM2.5,39.9
7884,20140603,2,PCA,-43.32571395896958
7884,20140603,2,PM2.5,35.9
7890,20140603,3,PCA,-25.657699200775827
7890,20140603,3,PM2.5,41.8
7896,20140603,4,PCA,-26.267158765054518
7896,20140603,4,PM2.5,37.9
7902,20140603,5,PCA,-37.849609518200666
7902,20140603,5,PM2.5,30.4
7908,20140603,6,PCA,-44.05031123386141
7908,20140603,6,PM2.5,32.2
7914,20140603,7,PCA,-53.278614243408356
7914,20140603,7,PM2.5,30.3
7920,20140603,8,PCA,-62.687919903350426
7920,20140603,8,PM2.5,22.7
7926,20140603,9,PCA,-59.615779256598636
7926,20140603,9,PM2.5,25.3
7932,20140603,10,PCA,-63.282679142075644
7932,20140603,10,PM2.5,21.6
7938,20140603,11,PCA,-64.08949059014724
7938,20140603,11,PM2.5,25.0
8088,20140604,12,PCA,-52.48938411955746
8088,20140604,12,PM2.5,35.0
8094,20140604,13,PCA,-49.02113025200569
8094,20140604,13,PM2.5,42.2
8100,20140604,14,PCA,-27.931736468080828
8100,20140604,14,PM2.5,46.0
8106,20140604,15,PCA,-28.66805032434226
8106,20140604,15,PM2.5,45.6
8112,20140604,16,PCA,-42.22027927535828
8112,20140604,16,PM2.5,38.7
8118,20140604,17,PCA,-45.34717034127786
8118,20140604,17,PM2.5,40.4
8124,20140604,18,PCA,-38.061208131188714
8124,20140604,18,PM2.5,48.6
8130,20140604,19,PCA,-33.97228673106418
8130,20140604,19,PM2.5,50.7
8136,20140604,20,PCA,-24.823242569321142
8136,20140604,20,PM2.5,56.8
8142,20140604,21,PCA,-20.338943227319856
8142,20140604,21,PM2.5,52.8
8148,20140604,22,PCA,-8.829353076953225
8148,20140604,22,PM2.5,60.3
8154,20140604,23,PCA,-13.22412665268049
8154,20140604,23,PM2.5,56.6
8160,20140605,0,PCA,-7.986746267766928
8160,20140605,0,PM2.5,60.2
8166,20140605,1,PCA,30.165023152618637
8166,20140605,1,PM2.5,86.6
8172,20140605,2,PCA,20.861368033737527
8172,20140605,2,PM2.5,87.9
8178,20140605,3,PCA,10.424366018343017
8178,20140605,3,PM2.5,81.4
8184,20140605,4,PCA,9.815503058066177
8184,20140605,4,PM2.5,85.9
8190,20140605,5,PCA,10.667626715609153
8190,20140605,5,PM2.5,85.1
8196,20140605,6,PCA,13.746820960899793
8196,20140605,6,PM2.5,85.2
8202,20140605,7,PCA,20.33040403025013
8202,20140605,7,PM2.5,90.4
8208,20140605,8,PCA,16.021550874963367
8208,20140605,8,PM2.5,88.6
8214,20140605,9,PCA,5.188423862721328
8214,20140605,9,PM2.5,79.6
8220,20140605,10,PCA,2.8765505020228774
8220,20140605,10,PM2.5,81.8
8226,20140605,11,PCA,-15.944339717137682
8226,20140605,11,PM2.5,66.0
8232,20140605,12,PCA,-36.97620219773055
8232,20140605,12,PM2.5,47.2
8238,20140605,13,PCA,-24.4436224654612
8238,20140605,13,PM2.5,48.0
8244,20140605,14,PCA,54.804380771402215
8244,20140605,14,PM2.5,162.3
8250,20140605,15,PCA,-21.200740314241497
8250,20140605,15,PM2.5,45.2
8256,20140605,16,PCA,-6.912676167605087
8256,20140605,16,PM2.5,54.4
8262,20140605,17,PCA,-0.7073640024152629
8262,20140605,17,PM2.5,59.1
8268,20140605,18,PCA,-10.630523537598464
8268,20140605,18,PM2.5,56.2
8274,20140605,19,PCA,-17.502643358503402
8274,20140605,19,PM2.5,54.4
8280,20140605,20,PCA,-16.70033785288855
8280,20140605,20,PM2.5,58.8
8286,20140605,21,PCA,-8.942933642394985
8286,20140605,21,PM2.5,61.2
8292,20140605,22,PCA,5.915076424373381
8292,20140605,22,PM2.5,73.0
8298,20140605,23,PCA,18.187148030055365
8298,20140605,23,PM2.5,91.8
8304,20140606,0,PCA,18.63851653327439
8304,20140606,0,PM2.5,88.6
8310,20140606,1,PCA,24.118210974293735
8310,20140606,1,PM2.5,93.7
8316,20140606,2,PCA,27.28923090758256
8316,20140606,2,PM2.5,99.7
8322,20140606,3,PCA,45.87819390093711
8322,20140606,3,PM2.5,109.0
8328,20140606,4,PCA,47.89307486284092
8328,20140606,4,PM2.5,112.2
8334,20140606,5,PCA,45.53816143575986
8334,20140606,5,PM2.5,113.2
8340,20140606,6,PCA,27.351982855643524
8340,20140606,6,PM2.5,89.8
8346,20140606,7,PCA,25.7539694564118
8346,20140606,7,PM2.5,86.5
8352,20140606,8,PCA,30.03098851097924
8352,20140606,8,PM2.5,88.0
8358,20140606,9,PCA,43.92464962289565
8358,20140606,9,PM2.5,104.8
8364,20140606,10,PCA,51.867364105155296
8364,20140606,10,PM2.5,111.6
8370,20140606,11,PCA,51.66141175250849
8370,20140606,11,PM2.5,117.4
8376,20140606,12,PCA,48.64989427631349
8376,20140606,12,PM2.5,116.0
8382,20140606,13,PCA,-2.135677356859335
8382,20140606,13,PM2.5,44.5
8388,20140606,14,PCA,-37.019325278300485
8388,20140606,14,PM2.5,6.3
8394,20140606,15,PCA,-43.6937753241931
8394,20140606,15,PM2.5,3.0
8400,20140606,16,PCA,-41.20180970277923
8400,20140606,16,PM2.5,6.4
8406,20140606,17,PCA,-39.722489015892926
8406,20140606,17,PM2.5,9.8
8412,20140606,18,PCA,-46.18607001183985
8412,20140606,18,PM2.5,3.3
8418,20140606,19,PCA,-40.90454130297395
8418,20140606,19,PM2.5,7.7
8424,20140606,20,PCA,-37.867753823314345
8424,20140606,20,PM2.5,13.5
8430,20140606,21,PCA,-36.262772659169066
8430,20140606,21,PM2.5,14.7
8436,20140606,22,PCA,-44.56438394651206
8436,20140606,22,PM2.5,8.4
8442,20140606,23,PCA,-41.84793180074447
8442,20140606,23,PM2.5,13.1
8448,20140607,0,PCA,-43.23155858738816
8448,20140607,0,PM2.5,13.3
8454,20140607,1,PCA,-47.30570638450497
8454,20140607,1,PM2.5,13.3
8460,20140607,2,PCA,-48.43180624533084
8460,20140607,2,PM2.5,14.3
8466,20140607,3,PCA,-45.37599787363457
8466,20140607,3,PM2.5,19.5
8472,20140607,4,PCA,-47.05979482362485
8472,20140607,4,PM2.5,18.8
8478,20140607,5,PCA,-58.32441928447442
8478,20140607,5,PM2.5,13.4
8484,20140607,6,PCA,-73.14019531047674
8484,20140607,6,PM2.5,6.8
8490,20140607,7,PCA,-77.38221750724617
8490,20140607,7,PM2.5,7.1
8496,20140607,8,PCA,-79.47847557426851
8496,20140607,8,PM2.5,8.7
8502,20140607,9,PCA,-91.04934055197887
8502,20140607,9,PM2.5,5.4
8508,20140607,10,PCA,-98.81616796978261
8508,20140607,10,PM2.5,3.2
8514,20140607,11,PCA,-97.80712625318488
8514,20140607,11,PM2.5,3.9
8520,20140607,12,PCA,-98.42499929034757
8520,20140607,12,PM2.5,3.0
8526,20140607,13,PCA,-95.7750257076316
8526,20140607,13,PM2.5,6.6
8532,20140607,14,PCA,-98.46894432810556
8532,20140607,14,PM2.5,3.0
8538,20140607,15,PCA,-98.25465755198583
8538,20140607,15,PM2.5,4.0
8544,20140607,16,PCA,-94.30294904879204
8544,20140607,16,PM2.5,8.6
8550,20140607,17,PCA,-95.70759022677326
8550,20140607,17,PM2.5,6.1
8556,20140607,18,PCA,-95.59719066774443
8556,20140607,18,PM2.5,5.7
8562,20140607,19,PCA,-97.1170486065712
8562,20140607,19,PM2.5,3.4
8568,20140607,20,PCA,-88.17256936819577
8568,20140607,20,PM2.5,12.5
8574,20140607,21,PCA,-77.28644997179534
8574,20140607,21,PM2.5,25.9
8580,20140607,22,PCA,-81.61172181242078
8580,20140607,22,PM2.5,18.9
8586,20140607,23,PCA,-73.05907621784192
8586,20140607,23,PM2.5,19.1
8592,20140608,0,PCA,-47.314731871332704
8592,20140608,0,PM2.5,28.7
8598,20140608,1,PCA,-42.27201485895371
8598,20140608,1,PM2.5,31.5
8604,20140608,2,PCA,-44.665218489718555
8604,20140608,2,PM2.5,35.1
8610,20140608,3,PCA,-45.36187675066637
8610,20140608,3,PM2.5,29.0
8616,20140608,4,PCA,-51.72999949654743
8616,20140608,4,PM2.5,25.2
8622,20140608,5,PCA,-56.070088041273905
8622,20140608,5,PM2.5,22.0
8628,20140608,6,PCA,-57.93542642377791
8628,20140608,6,PM2.5,23.4
8634,20140608,7,PCA,-63.05050405408994
8634,20140608,7,PM2.5,21.3
8640,20140608,8,PCA,-54.979556255277714
8640,20140608,8,PM2.5,26.6
8646,20140608,9,PCA,-47.43194628070019
8646,20140608,9,PM2.5,38.1
8652,20140608,10,PCA,-32.47578470962244
8652,20140608,10,PM2.5,54.7
8658,20140608,11,PCA,-34.243013518253925
8658,20140608,11,PM2.5,57.8
8664,20140608,12,PCA,-42.28602254702704
8664,20140608,12,PM2.5,52.2
8670,20140608,13,PCA,-48.1837486379809
8670,20140608,13,PM2.5,48.7
8676,20140608,14,PCA,-26.068436462409643
8676,20140608,14,PM2.5,56.2
8682,20140608,15,PCA,-26.68309583979421
8682,20140608,15,PM2.5,46.1
8688,20140608,16,PCA,-70.67198693231943
8688,20140608,16,PM2.5,13.1
8694,20140608,17,PCA,-61.24215936806171
8694,20140608,17,PM2.5,13.1
8700,20140608,18,PCA,-54.778992230753474
8700,20140608,18,PM2.5,17.3
8706,20140608,19,PCA,-54.429167989727155
8706,20140608,19,PM2.5,14.9
8712,20140608,20,PCA,-39.33889566143328
8712,20140608,20,PM2.5,23.0
8718,20140608,21,PCA,-34.291594922565885
8718,20140608,21,PM2.5,29.8
8724,20140608,22,PCA,-33.31932214323141
8724,20140608,22,PM2.5,29.9
8730,20140608,23,PCA,-30.40910551126987
8730,20140608,23,PM2.5,29.9
8736,20140609,0,PCA,-28.494507394608387
8736,20140609,0,PM2.5,32.8
8742,20140609,1,PCA,-26.61251507103906
8742,20140609,1,PM2.5,36.3
8748,20140609,2,PCA,-40.88078538969874
8748,20140609,2,PM2.5,27.6
8754,20140609,3,PCA,-49.30237512101453
8754,20140609,3,PM2.5,22.6
8760,20140609,4,PCA,-50.10142418581124
8760,20140609,4,PM2.5,20.0
8766,20140609,5,PCA,-37.834414081213986
8766,20140609,5,PM2.5,27.0
8772,20140609,6,PCA,-45.40827519707978
8772,20140609,6,PM2.5,22.1
8778,20140609,7,PCA,-49.87114568869537
8778,20140609,7,PM2.5,22.6
