,date,hour,type,琉璃河
1422,20140413,13,PCA,100.21244210997612
1422,20140413,13,PM2.5,202.0
1428,20140413,14,PCA,83.60238373251289
1428,20140413,14,PM2.5,178.0
1434,20140413,15,PCA,67.99029925354658
1434,20140413,15,PM2.5,156.0
1440,20140413,16,PCA,64.73225454823411
1440,20140413,16,PM2.5,148.0
1446,20140413,17,PCA,67.70608218083123
1446,20140413,17,PM2.5,148.0
1452,20140413,18,PCA,76.17742779386512
1452,20140413,18,PM2.5,153.0
1458,20140413,19,PCA,95.29625500315207
1458,20140413,19,PM2.5,168.0
1464,20140413,20,PCA,113.71401225704788
1464,20140413,20,PM2.5,180.0
1470,20140413,21,PCA,119.74949530348691
1470,20140413,21,PM2.5,181.0
1476,20140413,22,PCA,124.45581245236914
1476,20140413,22,PM2.5,182.0
1482,20140413,23,PCA,136.19219341290554
1482,20140413,23,PM2.5,192.0
1488,20140414,0,PCA,157.95993715719783
1488,20140414,0,PM2.5,209.0
1494,20140414,1,PCA,178.63850244679054
1494,20140414,1,PM2.5,228.0
1500,20140414,2,PCA,187.36972671841937
1500,20140414,2,PM2.5,227.0
1506,20140414,3,PCA,191.1711165239231
1506,20140414,3,PM2.5,228.0
1512,20140414,4,PCA,202.8440466883422
1512,20140414,4,PM2.5,240.0
1518,20140414,5,PCA,193.4030145868393
1518,20140414,5,PM2.5,225.0
1524,20140414,6,PCA,182.5637403818599
1524,20140414,6,PM2.5,209.0
1530,20140414,7,PCA,186.99471447319777
1530,20140414,7,PM2.5,213.0
1536,20140414,8,PCA,210.6122503289618
1536,20140414,8,PM2.5,242.0
1542,20140414,9,PCA,250.36903340193123
1542,20140414,9,PM2.5,292.0
1548,20140414,10,PCA,269.4109010267793
1548,20140414,10,PM2.5,318.0
1554,20140414,11,PCA,276.62633486433873
1554,20140414,11,PM2.5,331.0
1560,20140414,12,PCA,265.46151460435584
1560,20140414,12,PM2.5,328.0
1566,20140414,13,PCA,256.8620264883649
1566,20140414,13,PM2.5,324.0
1572,20140414,14,PCA,195.17078529454224
1572,20140414,14,PM2.5,242.0
1578,20140414,15,PCA,165.92418605315632
1578,20140414,15,PM2.5,201.0
1584,20140414,16,PCA,185.7711855565042
1584,20140414,16,PM2.5,226.0
1590,20140414,17,PCA,223.7105937119207
1590,20140414,17,PM2.5,277.0
1596,20140414,18,PCA,237.92248343405203
1596,20140414,18,PM2.5,288.0
1602,20140414,19,PCA,221.47442744959298
1602,20140414,19,PM2.5,258.0
1608,20140414,20,PCA,258.02479673239213
1608,20140414,20,PM2.5,299.0
1614,20140414,21,PCA,169.03946677485686
1614,20140414,21,PM2.5,172.0
1620,20140414,22,PCA,130.1581247845589
1620,20140414,22,PM2.5,119.0
1626,20140414,23,PCA,121.12482618261345
1626,20140414,23,PM2.5,107.0
1632,20140415,0,PCA,117.07374260303382
1632,20140415,0,PM2.5,103.0
1638,20140415,1,PCA,114.04803630035158
1638,20140415,1,PM2.5,103.0
1644,20140415,2,PCA,98.63161981523233
1644,20140415,2,PM2.5,88.0
1650,20140415,3,PCA,92.57916576648621
1650,20140415,3,PM2.5,84.0
1656,20140415,4,PCA,86.00495936687307
1656,20140415,4,PM2.5,80.0
1662,20140415,5,PCA,82.30654265015787
1662,20140415,5,PM2.5,78.0
1818,20140416,7,PCA,43.51597524452763
1818,20140416,7,PM2.5,109.0
1824,20140416,8,PCA,47.65491525863705
1824,20140416,8,PM2.5,113.0
1830,20140416,9,PCA,68.12653229044487
1830,20140416,9,PM2.5,136.0
1836,20140416,10,PCA,14.445045292970043
1836,20140416,10,PM2.5,74.5
1842,20140416,11,PCA,-57.8083382450821
1842,20140416,11,PM2.5,13.0
1848,20140416,12,PCA,-39.199307520726045
1848,20140416,12,PM2.5,64.0
1854,20140416,13,PCA,-46.25733933352637
1854,20140416,13,PM2.5,81.0
1860,20140416,14,PCA,-39.85775502209348
1860,20140416,14,PM2.5,83.0
1866,20140416,15,PCA,-18.11677999864361
1866,20140416,15,PM2.5,91.0
1872,20140416,16,PCA,-20.842491801441994
1872,20140416,16,PM2.5,83.0
1878,20140416,17,PCA,-8.050085282051342
1878,20140416,17,PM2.5,94.0
1884,20140416,18,PCA,-0.22898116228186463
1884,20140416,18,PM2.5,97.0
1890,20140416,19,PCA,9.928708986388436
1890,20140416,19,PM2.5,100.0
