,date,hour,type,榆垡
1008,20140410,16,PCA,101.14690951170279
1008,20140410,16,PM2.5,65.0
1014,20140410,17,PCA,100.79261029030802
1014,20140410,17,PM2.5,64.0
1020,20140410,18,PCA,80.96384216943515
1020,20140410,18,PM2.5,43.0
1026,20140410,19,PCA,82.95400310760418
1026,20140410,19,PM2.5,50.0
1032,20140410,20,PCA,75.96928420080802
1032,20140410,20,PM2.5,57.0
1038,20140410,21,PCA,71.20747279478968
1038,20140410,21,PM2.5,62.0
1044,20140410,22,PCA,90.19226057047126
1044,20140410,22,PM2.5,89.0
1050,20140410,23,PCA,95.00158433668486
1050,20140410,23,PM2.5,104.0
1056,20140411,0,PCA,72.90438707144688
1056,20140411,0,PM2.5,86.0
1062,20140411,1,PCA,60.876917725432584
1062,20140411,1,PM2.5,78.0
1068,20140411,2,PCA,55.97454803310436
1068,20140411,2,PM2.5,74.0
1074,20140411,3,PCA,58.73394008571052
1074,20140411,3,PM2.5,82.0
1080,20140411,4,PCA,63.00595625512908
1080,20140411,4,PM2.5,94.0
1086,20140411,5,PCA,72.97580156979873
1086,20140411,5,PM2.5,115.0
1092,20140411,6,PCA,48.88052865375853
1092,20140411,6,PM2.5,87.0
1098,20140411,7,PCA,40.67618674490316
1098,20140411,7,PM2.5,89.0
1104,20140411,8,PCA,39.07535669106612
1104,20140411,8,PM2.5,95.0
1110,20140411,9,PCA,31.18977074561309
1110,20140411,9,PM2.5,90.0
1116,20140411,10,PCA,17.969738680181973
1116,20140411,10,PM2.5,80.0
1122,20140411,11,PCA,-1.753733889337046
1122,20140411,11,PM2.5,67.0
1128,20140411,12,PCA,-28.67787644879095
1128,20140411,12,PM2.5,46.0
1134,20140411,13,PCA,-46.99918177304862
1134,20140411,13,PM2.5,30.0
1140,20140411,14,PCA,-44.278528487377535
1140,20140411,14,PM2.5,39.0
1158,20140411,17,PCA,-30.203070548641627
1158,20140411,17,PM2.5,57.0
1164,20140411,18,PCA,-24.614410531924044
1164,20140411,18,PM2.5,59.0
1170,20140411,19,PCA,-18.811143552222152
1170,20140411,19,PM2.5,63.0
1176,20140411,20,PCA,-8.967186816343233
1176,20140411,20,PM2.5,73.0
1182,20140411,21,PCA,-17.4464573818522
1182,20140411,21,PM2.5,60.0
1188,20140411,22,PCA,-14.015892764136428
1188,20140411,22,PM2.5,61.0
1194,20140411,23,PCA,-9.625546487903287
1194,20140411,23,PM2.5,66.0
1200,20140412,0,PCA,-3.1193366715746875
1200,20140412,0,PM2.5,75.0
1206,20140412,1,PCA,-0.8040545384822144
1206,20140412,1,PM2.5,74.0
1212,20140412,2,PCA,-6.60603872794627
1212,20140412,2,PM2.5,69.0
1218,20140412,3,PCA,0.06438418841981082
1218,20140412,3,PM2.5,79.0
1224,20140412,4,PCA,8.378644517620241
1224,20140412,4,PM2.5,92.0
1230,20140412,5,PCA,8.093785380797216
1230,20140412,5,PM2.5,94.0
1236,20140412,6,PCA,12.518447406749887
1236,20140412,6,PM2.5,100.0
1242,20140412,7,PCA,9.422548768635753
1242,20140412,7,PM2.5,95.0
1248,20140412,8,PCA,18.042663922814977
1248,20140412,8,PM2.5,104.0
1254,20140412,9,PCA,20.60766764405257
1254,20140412,9,PM2.5,107.0
1260,20140412,10,PCA,23.17267136529016
1260,20140412,10,PM2.5,110.0
1266,20140412,11,PCA,-3.3281923224982224
1266,20140412,11,PM2.5,83.0
1272,20140412,12,PCA,1.2204905421254386
1272,20140412,12,PM2.5,93.0
1278,20140412,13,PCA,-12.899868896564103
1278,20140412,13,PM2.5,74.0
1284,20140412,14,PCA,5.217202293194603
1284,20140412,14,PM2.5,98.0
1290,20140412,15,PCA,22.427994715453767
1290,20140412,15,PM2.5,122.0
1296,20140412,16,PCA,6.313172001426601
1296,20140412,16,PM2.5,105.0
1302,20140412,17,PCA,12.743706642433956
1302,20140412,17,PM2.5,115.0
1308,20140412,18,PCA,-7.511732680335422
1308,20140412,18,PM2.5,86.0
1314,20140412,19,PCA,5.698775606819902
1314,20140412,19,PM2.5,97.0
1320,20140412,20,PCA,0.3767527106541253
1320,20140412,20,PM2.5,84.0
1326,20140412,21,PCA,14.589702625353336
1326,20140412,21,PM2.5,95.0
1332,20140412,22,PCA,18.61636537936695
1332,20140412,22,PM2.5,93.0
1338,20140412,23,PCA,31.649104316646607
1338,20140412,23,PM2.5,112.0
1344,20140413,0,PCA,37.20174120996313
1344,20140413,0,PM2.5,118.0
1350,20140413,1,PCA,45.266692547291115
1350,20140413,1,PM2.5,125.0
1356,20140413,2,PCA,64.71382805491675
1356,20140413,2,PM2.5,143.0
1362,20140413,3,PCA,73.69616758743751
1362,20140413,3,PM2.5,150.0
1368,20140413,4,PCA,75.99504306500619
1368,20140413,4,PM2.5,150.0
1374,20140413,5,PCA,73.42313605465247
1374,20140413,5,PM2.5,145.0
1380,20140413,6,PCA,68.77811261046966
1380,20140413,6,PM2.5,139.0
1386,20140413,7,PCA,53.288208809849976
1386,20140413,7,PM2.5,118.0
1392,20140413,8,PCA,73.32227217147465
1392,20140413,8,PM2.5,142.0
1398,20140413,9,PCA,80.88512529372227
1398,20140413,9,PM2.5,149.0
1404,20140413,10,PCA,120.23694984297978
1404,20140413,10,PM2.5,204.0
1410,20140413,11,PCA,116.56772945655021
1410,20140413,11,PM2.5,201.0
1416,20140413,12,PCA,90.8236130270905
1416,20140413,12,PM2.5,168.0
1422,20140413,13,PCA,83.76756535488383
1422,20140413,13,PM2.5,161.0
1428,20140413,14,PCA,94.34705411046926
1428,20140413,14,PM2.5,175.0
1434,20140413,15,PCA,71.75193082654792
1434,20140413,15,PM2.5,145.0
1440,20140413,16,PCA,49.02680230566151
1440,20140413,16,PM2.5,112.0
1446,20140413,17,PCA,53.510529701565574
1446,20140413,17,PM2.5,118.0
1452,20140413,18,PCA,50.823102655351846
1452,20140413,18,PM2.5,109.0
1458,20140413,19,PCA,78.2375294674359
1458,20140413,19,PM2.5,136.0
1464,20140413,20,PCA,98.2948730955538
1464,20140413,20,PM2.5,154.0
1470,20140413,21,PCA,88.8574021340179
1470,20140413,21,PM2.5,134.0
1476,20140413,22,PCA,119.3472334715456
1476,20140413,22,PM2.5,165.0
1482,20140413,23,PCA,114.14239031094513
1482,20140413,23,PM2.5,152.0
1488,20140414,0,PCA,144.87279462078624
1488,20140414,0,PM2.5,193.0
1494,20140414,1,PCA,154.48447511240374
1494,20140414,1,PM2.5,202.0
1500,20140414,2,PCA,145.98533517129368
1500,20140414,2,PM2.5,187.0
1506,20140414,3,PCA,161.26095156272598
1506,20140414,3,PM2.5,204.0
1512,20140414,4,PCA,180.79729319343446
1512,20140414,4,PM2.5,230.0
1518,20140414,5,PCA,177.38797093722903
1518,20140414,5,PM2.5,224.0
1524,20140414,6,PCA,180.10193579547317
1524,20140414,6,PM2.5,225.0
1530,20140414,7,PCA,181.4698044592792
1530,20140414,7,PM2.5,223.0
1536,20140414,8,PCA,197.97607308427138
1536,20140414,8,PM2.5,239.0
1542,20140414,9,PCA,224.9774531607944
1542,20140414,9,PM2.5,273.0
1548,20140414,10,PCA,200.0116609216671
1548,20140414,10,PM2.5,244.0
1554,20140414,11,PCA,164.85720670423572
1554,20140414,11,PM2.5,200.0
1560,20140414,12,PCA,151.70785716455404
1560,20140414,12,PM2.5,183.0
1566,20140414,13,PCA,145.7137454220733
1566,20140414,13,PM2.5,176.0
1572,20140414,14,PCA,142.87274939675427
1572,20140414,14,PM2.5,178.0
1578,20140414,15,PCA,178.57974879706418
1578,20140414,15,PM2.5,230.0
1584,20140414,16,PCA,154.53374190689138
1584,20140414,16,PM2.5,198.0
1590,20140414,17,PCA,175.74361324623982
1590,20140414,17,PM2.5,224.0
1596,20140414,18,PCA,193.29121372247982
1596,20140414,18,PM2.5,240.0
1602,20140414,19,PCA,179.57369642400175
1602,20140414,19,PM2.5,213.0
1608,20140414,20,PCA,167.2524270053059
1608,20140414,20,PM2.5,188.0
1614,20140414,21,PCA,66.10412207608627
1614,20140414,21,PM2.5,48.0
1620,20140414,22,PCA,63.836574157657395
1620,20140414,22,PM2.5,49.0
1626,20140414,23,PCA,56.596453132129746
1626,20140414,23,PM2.5,42.0
1632,20140415,0,PCA,55.718963852786
1632,20140415,0,PM2.5,45.0
1638,20140415,1,PCA,51.29890922011715
1638,20140415,1,PM2.5,45.0
1644,20140415,2,PCA,54.42652169653966
1644,20140415,2,PM2.5,54.0
1650,20140415,3,PCA,52.70888973366457
1650,20140415,3,PM2.5,58.0
1656,20140415,4,PCA,36.98528809077079
1656,20140415,4,PM2.5,42.0
1662,20140415,5,PCA,34.973151267671476
1662,20140415,5,PM2.5,42.0
1818,20140416,7,PCA,-55.09146428793709
1818,20140416,7,PM2.5,39.0
1824,20140416,8,PCA,-47.39761980690655
1824,20140416,8,PM2.5,42.0
1830,20140416,9,PCA,-35.26965980021801
1830,20140416,9,PM2.5,52.0
1836,20140416,10,PCA,-48.16803238625492
1836,20140416,10,PM2.5,39.0
1842,20140416,11,PCA,-44.66742707667795
1842,20140416,11,PM2.5,54.0
1848,20140416,12,PCA,-61.08984695988111
1848,20140416,12,PM2.5,44.0
1854,20140416,13,PCA,-73.20766518876667
1854,20140416,13,PM2.5,39.0
1860,20140416,14,PCA,-68.35059203779694
1860,20140416,14,PM2.5,41.0
1866,20140416,15,PCA,0.797610067505325
1866,20140416,15,PM2.5,122.0
1872,20140416,16,PCA,-44.81648050860746
1872,20140416,16,PM2.5,55.0
1878,20140416,17,PCA,-39.766153492066266
1878,20140416,17,PM2.5,55.0
1884,20140416,18,PCA,-33.90311941330192
1884,20140416,18,PM2.5,59.0
1890,20140416,19,PCA,-28.021750464510536
1890,20140416,19,PM2.5,66.0
1896,20140416,20,PCA,-14.871817559700219
1896,20140416,20,PM2.5,70.0
1902,20140416,21,PCA,-9.753859528156186
1902,20140416,21,PM2.5,71.0
1908,20140416,22,PCA,-8.9576445661398
1908,20140416,22,PM2.5,70.0
1914,20140416,23,PCA,-4.593998813989493
1914,20140416,23,PM2.5,72.0
1920,20140417,0,PCA,-9.337998217675782
1920,20140417,0,PM2.5,69.0
1926,20140417,1,PCA,-10.134569149178024
1926,20140417,1,PM2.5,72.0
1932,20140417,2,PCA,7.0019003887284015
1932,20140417,2,PM2.5,85.0
1938,20140417,3,PCA,19.664028333538063
1938,20140417,3,PM2.5,96.0
1944,20140417,4,PCA,20.827365086791065
1944,20140417,4,PM2.5,92.0
1950,20140417,5,PCA,12.618047645273803
1950,20140417,5,PM2.5,79.0
1956,20140417,6,PCA,3.681901355755078
1956,20140417,6,PM2.5,73.0
1962,20140417,7,PCA,-17.34997757762766
1962,20140417,7,PM2.5,56.0
1968,20140417,8,PCA,-27.690401073271527
1968,20140417,8,PM2.5,54.0
1974,20140417,9,PCA,-38.58081296695364
1974,20140417,9,PM2.5,54.0
1980,20140417,10,PCA,-37.924596090803355
1980,20140417,10,PM2.5,56.0
1986,20140417,11,PCA,-13.675748483999982
1986,20140417,11,PM2.5,74.0
1992,20140417,12,PCA,7.4987890437826845
1992,20140417,12,PM2.5,90.0
1998,20140417,13,PCA,36.79608694181879
1998,20140417,13,PM2.5,121.0
2004,20140417,14,PCA,38.21553643475897
2004,20140417,14,PM2.5,115.0
2010,20140417,15,PCA,39.79568644095707
2010,20140417,15,PM2.5,111.0
2016,20140417,16,PCA,37.717522554693055
2016,20140417,16,PM2.5,107.0
2022,20140417,17,PCA,34.191237830454156
2022,20140417,17,PM2.5,106.0
2028,20140417,18,PCA,22.590195880839087
2028,20140417,18,PM2.5,93.0
2034,20140417,19,PCA,29.422249627604582
2034,20140417,19,PM2.5,99.0
2040,20140417,20,PCA,62.98991910663994
2040,20140417,20,PM2.5,132.0
2046,20140417,21,PCA,70.8773486542196
2046,20140417,21,PM2.5,135.0
2052,20140417,22,PCA,72.68523143657595
2052,20140417,22,PM2.5,126.0
2058,20140417,23,PCA,82.18244959093029
2058,20140417,23,PM2.5,129.0
2064,20140418,0,PCA,77.00129008204462
2064,20140418,0,PM2.5,125.0
2070,20140418,1,PCA,70.3489376169089
2070,20140418,1,PM2.5,121.0
2076,20140418,2,PCA,72.73712807573382
2076,20140418,2,PM2.5,124.0
2082,20140418,3,PCA,48.46694168523268
2082,20140418,3,PM2.5,99.0
2088,20140418,4,PCA,52.18589690991437
2088,20140418,4,PM2.5,111.0
2094,20140418,5,PCA,47.18507556952906
2094,20140418,5,PM2.5,108.0
2100,20140418,6,PCA,40.76077823453953
2100,20140418,6,PM2.5,102.0
2106,20140418,7,PCA,33.35262364210099
2106,20140418,7,PM2.5,91.0
2112,20140418,8,PCA,30.56109865455921
2112,20140418,8,PM2.5,92.0
2118,20140418,9,PCA,52.958588296129406
2118,20140418,9,PM2.5,120.0
2124,20140418,10,PCA,70.34658187322815
2124,20140418,10,PM2.5,136.0
2130,20140418,11,PCA,167.05527257081803
2130,20140418,11,PM2.5,229.0
2136,20140418,12,PCA,201.25755766742986
2136,20140418,12,PM2.5,243.0
2142,20140418,13,PCA,214.50383607325054
2142,20140418,13,PM2.5,238.5
2148,20140418,14,PCA,222.2271114975543
2148,20140418,14,PM2.5,234.0
2154,20140418,15,PCA,182.01551869466167
2154,20140418,15,PM2.5,191.0
2160,20140418,16,PCA,158.18891270073922
2160,20140418,16,PM2.5,172.0
2166,20140418,17,PCA,102.46055426659595
2166,20140418,17,PM2.5,113.0
2172,20140418,18,PCA,54.33735998899214
2172,20140418,18,PM2.5,87.0
2178,20140418,19,PCA,8.351763501330167
2178,20140418,19,PM2.5,68.0
2184,20140418,20,PCA,-16.033175334778875
2184,20140418,20,PM2.5,64.0
2190,20140418,21,PCA,-39.24960682370691
2190,20140418,21,PM2.5,50.0
2196,20140418,22,PCA,-54.69273299729527
2196,20140418,22,PM2.5,41.0
2202,20140418,23,PCA,-58.04155192703664
2202,20140418,23,PM2.5,42.0
2208,20140419,0,PCA,-44.8432776875724
2208,20140419,0,PM2.5,58.0
2214,20140419,1,PCA,-55.86511782948118
2214,20140419,1,PM2.5,43.0
2220,20140419,2,PCA,-31.509486206376852
2220,20140419,2,PM2.5,69.0
2226,20140419,3,PCA,-29.612994860652478
2226,20140419,3,PM2.5,65.0
2232,20140419,4,PCA,-41.43163204858511
2232,20140419,4,PM2.5,49.0
2238,20140419,5,PCA,-34.01016637768035
2238,20140419,5,PM2.5,52.0
2244,20140419,6,PCA,-16.005587289155585
2244,20140419,6,PM2.5,73.0
2250,20140419,7,PCA,-17.624032259364576
2250,20140419,7,PM2.5,71.0
2256,20140419,8,PCA,-26.73658858472445
2256,20140419,8,PM2.5,57.0
2262,20140419,9,PCA,-9.616452538826818
2262,20140419,9,PM2.5,75.0
2268,20140419,10,PCA,-9.930524585148646
2268,20140419,10,PM2.5,73.0
2274,20140419,11,PCA,-14.004879532299903
2274,20140419,11,PM2.5,74.0
2280,20140419,12,PCA,-32.76193522802168
2280,20140419,12,PM2.5,54.0
2286,20140419,13,PCA,-34.991539823229665
2286,20140419,13,PM2.5,56.0
2292,20140419,14,PCA,-30.63535412269634
2292,20140419,14,PM2.5,67.0
2298,20140419,15,PCA,-48.28039866248251
2298,20140419,15,PM2.5,51.0
2304,20140419,16,PCA,-40.57652430939702
2304,20140419,16,PM2.5,56.0
2310,20140419,17,PCA,-41.983620194296
2310,20140419,17,PM2.5,54.0
2316,20140419,18,PCA,-40.08651443018744
2316,20140419,18,PM2.5,62.0
2322,20140419,19,PCA,-62.711120478734315
2322,20140419,19,PM2.5,34.0
2328,20140419,20,PCA,-49.40362826691491
2328,20140419,20,PM2.5,50.0
2334,20140419,21,PCA,-47.01309815156155
2334,20140419,21,PM2.5,50.0
2340,20140419,22,PCA,-53.22865352414082
2340,20140419,22,PM2.5,42.0
2346,20140419,23,PCA,-29.91318184491385
2346,20140419,23,PM2.5,67.0
2352,20140420,0,PCA,-36.89404773211785
