,date,hour,type,官园
720,20140408,16,PCA,153.54685902360907
720,20140408,16,PM2.5,202.0
726,20140408,17,PCA,138.52287496929543
726,20140408,17,PM2.5,174.0
732,20140408,18,PCA,132.8047481560965
732,20140408,18,PM2.5,162.0
738,20140408,19,PCA,142.46626202747723
738,20140408,19,PM2.5,169.0
744,20140408,20,PCA,141.68729378186703
744,20140408,20,PM2.5,164.0
750,20140408,21,PCA,142.19792873741264
750,20140408,21,PM2.5,154.0
756,20140408,22,PCA,155.2179286501737
756,20140408,22,PM2.5,171.0
762,20140408,23,PCA,147.9504266791238
762,20140408,23,PM2.5,161.0
768,20140409,0,PCA,144.57215025674705
768,20140409,0,PM2.5,152.0
774,20140409,1,PCA,142.19063928771843
774,20140409,1,PM2.5,149.0
780,20140409,2,PCA,140.38504964726692
780,20140409,2,PM2.5,148.0
786,20140409,3,PCA,145.26294041562707
786,20140409,3,PM2.5,153.0
792,20140409,4,PCA,155.39934304442536
792,20140409,4,PM2.5,162.0
798,20140409,5,PCA,160.68746418640126
798,20140409,5,PM2.5,161.0
804,20140409,6,PCA,169.10165994500196
804,20140409,6,PM2.5,166.0
810,20140409,7,PCA,182.34359711355472
810,20140409,7,PM2.5,175.0
816,20140409,8,PCA,176.19645141097917
816,20140409,8,PM2.5,168.0
822,20140409,9,PCA,171.05727931845456
822,20140409,9,PM2.5,170.0
828,20140409,10,PCA,166.92036159063156
828,20140409,10,PM2.5,175.0
834,20140409,11,PCA,140.936337018649
834,20140409,11,PM2.5,145.0
840,20140409,12,PCA,85.35351460026864
840,20140409,12,PM2.5,81.0
846,20140409,13,PCA,51.39298163868486
846,20140409,13,PM2.5,40.0
852,20140409,14,PCA,53.191516828963046
852,20140409,14,PM2.5,48.0
858,20140409,15,PCA,50.327202839262355
858,20140409,15,PM2.5,48.0
864,20140409,16,PCA,49.57700793518199
864,20140409,16,PM2.5,55.0
870,20140409,17,PCA,54.6019883544991
870,20140409,17,PM2.5,67.0
876,20140409,18,PCA,72.28712583656032
876,20140409,18,PM2.5,99.0
882,20140409,19,PCA,60.827338388825254
882,20140409,19,PM2.5,83.0
888,20140409,20,PCA,89.88926430452685
888,20140409,20,PM2.5,129.0
894,20140409,21,PCA,74.19030854222437
894,20140409,21,PM2.5,110.0
900,20140409,22,PCA,72.95508437212911
900,20140409,22,PM2.5,104.0
906,20140409,23,PCA,90.41160348664482
906,20140409,23,PM2.5,125.0
912,20140410,0,PCA,95.18078772411626
912,20140410,0,PM2.5,132.0
918,20140410,1,PCA,86.55440213729274
918,20140410,1,PM2.5,124.0
924,20140410,2,PCA,79.00762502285636
924,20140410,2,PM2.5,113.0
930,20140410,3,PCA,77.30826335751527
930,20140410,3,PM2.5,111.0
936,20140410,4,PCA,79.69136221193858
936,20140410,4,PM2.5,110.0
942,20140410,5,PCA,87.56814924519264
942,20140410,5,PM2.5,112.0
948,20140410,6,PCA,100.10092148551252
948,20140410,6,PM2.5,119.0
954,20140410,7,PCA,100.3546422056378
954,20140410,7,PM2.5,111.0
960,20140410,8,PCA,96.87331313267327
960,20140410,8,PM2.5,105.0
966,20140410,9,PCA,102.18740547059329
966,20140410,9,PM2.5,107.0
972,20140410,10,PCA,109.40925742391958
972,20140410,10,PM2.5,112.0
978,20140410,11,PCA,123.53944240418093
978,20140410,11,PM2.5,126.0
984,20140410,12,PCA,121.40356120169307
984,20140410,12,PM2.5,101.0
990,20140410,13,PCA,130.2578664094622
990,20140410,13,PM2.5,95.0
996,20140410,14,PCA,130.17363535571675
996,20140410,14,PM2.5,90.0
1002,20140410,15,PCA,124.31605941793683
1002,20140410,15,PM2.5,78.0
1008,20140410,16,PCA,122.84678340823403
1008,20140410,16,PM2.5,68.0
1014,20140410,17,PCA,117.42833198871881
1014,20140410,17,PM2.5,58.0
1020,20140410,18,PCA,116.77854062091167
1020,20140410,18,PM2.5,63.0
1038,20140410,21,PCA,90.97649562349226
1038,20140410,21,PM2.5,40.0
1044,20140410,22,PCA,109.50094287679086
1044,20140410,22,PM2.5,71.0
1050,20140410,23,PCA,119.13568422323722
1050,20140410,23,PM2.5,86.0
1056,20140411,0,PCA,124.52935986888585
1056,20140411,0,PM2.5,90.0
1062,20140411,1,PCA,115.59631492546018
1062,20140411,1,PM2.5,85.0
1068,20140411,2,PCA,103.8944662739217
1068,20140411,2,PM2.5,81.0
1074,20140411,3,PCA,101.90484319105515
1074,20140411,3,PM2.5,86.0
1080,20140411,4,PCA,88.34336180815738
1080,20140411,4,PM2.5,74.0
1086,20140411,5,PCA,82.56628442861442
1086,20140411,5,PM2.5,71.0
1092,20140411,6,PCA,77.48936349804355
1092,20140411,6,PM2.5,71.0
1098,20140411,7,PCA,59.72114452049104
1098,20140411,7,PM2.5,65.0
1104,20140411,8,PCA,33.224783982557014
1104,20140411,8,PM2.5,47.0
1110,20140411,9,PCA,26.740456704073626
1110,20140411,9,PM2.5,48.0
1116,20140411,10,PCA,25.118930132404333
1116,20140411,10,PM2.5,49.0
1122,20140411,11,PCA,28.015835758434534
1122,20140411,11,PM2.5,56.0
1128,20140411,12,PCA,14.295142235468843
1128,20140411,12,PM2.5,48.0
1134,20140411,13,PCA,13.26391336542148
1134,20140411,13,PM2.5,56.0
1140,20140411,14,PCA,10.604120606870737
1140,20140411,14,PM2.5,63.0
1146,20140411,15,PCA,-0.7583385895297923
1146,20140411,15,PM2.5,57.0
1152,20140411,16,PCA,-14.608491789343535
1152,20140411,16,PM2.5,46.0
1158,20140411,17,PCA,-11.050414946121114
1158,20140411,17,PM2.5,56.0
1164,20140411,18,PCA,-14.47611774629591
1164,20140411,18,PM2.5,51.0
1170,20140411,19,PCA,-5.380576616646978
1170,20140411,19,PM2.5,63.0
1176,20140411,20,PCA,-10.00245858636395
1176,20140411,20,PM2.5,59.0
1182,20140411,21,PCA,-12.349562859582422
1182,20140411,21,PM2.5,56.0
1188,20140411,22,PCA,-10.06043065262506
1188,20140411,22,PM2.5,53.0
1194,20140411,23,PCA,19.555210593649925
1194,20140411,23,PM2.5,83.0
1200,20140412,0,PCA,25.77369610942035
1200,20140412,0,PM2.5,89.0
1206,20140412,1,PCA,26.06297312804411
1206,20140412,1,PM2.5,88.0
1212,20140412,2,PCA,33.393242750875956
1212,20140412,2,PM2.5,93.0
1218,20140412,3,PCA,32.62533595818412
1218,20140412,3,PM2.5,95.0
1224,20140412,4,PCA,32.19232196717511
1224,20140412,4,PM2.5,94.0
1230,20140412,5,PCA,27.6963111353774
1230,20140412,5,PM2.5,84.0
1236,20140412,6,PCA,33.87466236232241
1236,20140412,6,PM2.5,90.0
1242,20140412,7,PCA,36.16927946244898
1242,20140412,7,PM2.5,93.0
1248,20140412,8,PCA,55.36269247691195
1248,20140412,8,PM2.5,114.0
1254,20140412,9,PCA,64.77009506927546
1254,20140412,9,PM2.5,121.0
1260,20140412,10,PCA,58.7910109283822
1260,20140412,10,PM2.5,113.0
1266,20140412,11,PCA,57.45630612866761
1266,20140412,11,PM2.5,111.0
1272,20140412,12,PCA,37.553269088305306
1272,20140412,12,PM2.5,104.0
1278,20140412,13,PCA,14.000865658685877
1278,20140412,13,PM2.5,83.0
1284,20140412,14,PCA,13.435284645418037
1284,20140412,14,PM2.5,87.0
1290,20140412,15,PCA,7.798712406140382
1290,20140412,15,PM2.5,78.0
1296,20140412,16,PCA,10.606888952546848
1296,20140412,16,PM2.5,81.0
1302,20140412,17,PCA,18.524650230601228
1302,20140412,17,PM2.5,86.0
1308,20140412,18,PCA,31.46426766251446
1308,20140412,18,PM2.5,100.0
1314,20140412,19,PCA,42.157932141024425
1314,20140412,19,PM2.5,110.0
1320,20140412,20,PCA,51.80722780650588
1320,20140412,20,PM2.5,115.0
1326,20140412,21,PCA,55.074625349913255
1326,20140412,21,PM2.5,109.0
1332,20140412,22,PCA,64.89777034921244
1332,20140412,22,PM2.5,110.0
1338,20140412,23,PCA,81.21815292750105
1338,20140412,23,PM2.5,113.0
1344,20140413,0,PCA,75.69662681121216
1344,20140413,0,PM2.5,104.0
1350,20140413,1,PCA,73.72422398033515
1350,20140413,1,PM2.5,118.0
1356,20140413,2,PCA,83.60625997415485
1356,20140413,2,PM2.5,136.0
1362,20140413,3,PCA,98.5544723515582
1362,20140413,3,PM2.5,148.0
1368,20140413,4,PCA,108.60594232282254
1368,20140413,4,PM2.5,153.0
1374,20140413,5,PCA,93.42435715362933
1374,20140413,5,PM2.5,129.0
1380,20140413,6,PCA,94.20965689282323
1380,20140413,6,PM2.5,124.0
1386,20140413,7,PCA,94.64290365605729
1386,20140413,7,PM2.5,119.0
1392,20140413,8,PCA,104.35724132162136
1392,20140413,8,PM2.5,132.0
1398,20140413,9,PCA,124.08590724294578
1398,20140413,9,PM2.5,160.0
1404,20140413,10,PCA,136.3175068388133
1404,20140413,10,PM2.5,178.0
1410,20140413,11,PCA,144.07117927156872
1410,20140413,11,PM2.5,186.0
1416,20140413,12,PCA,151.70150107854283
1416,20140413,12,PM2.5,190.0
1422,20140413,13,PCA,149.91182250983718
1422,20140413,13,PM2.5,204.0
1428,20140413,14,PCA,125.3804986463754
1428,20140413,14,PM2.5,190.0
1434,20140413,15,PCA,95.54074128414912
1434,20140413,15,PM2.5,147.0
1440,20140413,16,PCA,111.69594586275608
1440,20140413,16,PM2.5,167.0
1446,20140413,17,PCA,107.57540990710072
1446,20140413,17,PM2.5,155.0
1452,20140413,18,PCA,108.47565689075707
1452,20140413,18,PM2.5,151.0
1458,20140413,19,PCA,102.36062064115121
1458,20140413,19,PM2.5,136.0
1464,20140413,20,PCA,116.1711004567984
1464,20140413,20,PM2.5,148.0
1470,20140413,21,PCA,139.30071761209845
1470,20140413,21,PM2.5,165.0
1476,20140413,22,PCA,164.28171977850823
1476,20140413,22,PM2.5,188.0
1482,20140413,23,PCA,177.23460367209358
1482,20140413,23,PM2.5,199.0
1488,20140414,0,PCA,197.1897988805575
1488,20140414,0,PM2.5,206.0
1494,20140414,1,PCA,213.84705943041484
1494,20140414,1,PM2.5,210.0
1500,20140414,2,PCA,217.44690138600262
1500,20140414,2,PM2.5,218.0
1506,20140414,3,PCA,226.73413385262091
1506,20140414,3,PM2.5,231.0
1512,20140414,4,PCA,203.89096161716316
1512,20140414,4,PM2.5,198.0
1518,20140414,5,PCA,213.14135164313475
1518,20140414,5,PM2.5,209.0
1524,20140414,6,PCA,245.4056253360576
1524,20140414,6,PM2.5,254.0
1530,20140414,7,PCA,244.931805497761
1530,20140414,7,PM2.5,251.0
1536,20140414,8,PCA,221.80639724058668
