,date,hour,type,门头沟
1602,20140414,19,PM2.5,259.0
1608,20140414,20,PCA,308.1074902634318
1608,20140414,20,PM2.5,274.0
1614,20140414,21,PCA,319.9159127160675
1614,20140414,21,PM2.5,280.0
1620,20140414,22,PCA,316.6121952020874
1620,20140414,22,PM2.5,277.0
1626,20140414,23,PCA,301.6796389315737
1626,20140414,23,PM2.5,270.0
1632,20140415,0,PCA,284.9756622596577
1632,20140415,0,PM2.5,252.0
1638,20140415,1,PCA,271.31865125058954
1638,20140415,1,PM2.5,240.0
1644,20140415,2,PCA,289.5563968786789
1644,20140415,2,PM2.5,236.0
1650,20140415,3,PCA,289.39654719673047
1650,20140415,3,PM2.5,239.0
1656,20140415,4,PCA,283.138164353566
1656,20140415,4,PM2.5,231.0
1662,20140415,5,PCA,277.38044174912704
1662,20140415,5,PM2.5,224.0
1818,20140416,7,PCA,10.336101399293444
1818,20140416,7,PM2.5,45.0
1824,20140416,8,PCA,13.237043750931166
1824,20140416,8,PM2.5,46.0
1830,20140416,9,PCA,18.99442467280851
1830,20140416,9,PM2.5,57.0
1836,20140416,10,PCA,1.6465867813835102
1836,20140416,10,PM2.5,43.0
1842,20140416,11,PCA,-21.06737311882585
1842,20140416,11,PM2.5,33.0
1848,20140416,12,PCA,-25.08730250908353
1848,20140416,12,PM2.5,40.0
1854,20140416,13,PCA,-32.51879532187051
1854,20140416,13,PM2.5,36.0
1860,20140416,14,PCA,-29.443538262639095
1860,20140416,14,PM2.5,38.0
1866,20140416,15,PCA,-31.05235037880975
1866,20140416,15,PM2.5,36.0
1872,20140416,16,PCA,-34.62925541880996
1872,20140416,16,PM2.5,36.0
1878,20140416,17,PCA,-24.256990516639366
1878,20140416,17,PM2.5,44.0
1884,20140416,18,PCA,-24.501380519344
1884,20140416,18,PM2.5,43.0
1890,20140416,19,PCA,-13.477330425905048
1890,20140416,19,PM2.5,47.0
1896,20140416,20,PCA,20.705289936274653
1896,20140416,20,PM2.5,61.0
1902,20140416,21,PCA,39.7104900908251
1902,20140416,21,PM2.5,64.0
1908,20140416,22,PCA,51.83685370464358
1908,20140416,22,PM2.5,71.0
1914,20140416,23,PCA,45.47154133392581
1914,20140416,23,PM2.5,59.0
1920,20140417,0,PCA,39.16872251922169
1920,20140417,0,PM2.5,62.0
1926,20140417,1,PCA,32.15260920530834
1926,20140417,1,PM2.5,57.0
1932,20140417,2,PCA,22.48971607633548
1932,20140417,2,PM2.5,50.0
1938,20140417,3,PCA,23.155425623242426
1938,20140417,3,PM2.5,56.0
1944,20140417,4,PCA,27.894090380402847
1944,20140417,4,PM2.5,60.0
1950,20140417,5,PCA,34.652370286414126
1950,20140417,5,PM2.5,63.0
1956,20140417,6,PCA,24.5819240550193
1956,20140417,6,PM2.5,62.0
1962,20140417,7,PCA,17.437086027372004
1962,20140417,7,PM2.5,63.0
1968,20140417,8,PCA,17.34066823371535
1968,20140417,8,PM2.5,66.0
1974,20140417,9,PCA,19.49512155035456
1974,20140417,9,PM2.5,70.0
1980,20140417,10,PCA,16.239842813442806
1980,20140417,10,PM2.5,61.0
1986,20140417,11,PCA,20.66450833366215
1986,20140417,11,PM2.5,67.0
1992,20140417,12,PCA,22.481784451965105
1992,20140417,12,PM2.5,74.0
1998,20140417,13,PCA,51.16840536032552
1998,20140417,13,PM2.5,108.0
2004,20140417,14,PCA,37.896359468829594
2004,20140417,14,PM2.5,88.0
2010,20140417,15,PCA,35.31112243052303
2010,20140417,15,PM2.5,81.0
