,date,hour,type,东高村
188556,20171221,3,PCA,-50.989682823681676
188556,20171221,3,PM2.5,31.0
188562,20171221,4,PCA,-43.59523427540218
188562,20171221,4,PM2.5,34.0
188568,20171221,5,PCA,-31.43894557227103
188568,20171221,5,PM2.5,41.0
188574,20171221,6,PCA,-44.00997892180983
188574,20171221,6,PM2.5,33.0
188580,20171221,7,PCA,-45.25972318329364
188580,20171221,7,PM2.5,33.0
188586,20171221,8,PCA,-46.28858300253147
188586,20171221,8,PM2.5,32.0
188592,20171221,9,PCA,-58.19746994009532
188592,20171221,9,PM2.5,26.0
188598,20171221,10,PCA,-62.89268560560721
188598,20171221,10,PM2.5,25.0
188604,20171221,11,PCA,-51.63320509647382
188604,20171221,11,PM2.5,31.0
188610,20171221,12,PCA,27.415107385793508
188610,20171221,12,PM2.5,77.0
188640,20171221,19,PCA,137.38323744498842
188640,20171221,19,PM2.5,144.0
188646,20171221,20,PCA,145.95716321486168
188646,20171221,20,PM2.5,150.0
188652,20171221,21,PCA,160.48970628218024
188652,20171221,21,PM2.5,160.0
188658,20171221,22,PCA,156.41167280724363
188658,20171221,22,PM2.5,157.0
188664,20171221,23,PCA,141.55004666822725
188664,20171221,23,PM2.5,147.0
188670,20171222,0,PCA,132.49397390694952
188670,20171222,0,PM2.5,142.0
188676,20171222,1,PCA,147.09471173901633
188676,20171222,1,PM2.5,153.0
188682,20171222,2,PCA,128.61959357130112
188682,20171222,2,PM2.5,142.0
188688,20171222,3,PCA,132.99429381320354
188688,20171222,3,PM2.5,145.0
188694,20171222,4,PCA,129.5053671685879
188694,20171222,4,PM2.5,143.0
188700,20171222,5,PCA,94.73861148776302
188700,20171222,5,PM2.5,123.0
188706,20171222,6,PCA,87.20914874746964
188706,20171222,6,PM2.5,118.0
188712,20171222,7,PCA,111.95195027789487
188712,20171222,7,PM2.5,131.0
188718,20171222,8,PCA,70.89647652612138
188718,20171222,8,PM2.5,107.0
188724,20171222,9,PCA,-0.9128683583190671
188724,20171222,9,PM2.5,63.0
188730,20171222,10,PCA,-15.700401841466189
188730,20171222,10,PM2.5,55.0
188736,20171222,11,PCA,-40.161555809360486
188736,20171222,11,PM2.5,39.0
188742,20171222,12,PCA,-90.11816147432053
188742,20171222,12,PM2.5,9.0
188748,20171222,13,PCA,-88.01457602620144
188748,20171222,13,PM2.5,12.0
188754,20171222,14,PCA,-90.82840872608506
188754,20171222,14,PM2.5,7.0
188760,20171222,15,PCA,-89.24395283453563
188760,20171222,15,PM2.5,8.0
188766,20171222,16,PCA,-85.8242303559903
188766,20171222,16,PM2.5,7.0
188772,20171222,17,PCA,-89.63777929509769
188772,20171222,17,PM2.5,8.0
188778,20171222,18,PCA,-90.24988831047669
188778,20171222,18,PM2.5,8.0
188784,20171222,19,PCA,-84.56363338937558
188784,20171222,19,PM2.5,9.0
188790,20171222,20,PCA,-84.75859115062977
188790,20171222,20,PM2.5,13.0
188796,20171222,21,PCA,-89.26339214959825
188796,20171222,21,PM2.5,9.0
188802,20171222,22,PCA,-75.3148271678218
188802,20171222,22,PM2.5,20.0
188808,20171222,23,PCA,-88.6260687055984
188808,20171222,23,PM2.5,12.0
188814,20171223,0,PCA,-82.56487412687534
188814,20171223,0,PM2.5,17.0
188820,20171223,1,PCA,-92.88434386961092
188820,20171223,1,PM2.5,7.0
188826,20171223,2,PCA,-59.147207416242125
188826,20171223,2,PM2.5,25.0
188832,20171223,3,PCA,-84.27857257983473
188832,20171223,3,PM2.5,16.0
188838,20171223,4,PCA,-85.47890801918005
188838,20171223,4,PM2.5,15.0
188844,20171223,5,PCA,-74.15765177560462
188844,20171223,5,PM2.5,19.0
188850,20171223,6,PCA,-72.82635910492971
188850,20171223,6,PM2.5,17.0
188856,20171223,7,PCA,-55.5064903470397
188856,20171223,7,PM2.5,24.0
188862,20171223,8,PCA,-31.045050000573994
188862,20171223,8,PM2.5,40.0
188868,20171223,9,PCA,-7.700336657309915
188868,20171223,9,PM2.5,55.0
188874,20171223,10,PCA,-7.197293690758244
188874,20171223,10,PM2.5,56.0
188880,20171223,11,PCA,10.708734478336963
188880,20171223,11,PM2.5,68.0
188886,20171223,12,PCA,30.15554416382298
188886,20171223,12,PM2.5,79.0
188892,20171223,13,PCA,25.371513038454346
188892,20171223,13,PM2.5,76.0
188898,20171223,14,PCA,-3.0513185204136857
188898,20171223,14,PM2.5,58.0
188904,20171223,15,PCA,-23.285493063079745
188904,20171223,15,PM2.5,46.0
188910,20171223,16,PCA,-45.43151925678701
188910,20171223,16,PM2.5,33.0
188916,20171223,17,PCA,-44.25228389486732
188916,20171223,17,PM2.5,35.0
188922,20171223,18,PCA,-37.919706686130894
188922,20171223,18,PM2.5,39.0
188928,20171223,19,PCA,-42.839744934902335
188928,20171223,19,PM2.5,36.0
188934,20171223,20,PCA,-39.52653486389236
188934,20171223,20,PM2.5,37.0
188940,20171223,21,PCA,-43.91562628619693
188940,20171223,21,PM2.5,27.0
188946,20171223,22,PCA,-45.19587629502491
188946,20171223,22,PM2.5,36.0
188952,20171223,23,PCA,-43.84391238582682
188952,20171223,23,PM2.5,34.0
188958,20171224,0,PCA,-13.608682342405217
188958,20171224,0,PM2.5,53.0
188964,20171224,1,PCA,-25.4476193045646
188964,20171224,1,PM2.5,47.0
188970,20171224,2,PCA,-35.90705664326223
188970,20171224,2,PM2.5,42.0
188976,20171224,3,PCA,-30.564521419581503
188976,20171224,3,PM2.5,45.0
188982,20171224,4,PCA,-20.219339593201465
188982,20171224,4,PM2.5,50.0
188988,20171224,5,PCA,-33.233892153313775
188988,20171224,5,PM2.5,41.0
188994,20171224,6,PCA,-44.740622132058895
188994,20171224,6,PM2.5,32.0
189000,20171224,7,PCA,-62.65024009169041
189000,20171224,7,PM2.5,25.0
189006,20171224,8,PCA,-73.63112253183526
189006,20171224,8,PM2.5,13.0
189012,20171224,9,PCA,-72.77934760945737
189012,20171224,9,PM2.5,19.0
189018,20171224,10,PCA,-78.45855346480755
189018,20171224,10,PM2.5,16.0
189024,20171224,11,PCA,-88.50562180878143
189024,20171224,11,PM2.5,10.0
189030,20171224,12,PCA,-79.88681544238274
189030,20171224,12,PM2.5,4.0
189036,20171224,13,PCA,-93.62480478540306
189036,20171224,13,PM2.5,3.0
189042,20171224,14,PCA,-89.8106140507601
189042,20171224,14,PM2.5,5.0
189048,20171224,15,PCA,-86.64526456177161
189048,20171224,15,PM2.5,3.0
189054,20171224,16,PCA,-93.58503844122885
189054,20171224,16,PM2.5,3.0
189060,20171224,17,PCA,-90.1472335292235
189060,20171224,17,PM2.5,9.0
189066,20171224,18,PCA,-91.46092312674172
189066,20171224,18,PM2.5,7.0
189072,20171224,19,PCA,-82.8264034808568
189072,20171224,19,PM2.5,14.0
189078,20171224,20,PCA,-68.59566566340683
189078,20171224,20,PM2.5,24.0
189084,20171224,21,PCA,-82.36418840791025
189084,20171224,21,PM2.5,16.0
189090,20171224,22,PCA,-94.94303422877702
189090,20171224,22,PM2.5,6.0
189096,20171224,23,PCA,-77.87505927334591
189096,20171224,23,PM2.5,13.0
189102,20171225,0,PCA,-85.78698583955142
189102,20171225,0,PM2.5,11.0
189108,20171225,1,PCA,-95.06413214484897
189108,20171225,1,PM2.5,8.0
189114,20171225,2,PCA,-97.02219933976642
189114,20171225,2,PM2.5,5.0
189120,20171225,3,PCA,-96.57021164634847
189120,20171225,3,PM2.5,4.0
189126,20171225,4,PCA,-94.77459163227867
189126,20171225,4,PM2.5,7.0
189132,20171225,5,PCA,-94.43503518530724
189132,20171225,5,PM2.5,8.0
189138,20171225,6,PCA,-94.71074959755919
189138,20171225,6,PM2.5,8.0
189144,20171225,7,PCA,-95.90426484384864
189144,20171225,7,PM2.5,6.0
189150,20171225,8,PCA,-93.82244672824424
189150,20171225,8,PM2.5,4.0
189156,20171225,9,PCA,-63.03152168636074
189156,20171225,9,PM2.5,17.0
189162,20171225,10,PCA,-88.12566225038177
189162,20171225,10,PM2.5,12.0
189168,20171225,11,PCA,-84.16670232072636
189168,20171225,11,PM2.5,13.0
189174,20171225,12,PCA,-54.42378236934042
189174,20171225,12,PM2.5,30.0
189180,20171225,13,PCA,-42.154509848273435
189180,20171225,13,PM2.5,36.0
189186,20171225,14,PCA,-23.056299360386515
189186,20171225,14,PM2.5,49.0
189192,20171225,15,PCA,-19.199020242438813
189192,20171225,15,PM2.5,52.0
189198,20171225,16,PCA,-23.23959102138939
189198,20171225,16,PM2.5,49.0
189204,20171225,17,PCA,-70.48405750870587
189204,20171225,17,PM2.5,45.0
189210,20171225,18,PCA,-34.74611522785114
189210,20171225,18,PM2.5,41.0
189216,20171225,19,PCA,-6.284345551645602
189216,20171225,19,PM2.5,59.0
189222,20171225,20,PCA,-11.589176734070843
189222,20171225,20,PM2.5,56.0
189228,20171225,21,PCA,-32.75609938894544
189228,20171225,21,PM2.5,42.0
189234,20171225,22,PCA,-31.22560679653005
189234,20171225,22,PM2.5,41.0
189240,20171225,23,PCA,-18.69647542196859
189240,20171225,23,PM2.5,52.0
189246,20171226,0,PCA,-20.15212497593676
189246,20171226,0,PM2.5,51.0
189252,20171226,1,PCA,-42.2943878190365
189252,20171226,1,PM2.5,39.0
189258,20171226,2,PCA,-74.27824071373492
189258,20171226,2,PM2.5,19.0
189264,20171226,3,PCA,-89.56241098350795
189264,20171226,3,PM2.5,8.0
189270,20171226,4,PCA,-89.03675038811603
189270,20171226,4,PM2.5,13.0
189276,20171226,5,PCA,-93.800194925764
189276,20171226,5,PM2.5,7.0
189282,20171226,6,PCA,-72.30006566029707
189282,20171226,6,PM2.5,16.0
189288,20171226,7,PCA,-90.68194261600823
189288,20171226,7,PM2.5,12.0
189294,20171226,8,PCA,-90.11268523251414
189294,20171226,8,PM2.5,15.5
189300,20171226,9,PCA,-67.3894573913412
189300,20171226,9,PM2.5,19.0
189306,20171226,10,PCA,-50.94110239850127
189306,20171226,10,PM2.5,33.0
189312,20171226,11,PCA,-45.84092185999685
189312,20171226,11,PM2.5,36.0
189318,20171226,12,PCA,-57.561900102057486
189318,20171226,12,PM2.5,28.0
189324,20171226,13,PCA,-70.34726864168033
189324,20171226,13,PM2.5,20.0
189444,20171227,9,PCA,-37.06749565317627
189444,20171227,9,PM2.5,40.0
189450,20171227,10,PCA,-40.443391324008786
189450,20171227,10,PM2.5,38.0
189468,20171227,13,PCA,-46.18672880548488
189468,20171227,13,PM2.5,36.0
189474,20171227,14,PCA,-22.36318617080222
189474,20171227,14,PM2.5,50.0
189498,20171227,18,PCA,0.34324496594135734
189498,20171227,18,PM2.5,63.0
189504,20171227,19,PCA,-1.155349899095411
189504,20171227,19,PM2.5,62.0
189510,20171227,20,PCA,11.655500527088105
189510,20171227,20,PM2.5,71.0
189516,20171227,21,PCA,11.429155166053336
189516,20171227,21,PM2.5,70.0
189522,20171227,22,PCA,14.009542285945193
189522,20171227,22,PM2.5,72.0
189528,20171227,23,PCA,5.646526131611385
189528,20171227,23,PM2.5,66.0
189534,20171228,0,PCA,10.326595007782545
189534,20171228,0,PM2.5,70.0
189540,20171228,1,PCA,12.542193038742438
189540,20171228,1,PM2.5,72.0
189546,20171228,2,PCA,21.47176311062706
189546,20171228,2,PM2.5,77.0
189552,20171228,3,PCA,19.41239518236288
189552,20171228,3,PM2.5,76.0
189558,20171228,4,PCA,22.814076066645203
189558,20171228,4,PM2.5,78.0
189564,20171228,5,PCA,22.971683518235473
189564,20171228,5,PM2.5,78.0
189570,20171228,6,PCA,21.315481201608435
189570,20171228,6,PM2.5,77.0
189576,20171228,7,PCA,25.756073308574614
189576,20171228,7,PM2.5,80.0
189582,20171228,8,PCA,29.792075299161766
189582,20171228,8,PM2.5,83.0
189588,20171228,9,PCA,25.738885912609035
189588,20171228,9,PM2.5,81.0
189594,20171228,10,PCA,53.742369867837695
189594,20171228,10,PM2.5,99.0
189600,20171228,11,PCA,38.570233301314246
189600,20171228,11,PM2.5,89.0
189606,20171228,12,PCA,41.168079272470244
189606,20171228,12,PM2.5,91.0
189612,20171228,13,PCA,57.73432318169046
189612,20171228,13,PM2.5,101.0
189618,20171228,14,PCA,66.36499602970687
189618,20171228,14,PM2.5,106.0
189648,20171228,19,PCA,111.25187699330877
189648,20171228,19,PM2.5,130.0
189654,20171228,20,PCA,128.2204877721994
189654,20171228,20,PM2.5,141.0
189660,20171228,21,PCA,131.00172080634255
189660,20171228,21,PM2.5,142.0
189666,20171228,22,PCA,129.38437100717053
189666,20171228,22,PM2.5,141.0
189672,20171228,23,PCA,121.8123422856658
189672,20171228,23,PM2.5,137.0
189678,20171229,0,PCA,136.83207060221315
189678,20171229,0,PM2.5,146.0
189684,20171229,1,PCA,134.77720209576668
189684,20171229,1,PM2.5,145.0
189690,20171229,2,PCA,126.93463595292576
189690,20171229,2,PM2.5,141.0
189696,20171229,3,PCA,124.75816138031485
189696,20171229,3,PM2.5,139.0
189702,20171229,4,PCA,125.2576460501148
189702,20171229,4,PM2.5,139.0
189708,20171229,5,PCA,120.42322748258657
189708,20171229,5,PM2.5,136.0
189714,20171229,6,PCA,119.75815134831741
189714,20171229,6,PM2.5,136.0
189720,20171229,7,PCA,126.04297311235229
189720,20171229,7,PM2.5,140.0
189726,20171229,8,PCA,125.37857454718117
189726,20171229,8,PM2.5,140.0
189732,20171229,9,PCA,134.899520414302
189732,20171229,9,PM2.5,146.0
189738,20171229,10,PCA,119.9247701161175
189738,20171229,10,PM2.5,137.0
189744,20171229,11,PCA,151.80213671595087
189744,20171229,11,PM2.5,157.0
189750,20171229,12,PCA,178.2224716716893
189750,20171229,12,PM2.5,176.0
189756,20171229,13,PCA,264.4929078540788
189756,20171229,13,PM2.5,236.0
189762,20171229,14,PCA,255.07974660327966
189762,20171229,14,PM2.5,230.0
189768,20171229,15,PCA,257.36120181603036
189768,20171229,15,PM2.5,232.0
189774,20171229,16,PCA,271.64038977033
189774,20171229,16,PM2.5,241.0
189780,20171229,17,PCA,263.6673435405657
189780,20171229,17,PM2.5,235.0
189786,20171229,18,PCA,270.55044821966135
189786,20171229,18,PM2.5,240.0
189792,20171229,19,PCA,259.1588615445144
189792,20171229,19,PM2.5,232.0
189798,20171229,20,PCA,248.7032381592058
189798,20171229,20,PM2.5,225.0
189804,20171229,21,PCA,236.9191454784201
189804,20171229,21,PM2.5,217.0
189810,20171229,22,PCA,251.31723143909113
189810,20171229,22,PM2.5,227.0
189816,20171229,23,PCA,259.0988936060103
189816,20171229,23,PM2.5,232.0
189822,20171230,0,PCA,259.61607847234393
189822,20171230,0,PM2.5,232.0
189828,20171230,1,PCA,262.8307866985406
189828,20171230,1,PM2.5,235.0
189834,20171230,2,PCA,245.09434095430896
189834,20171230,2,PM2.5,223.0
189840,20171230,3,PCA,238.47859472965513
189840,20171230,3,PM2.5,218.0
189846,20171230,4,PCA,258.49616785177227
189846,20171230,4,PM2.5,233.0
189852,20171230,5,PCA,246.15295039754773
189852,20171230,5,PM2.5,224.0
189858,20171230,6,PCA,242.25343313325396
189858,20171230,6,PM2.5,221.0
189864,20171230,7,PCA,244.47389310416975
189864,20171230,7,PM2.5,222.0
189870,20171230,8,PCA,231.79949272100677
189870,20171230,8,PM2.5,213.0
189876,20171230,9,PCA,196.52930565876585
189876,20171230,9,PM2.5,188.0
189882,20171230,10,PCA,263.6095491649926
189882,20171230,10,PM2.5,236.0
189888,20171230,11,PCA,276.65009377528366
189888,20171230,11,PM2.5,245.0
189894,20171230,12,PCA,257.3576731149032
189894,20171230,12,PM2.5,231.0
189900,20171230,13,PCA,95.27856679541068
189900,20171230,13,PM2.5,123.0
189906,20171230,14,PCA,99.0628670504157
189906,20171230,14,PM2.5,124.0
189912,20171230,15,PCA,97.89285322688845
189912,20171230,15,PM2.5,124.0
189918,20171230,16,PCA,-72.61974831178378
189918,20171230,16,PM2.5,22.0
189924,20171230,17,PCA,-93.43606584570728
189924,20171230,17,PM2.5,8.0
189930,20171230,18,PCA,-93.32860093082112
189930,20171230,18,PM2.5,9.0
189936,20171230,19,PCA,-73.57387761760869
189936,20171230,19,PM2.5,21.0
189942,20171230,20,PCA,-86.16111516984812
189942,20171230,20,PM2.5,14.0
189948,20171230,21,PCA,-85.27751513549242
189948,20171230,21,PM2.5,14.0
189954,20171230,22,PCA,-94.29815681778875
189954,20171230,22,PM2.5,6.0
189960,20171230,23,PCA,-90.6785223038443
189960,20171230,23,PM2.5,12.0
189966,20171231,0,PCA,-96.28873459311274
189966,20171231,0,PM2.5,7.0
189972,20171231,1,PCA,-91.12474561287212
189972,20171231,1,PM2.5,8.0
189978,20171231,2,PCA,-91.41824206077791
189978,20171231,2,PM2.5,7.0
189984,20171231,3,PCA,-97.9965960462811
189984,20171231,3,PM2.5,5.0
189990,20171231,4,PCA,-95.08528446577031
189990,20171231,4,PM2.5,8.0
189996,20171231,5,PCA,-89.39371057180688
189996,20171231,5,PM2.5,13.0
190002,20171231,6,PCA,-88.00459576872767
190002,20171231,6,PM2.5,14.0
190008,20171231,7,PCA,-92.50036324078793
190008,20171231,7,PM2.5,10.0
190014,20171231,8,PCA,-80.23244128467327
190014,20171231,8,PM2.5,15.0
190020,20171231,9,PCA,-69.82112624796
190020,20171231,9,PM2.5,20.0
190026,20171231,10,PCA,-82.28116207951354
190026,20171231,10,PM2.5,13.0
190032,20171231,11,PCA,-70.72342723233709
190032,20171231,11,PM2.5,19.0
190038,20171231,12,PCA,-67.71675019130394
190038,20171231,12,PM2.5,22.0
190044,20171231,13,PCA,-56.18918188832778
190044,20171231,13,PM2.5,21.0
190050,20171231,14,PCA,-42.24718259262638
190050,20171231,14,PM2.5,35.0
190056,20171231,15,PCA,-48.43362412188942
190056,20171231,15,PM2.5,28.0
190062,20171231,16,PCA,-55.92696574152885
190062,20171231,16,PM2.5,21.0
190068,20171231,17,PCA,-54.63889211318718
190068,20171231,17,PM2.5,20.0
190074,20171231,18,PCA,-33.06686305841134
190074,20171231,18,PM2.5,37.0
190080,20171231,19,PCA,-10.603481874877279
190080,20171231,19,PM2.5,55.0
190086,20171231,20,PCA,-2.9446653131616642
190086,20171231,20,PM2.5,61.0
190092,20171231,21,PCA,-19.18577808866081
190092,20171231,21,PM2.5,52.0
190098,20171231,22,PCA,-9.677429132848262
190098,20171231,22,PM2.5,57.0
190104,20171231,23,PCA,-15.988506503029845
190104,20171231,23,PM2.5,54.0
190110,20180101,0,PCA,-7.897062972693756
190110,20180101,0,PM2.5,57.0
190116,20180101,1,PCA,-8.591780342000686
190116,20180101,1,PM2.5,58.0
190122,20180101,2,PCA,-24.472564427968006
190122,20180101,2,PM2.5,50.0
190128,20180101,3,PCA,-26.3611639008472
190128,20180101,3,PM2.5,49.0
190134,20180101,4,PCA,-28.05959927617189
190134,20180101,4,PM2.5,48.0
190140,20180101,5,PCA,-24.32673546295112
190140,20180101,5,PM2.5,50.0
190146,20180101,6,PCA,-41.10175749297866
190146,20180101,6,PM2.5,40.0
190152,20180101,7,PCA,-43.3257461650216
190152,20180101,7,PM2.5,38.0
190158,20180101,8,PCA,-33.78896804013129
190158,20180101,8,PM2.5,43.0
190164,20180101,9,PCA,-41.66758993443913
190164,20180101,9,PM2.5,38.0
190170,20180101,10,PCA,-45.77527711698787
190170,20180101,10,PM2.5,35.0
190176,20180101,11,PCA,-9.995337581380355
190176,20180101,11,PM2.5,58.0
190182,20180101,12,PCA,18.651286445734097
190182,20180101,12,PM2.5,75.0
190188,20180101,13,PCA,-42.513702845511126
190188,20180101,13,PM2.5,37.0
190194,20180101,14,PCA,-64.23315800188635
190194,20180101,14,PM2.5,25.0
190200,20180101,15,PCA,-44.90944316620397
190200,20180101,15,PM2.5,35.0
190206,20180101,16,PCA,-39.71862615082682
190206,20180101,16,PM2.5,38.0
190212,20180101,17,PCA,-20.150577256459243
190212,20180101,17,PM2.5,50.0
190218,20180101,18,PCA,-1.7775294269173438
190218,20180101,18,PM2.5,59.0
190224,20180101,19,PCA,11.972267481782554
190224,20180101,19,PM2.5,62.0
190230,20180101,20,PCA,6.810195893431147
190230,20180101,20,PM2.5,64.0
190236,20180101,21,PCA,-15.061389187100087
190236,20180101,21,PM2.5,52.0
190242,20180101,22,PCA,-10.240545636496735
190242,20180101,22,PM2.5,54.0
190248,20180101,23,PCA,-15.239878099396122
190248,20180101,23,PM2.5,51.0
190254,20180102,0,PCA,-7.953672168239137
190254,20180102,0,PM2.5,55.0
190260,20180102,1,PCA,-20.003048527973426
190260,20180102,1,PM2.5,48.0
190266,20180102,2,PCA,-27.835523197848723
190266,20180102,2,PM2.5,43.5
190272,20180102,3,PCA,-35.667997867724026
190272,20180102,3,PM2.5,39.0
190278,20180102,4,PCA,-21.646491955132817
190278,20180102,4,PM2.5,48.0
190284,20180102,5,PCA,-9.760910529516261
190284,20180102,5,PM2.5,56.0
190290,20180102,6,PCA,-1.9597937039109592
190290,20180102,6,PM2.5,61.0
190296,20180102,7,PCA,-0.8879885736045398
190296,20180102,7,PM2.5,62.0
190302,20180102,8,PCA,-12.601677494934314
190302,20180102,8,PM2.5,55.0
190308,20180102,9,PCA,-9.545700769229681
190308,20180102,9,PM2.5,57.0
190314,20180102,10,PCA,-16.282833411072257
190314,20180102,10,PM2.5,53.0
190320,20180102,11,PCA,-5.2864408072580185
190320,20180102,11,PM2.5,60.0
190326,20180102,12,PCA,-8.87399302927378
190326,20180102,12,PM2.5,58.0
190332,20180102,13,PCA,-90.18314798788076
190332,20180102,13,PM2.5,11.0
190356,20180102,17,PCA,-91.05961711736532
190356,20180102,17,PM2.5,10.0
190362,20180102,18,PCA,-87.18056538117547
190362,20180102,18,PM2.5,10.0
190368,20180102,19,PCA,-72.0826679896916
190368,20180102,19,PM2.5,21.0
190374,20180102,20,PCA,-68.29744092098832
190374,20180102,20,PM2.5,24.0
190380,20180102,21,PCA,-85.95078703228558
190380,20180102,21,PM2.5,14.0
190386,20180102,22,PCA,-90.94372978519237
190386,20180102,22,PM2.5,5.0
190392,20180102,23,PCA,-94.8458313766923
190392,20180102,23,PM2.5,4.0
190398,20180103,0,PCA,-94.35482027738517
190398,20180103,0,PM2.5,6.0
190404,20180103,1,PCA,-96.79162136173696
190404,20180103,1,PM2.5,3.0
190410,20180103,2,PCA,-97.12415942887156
190410,20180103,2,PM2.5,3.0
190416,20180103,3,PCA,-97.24360905515498
190416,20180103,3,PM2.5,4.0
190422,20180103,4,PCA,-98.18728541697809
190422,20180103,4,PM2.5,3.0
190428,20180103,5,PCA,-94.62934083701688
190428,20180103,5,PM2.5,9.0
190434,20180103,6,PCA,-95.17878919772227
190434,20180103,6,PM2.5,8.0
190440,20180103,7,PCA,-96.55793443647565
190440,20180103,7,PM2.5,6.0
190446,20180103,8,PCA,-94.37298738366151
190446,20180103,8,PM2.5,9.0
190452,20180103,9,PCA,-91.83296124763208
190452,20180103,9,PM2.5,9.0
190458,20180103,10,PCA,-94.58989767723234
190458,20180103,10,PM2.5,8.0
190464,20180103,11,PCA,-95.10548140962474
190464,20180103,11,PM2.5,6.0
190470,20180103,12,PCA,-91.31957786211302
190470,20180103,12,PM2.5,12.0
190476,20180103,13,PCA,-96.62017533725393
190476,20180103,13,PM2.5,3.0
190482,20180103,14,PCA,-95.79047845920596
190482,20180103,14,PM2.5,4.0
190488,20180103,15,PCA,-96.98560731201106
190488,20180103,15,PM2.5,3.0
190494,20180103,16,PCA,-93.41701559862587
190494,20180103,16,PM2.5,8.0
190500,20180103,17,PCA,-85.81073892159209
190500,20180103,17,PM2.5,15.0
190506,20180103,18,PCA,-76.28239859363217
190506,20180103,18,PM2.5,19.0
190512,20180103,19,PCA,-75.95150881628612
190512,20180103,19,PM2.5,20.0
190518,20180103,20,PCA,-77.3978141315308
190518,20180103,20,PM2.5,19.0
190524,20180103,21,PCA,-71.86099871569392
190524,20180103,21,PM2.5,18.0
190530,20180103,22,PCA,-70.55319327381403
190530,20180103,22,PM2.5,20.0
190536,20180103,23,PCA,-81.37895146883913
190536,20180103,23,PM2.5,17.0
190542,20180104,0,PCA,-91.75829941162804
190542,20180104,0,PM2.5,10.0
190548,20180104,1,PCA,-86.7786936746185
190548,20180104,1,PM2.5,10.0
190554,20180104,2,PCA,-86.5376287584513
190554,20180104,2,PM2.5,7.0
190560,20180104,3,PCA,-91.47395301302353
190560,20180104,3,PM2.5,10.0
190566,20180104,4,PCA,-101.33384312720477
190566,20180104,4,PM2.5,6.0
190572,20180104,5,PCA,-96.7946072294988
190572,20180104,5,PM2.5,5.0
190578,20180104,6,PCA,-94.57673158578925
190578,20180104,6,PM2.5,8.0
190584,20180104,7,PCA,-98.56794578609708
190584,20180104,7,PM2.5,3.0
190590,20180104,8,PCA,-94.39436348962955
190590,20180104,8,PM2.5,10.0
190596,20180104,9,PCA,-98.35103549252626
190596,20180104,9,PM2.5,4.0
190602,20180104,10,PCA,-94.55733594361973
190602,20180104,10,PM2.5,8.0
190608,20180104,11,PCA,-83.51704443109645
190608,20180104,11,PM2.5,15.0
190626,20180104,14,PCA,-92.23089806203055
190626,20180104,14,PM2.5,8.0
190632,20180104,15,PCA,-92.25929254783544
190632,20180104,15,PM2.5,8.0
190650,20180104,18,PCA,-91.24027856033665
190650,20180104,18,PM2.5,12.0
190656,20180104,19,PCA,-96.34557072056985
190656,20180104,19,PM2.5,6.0
190662,20180104,20,PCA,-90.40483551123819
190662,20180104,20,PM2.5,12.0
190668,20180104,21,PCA,-81.94635562334865
190668,20180104,21,PM2.5,17.0
190674,20180104,22,PCA,-83.09504839608587
190674,20180104,22,PM2.5,13.0
190680,20180104,23,PCA,-57.31342647171731
190680,20180104,23,PM2.5,27.0
190686,20180105,0,PCA,-52.58942400356423
190686,20180105,0,PM2.5,31.0
190692,20180105,1,PCA,-50.80379924747292
190692,20180105,1,PM2.5,34.0
190698,20180105,2,PCA,-66.54731698823012
190698,20180105,2,PM2.5,26.0
190704,20180105,3,PCA,-76.6751948798143
190704,20180105,3,PM2.5,20.0
190710,20180105,4,PCA,-70.13820837242652
190710,20180105,4,PM2.5,24.0
190716,20180105,5,PCA,-75.42395462449748
190716,20180105,5,PM2.5,21.0
190722,20180105,6,PCA,-75.16796802842498
190722,20180105,6,PM2.5,21.0
190728,20180105,7,PCA,-69.71663031188478
190728,20180105,7,PM2.5,24.0
190734,20180105,8,PCA,-82.62405826455067
190734,20180105,8,PM2.5,16.0
190740,20180105,9,PCA,-82.09685667804386
190740,20180105,9,PM2.5,16.0
190746,20180105,10,PCA,-81.45496335539096
190746,20180105,10,PM2.5,16.0
190752,20180105,11,PCA,-83.04611901563136
190752,20180105,11,PM2.5,16.0
190758,20180105,12,PCA,-95.94359387390459
190758,20180105,12,PM2.5,3.0
190764,20180105,13,PCA,-95.53000491389022
190764,20180105,13,PM2.5,3.0
190770,20180105,14,PCA,-94.0936691629714
190770,20180105,14,PM2.5,5.0
190794,20180105,18,PCA,-68.17289723319901
190794,20180105,18,PM2.5,25.0
190800,20180105,19,PCA,-80.09343995700515
190800,20180105,19,PM2.5,17.0
190806,20180105,20,PCA,-78.80269691348208
190806,20180105,20,PM2.5,19.0
190812,20180105,21,PCA,-78.02336526689531
190812,20180105,21,PM2.5,19.0
190818,20180105,22,PCA,-71.14866370145718
190818,20180105,22,PM2.5,23.0
190824,20180105,23,PCA,-80.10730582824476
190824,20180105,23,PM2.5,18.0
190830,20180106,0,PCA,-91.84867698300845
190830,20180106,0,PM2.5,11.0
190836,20180106,1,PCA,-94.58374996562611
190836,20180106,1,PM2.5,7.0
190842,20180106,2,PCA,-90.79169870650816
190842,20180106,2,PM2.5,12.0
190848,20180106,3,PCA,-93.80634263737022
190848,20180106,3,PM2.5,8.0
190854,20180106,4,PCA,-100.07182594114943
190854,20180106,4,PM2.5,7.0
190860,20180106,5,PCA,-96.1052691739596
190860,20180106,5,PM2.5,5.0
