,date,hour,type,延庆
1254,20140412,9,PM2.5,90.0
1260,20140412,10,PCA,36.85083732481884
1260,20140412,10,PM2.5,99.0
1278,20140412,13,PCA,12.392094794660332
1278,20140412,13,PM2.5,61.0
1284,20140412,14,PCA,43.41122154135256
1284,20140412,14,PM2.5,104.0
1290,20140412,15,PCA,53.152446927080625
1290,20140412,15,PM2.5,113.0
1296,20140412,16,PCA,60.37123383730763
1296,20140412,16,PM2.5,119.0
1302,20140412,17,PCA,51.284359725882105
1302,20140412,17,PM2.5,106.0
1308,20140412,18,PCA,49.0276083243923
1308,20140412,18,PM2.5,101.0
1314,20140412,19,PCA,42.37975820041501
1314,20140412,19,PM2.5,90.0
1320,20140412,20,PCA,50.57389715536095
1320,20140412,20,PM2.5,99.0
1326,20140412,21,PCA,52.648562723627
1326,20140412,21,PM2.5,101.0
1332,20140412,22,PCA,57.6803415346683
1332,20140412,22,PM2.5,105.0
1338,20140412,23,PCA,64.548618547296
1338,20140412,23,PM2.5,112.0
1344,20140413,0,PCA,72.69485486847888
1344,20140413,0,PM2.5,116.0
1350,20140413,1,PCA,63.874651633280095
1350,20140413,1,PM2.5,108.0
1356,20140413,2,PCA,69.29670686584438
1356,20140413,2,PM2.5,111.0
1362,20140413,3,PCA,53.688717844326284
1362,20140413,3,PM2.5,90.0
1368,20140413,4,PCA,53.5923777428818
1368,20140413,4,PM2.5,89.0
1374,20140413,5,PCA,69.0926586493234
1374,20140413,5,PM2.5,108.0
1380,20140413,6,PCA,72.46382868954124
1380,20140413,6,PM2.5,110.0
1386,20140413,7,PCA,82.35611274193501
1386,20140413,7,PM2.5,117.0
1392,20140413,8,PCA,93.8228081846145
1392,20140413,8,PM2.5,129.0
1398,20140413,9,PCA,103.1771025677334
1398,20140413,9,PM2.5,140.0
1404,20140413,10,PCA,107.99557913509496
1404,20140413,10,PM2.5,145.0
1410,20140413,11,PCA,102.62015224415755
1410,20140413,11,PM2.5,139.0
1416,20140413,12,PCA,102.62008800436134
1416,20140413,12,PM2.5,139.0
1422,20140413,13,PCA,100.47465111004153
1422,20140413,13,PM2.5,132.0
1428,20140413,14,PCA,90.32726722925887
1428,20140413,14,PM2.5,115.0
1434,20140413,15,PCA,120.71017134338729
1434,20140413,15,PM2.5,155.0
1440,20140413,16,PCA,146.73657334387974
1440,20140413,16,PM2.5,185.0
1446,20140413,17,PCA,169.22982799931705
1446,20140413,17,PM2.5,211.0
1452,20140413,18,PCA,164.26068381247168
1452,20140413,18,PM2.5,202.0
1458,20140413,19,PCA,157.44727024243164
1458,20140413,19,PM2.5,186.0
1464,20140413,20,PCA,154.57448911112584
1464,20140413,20,PM2.5,178.0
1470,20140413,21,PCA,151.86838394029658
1470,20140413,21,PM2.5,170.0
1476,20140413,22,PCA,161.0181262710688
1476,20140413,22,PM2.5,179.0
1482,20140413,23,PCA,160.19904574111055
1482,20140413,23,PM2.5,172.0
1488,20140414,0,PCA,167.59354696151567
1488,20140414,0,PM2.5,179.0
1494,20140414,1,PCA,151.0847383834083
1494,20140414,1,PM2.5,152.0
1500,20140414,2,PCA,148.98148701835186
1500,20140414,2,PM2.5,151.0
1506,20140414,3,PCA,153.5653839535059
1506,20140414,3,PM2.5,154.0
1512,20140414,4,PCA,156.38943349210783
1512,20140414,4,PM2.5,156.0
1518,20140414,5,PCA,156.66250196573287
1518,20140414,5,PM2.5,154.0
1524,20140414,6,PCA,178.7043764239249
1524,20140414,6,PM2.5,180.0
1530,20140414,7,PCA,189.24783161481267
1530,20140414,7,PM2.5,189.0
1536,20140414,8,PCA,209.13466693750578
1536,20140414,8,PM2.5,210.0
1542,20140414,9,PCA,220.01511003276363
1542,20140414,9,PM2.5,227.0
1548,20140414,10,PCA,240.7470210199432
1548,20140414,10,PM2.5,254.0
1554,20140414,11,PCA,224.81660617697273
1554,20140414,11,PM2.5,231.0
1560,20140414,12,PCA,209.37749023113798
1560,20140414,12,PM2.5,206.0
1566,20140414,13,PCA,188.5412832800453
1566,20140414,13,PM2.5,171.0
1572,20140414,14,PCA,188.08806911460465
1572,20140414,14,PM2.5,168.0
1578,20140414,15,PCA,200.03533091397003
1578,20140414,15,PM2.5,184.0
1584,20140414,16,PCA,235.53494638300958
1584,20140414,16,PM2.5,234.0
1590,20140414,17,PCA,268.38206161624504
1590,20140414,17,PM2.5,276.0
1596,20140414,18,PCA,298.99207736057093
1596,20140414,18,PM2.5,312.0
1602,20140414,19,PCA,277.7299972255402
1602,20140414,19,PM2.5,277.0
1608,20140414,20,PCA,265.60369435341437
1608,20140414,20,PM2.5,262.0
1614,20140414,21,PCA,252.52325503186623
1614,20140414,21,PM2.5,242.0
1620,20140414,22,PCA,241.74750698623149
1620,20140414,22,PM2.5,224.0
1626,20140414,23,PCA,244.32067096582594
1626,20140414,23,PM2.5,226.0
1632,20140415,0,PCA,255.0660050699596
1632,20140415,0,PM2.5,240.0
1638,20140415,1,PCA,283.2246386954269
1638,20140415,1,PM2.5,278.0
1644,20140415,2,PCA,288.61078780016857
1644,20140415,2,PM2.5,281.0
1650,20140415,3,PCA,282.81037563925554
1650,20140415,3,PM2.5,268.0
1656,20140415,4,PCA,259.93157924295167
1656,20140415,4,PM2.5,229.0
1662,20140415,5,PCA,289.4256760077125
1662,20140415,5,PM2.5,266.0
1818,20140416,7,PCA,-0.4100673372936341
1818,20140416,7,PM2.5,54.0
1824,20140416,8,PCA,8.076782645005665
1824,20140416,8,PM2.5,64.0
1830,20140416,9,PCA,3.2424632137600478
1830,20140416,9,PM2.5,60.0
1836,20140416,10,PCA,-1.0746166358543576
1836,20140416,10,PM2.5,54.0
1842,20140416,11,PCA,-7.4380890813088785
1842,20140416,11,PM2.5,48.0
1848,20140416,12,PCA,-7.722083654434681
1848,20140416,12,PM2.5,52.0
1854,20140416,13,PCA,-8.3457779751849
1854,20140416,13,PM2.5,52.0
1860,20140416,14,PCA,-6.455190773159869
1860,20140416,14,PM2.5,52.0
1866,20140416,15,PCA,-7.644727138585683
1866,20140416,15,PM2.5,48.0
1872,20140416,16,PCA,-4.143384573452382
1872,20140416,16,PM2.5,52.0
1878,20140416,17,PCA,-2.122889742535619
1878,20140416,17,PM2.5,53.0
1884,20140416,18,PCA,-7.149781816374563
1884,20140416,18,PM2.5,49.0
1890,20140416,19,PCA,3.6725623720973553
1890,20140416,19,PM2.5,61.0
1896,20140416,20,PCA,12.589257931133393
1896,20140416,20,PM2.5,64.0
1902,20140416,21,PCA,28.835875817584714
1902,20140416,21,PM2.5,78.0
1908,20140416,22,PCA,31.479133240918575
1908,20140416,22,PM2.5,72.0
1914,20140416,23,PCA,37.98707910810713
1914,20140416,23,PM2.5,76.0
1920,20140417,0,PCA,39.35808078309938
1920,20140417,0,PM2.5,78.0
1926,20140417,1,PCA,35.34593641300232
1926,20140417,1,PM2.5,74.0
1932,20140417,2,PCA,34.39802697341194
1932,20140417,2,PM2.5,74.0
1938,20140417,3,PCA,41.038352880660554
1938,20140417,3,PM2.5,83.0
1944,20140417,4,PCA,31.546767092885826
1944,20140417,4,PM2.5,72.0
1950,20140417,5,PCA,26.407013574645365
1950,20140417,5,PM2.5,70.0
1956,20140417,6,PCA,7.0741060049356665
1956,20140417,6,PM2.5,53.0
1962,20140417,7,PCA,6.121543854205342
1962,20140417,7,PM2.5,59.0
1968,20140417,8,PCA,10.778034611196423
1968,20140417,8,PM2.5,67.0
1974,20140417,9,PCA,16.178584393996488
1974,20140417,9,PM2.5,73.0
1980,20140417,10,PCA,19.72844938136247
1980,20140417,10,PM2.5,74.0
1986,20140417,11,PCA,29.47515510522487
1986,20140417,11,PM2.5,80.0
1992,20140417,12,PCA,35.86720741080018
1992,20140417,12,PM2.5,83.0
1998,20140417,13,PCA,38.23491890746975
1998,20140417,13,PM2.5,86.0
2004,20140417,14,PCA,65.05284324741865
2004,20140417,14,PM2.5,114.0
2010,20140417,15,PCA,69.73667875388547
2010,20140417,15,PM2.5,111.0
2016,20140417,16,PCA,71.99894640222382
2016,20140417,16,PM2.5,107.0
2022,20140417,17,PCA,66.30295690359657
2022,20140417,17,PM2.5,94.0
2028,20140417,18,PCA,50.245002637089414
2028,20140417,18,PM2.5,79.0
2034,20140417,19,PCA,82.5183721221837
2034,20140417,19,PM2.5,123.0
2040,20140417,20,PCA,82.88477933369977
2040,20140417,20,PM2.5,120.0
2046,20140417,21,PCA,98.59362638921556
2046,20140417,21,PM2.5,131.0
2052,20140417,22,PCA,121.1871393978797
2052,20140417,22,PM2.5,140.0
2058,20140417,23,PCA,122.62456298680496
2058,20140417,23,PM2.5,135.0
2064,20140418,0,PCA,140.45050093426082
2064,20140418,0,PM2.5,149.0
2070,20140418,1,PCA,139.81774626353362
2070,20140418,1,PM2.5,145.0
2076,20140418,2,PCA,136.8234704156407
2076,20140418,2,PM2.5,140.0
2082,20140418,3,PCA,150.73418443883216
2082,20140418,3,PM2.5,151.0
2088,20140418,4,PCA,147.70446516188002
2088,20140418,4,PM2.5,148.0
2094,20140418,5,PCA,131.31571100893868
2094,20140418,5,PM2.5,134.0
2100,20140418,6,PCA,123.5505405507347
2100,20140418,6,PM2.5,127.0
2106,20140418,7,PCA,98.91540178107854
2106,20140418,7,PM2.5,105.0
2112,20140418,8,PCA,106.07979561023407
2112,20140418,8,PM2.5,123.0
2118,20140418,9,PCA,141.1118129812597
2118,20140418,9,PM2.5,166.0
2124,20140418,10,PCA,147.74008337423786
2124,20140418,10,PM2.5,163.0
2130,20140418,11,PCA,162.47613344759898
2130,20140418,11,PM2.5,165.0
2136,20140418,12,PCA,180.7125742500616
2136,20140418,12,PM2.5,179.0
2142,20140418,13,PCA,144.2400308085455
2142,20140418,13,PM2.5,138.0
2148,20140418,14,PCA,100.4301310157854
2148,20140418,14,PM2.5,97.0
2154,20140418,15,PCA,104.59114750689065
2154,20140418,15,PM2.5,119.0
2160,20140418,16,PCA,81.95657241707893
2160,20140418,16,PM2.5,112.0
2166,20140418,17,PCA,64.5598130977474
2166,20140418,17,PM2.5,91.0
2172,20140418,18,PCA,85.02869952059066
2172,20140418,18,PM2.5,112.0
2178,20140418,19,PCA,127.66551650098454
2178,20140418,19,PM2.5,162.0
2184,20140418,20,PCA,121.09494183782486
2184,20140418,20,PM2.5,141.0
2190,20140418,21,PCA,212.23990999117072
2190,20140418,21,PM2.5,231.0
2196,20140418,22,PCA,238.73867446991426
2196,20140418,22,PM2.5,236.0
2202,20140418,23,PCA,205.87392129676084
2202,20140418,23,PM2.5,177.0
2208,20140419,0,PCA,159.73768226851686
2208,20140419,0,PM2.5,117.0
2214,20140419,1,PCA,131.07473766672706
2214,20140419,1,PM2.5,109.0
2220,20140419,2,PCA,72.53297217264534
2220,20140419,2,PM2.5,78.0
2226,20140419,3,PCA,46.212344832529176
2226,20140419,3,PM2.5,75.0
2232,20140419,4,PCA,53.55809398837913
2232,20140419,4,PM2.5,94.0
2238,20140419,5,PCA,32.918078392757884
2238,20140419,5,PM2.5,75.0
2244,20140419,6,PCA,49.16846546324478
2244,20140419,6,PM2.5,95.0
2250,20140419,7,PCA,41.92012814722537
2250,20140419,7,PM2.5,82.0
2256,20140419,8,PCA,23.041194495052757
2256,20140419,8,PM2.5,62.0
2262,20140419,9,PCA,28.341732646601894
2262,20140419,9,PM2.5,68.0
2268,20140419,10,PCA,11.137624966471382
2268,20140419,10,PM2.5,55.0
2274,20140419,11,PCA,3.249042014700111
2274,20140419,11,PM2.5,53.0
2280,20140419,12,PCA,1.0526020738937694
2280,20140419,12,PM2.5,55.0
2286,20140419,13,PCA,1.3697302822952115
2286,20140419,13,PM2.5,62.0
2292,20140419,14,PCA,-17.698328356638495
2292,20140419,14,PM2.5,39.0
2298,20140419,15,PCA,-18.41656751479147
2298,20140419,15,PM2.5,42.0
2304,20140419,16,PCA,-21.29076354504502
2304,20140419,16,PM2.5,43.0
2310,20140419,17,PCA,-4.508219862426932
2310,20140419,17,PM2.5,67.0
2316,20140419,18,PCA,-3.8316856735069247
2316,20140419,18,PM2.5,61.0
2322,20140419,19,PCA,5.261005373202074
2322,20140419,19,PM2.5,66.0
2328,20140419,20,PCA,20.66709068575954
2328,20140419,20,PM2.5,74.0
2334,20140419,21,PCA,11.49955933844297
2334,20140419,21,PM2.5,60.0
2340,20140419,22,PCA,19.99948679237404
2340,20140419,22,PM2.5,67.0
2346,20140419,23,PCA,15.248912564797157
2346,20140419,23,PM2.5,66.0
2352,20140420,0,PCA,9.770264561498637
