,date,hour,type,通州
852,20140409,14,PCA,27.902830427852717
852,20140409,14,PM2.5,59.0
858,20140409,15,PCA,30.6826121474294
858,20140409,15,PM2.5,71.0
864,20140409,16,PCA,25.26887994727549
864,20140409,16,PM2.5,66.0
870,20140409,17,PCA,31.185557901647392
870,20140409,17,PM2.5,75.0
876,20140409,18,PCA,31.779108679218965
876,20140409,18,PM2.5,78.0
882,20140409,19,PCA,48.484269011466374
882,20140409,19,PM2.5,104.0
888,20140409,20,PCA,80.58506142821638
888,20140409,20,PM2.5,147.0
894,20140409,21,PCA,39.895322479185744
894,20140409,21,PM2.5,90.0
900,20140409,22,PCA,63.71170562007052
900,20140409,22,PM2.5,112.0
906,20140409,23,PCA,91.67989607386356
906,20140409,23,PM2.5,145.0
912,20140410,0,PCA,91.64816003261272
912,20140410,0,PM2.5,144.0
918,20140410,1,PCA,87.07999501779214
918,20140410,1,PM2.5,138.0
924,20140410,2,PCA,84.10657915879155
924,20140410,2,PM2.5,128.0
930,20140410,3,PCA,80.32522760526355
930,20140410,3,PM2.5,122.0
936,20140410,4,PCA,80.42710521403158
936,20140410,4,PM2.5,122.0
942,20140410,5,PCA,73.84668461033203
942,20140410,5,PM2.5,110.0
948,20140410,6,PCA,70.06026151354399
948,20140410,6,PM2.5,102.0
954,20140410,7,PCA,63.110676973304216
954,20140410,7,PM2.5,89.0
960,20140410,8,PCA,71.55015322354684
960,20140410,8,PM2.5,90.0
966,20140410,9,PCA,75.4080537546752
966,20140410,9,PM2.5,92.0
972,20140410,10,PCA,73.0755235810609
972,20140410,10,PM2.5,86.0
978,20140410,11,PCA,76.98078924835457
978,20140410,11,PM2.5,91.0
984,20140410,12,PCA,78.47559913760936
984,20140410,12,PM2.5,79.0
990,20140410,13,PCA,81.93968410807899
990,20140410,13,PM2.5,71.0
996,20140410,14,PCA,81.65570097038609
996,20140410,14,PM2.5,66.0
1002,20140410,15,PCA,74.44791790875331
1002,20140410,15,PM2.5,61.0
1008,20140410,16,PCA,75.68910420921564
1008,20140410,16,PM2.5,60.0
1014,20140410,17,PCA,75.71528199344155
1014,20140410,17,PM2.5,59.0
1020,20140410,18,PCA,79.21340578636467
1020,20140410,18,PM2.5,64.0
1026,20140410,19,PCA,76.55828002033614
1026,20140410,19,PM2.5,68.0
1032,20140410,20,PCA,86.75660313696382
1032,20140410,20,PM2.5,72.0
1038,20140410,21,PCA,105.52895761910695
1038,20140410,21,PM2.5,86.0
1044,20140410,22,PCA,109.80718188585914
1044,20140410,22,PM2.5,95.0
1050,20140410,23,PCA,101.13647859639578
1050,20140410,23,PM2.5,87.0
1056,20140411,0,PCA,95.72962465912435
1056,20140411,0,PM2.5,87.0
1062,20140411,1,PCA,78.55854100764783
1062,20140411,1,PM2.5,72.0
1068,20140411,2,PCA,73.99244525436447
1068,20140411,2,PM2.5,68.0
1074,20140411,3,PCA,83.30617462999912
1074,20140411,3,PM2.5,84.0
1080,20140411,4,PCA,78.43436780727208
1080,20140411,4,PM2.5,87.0
1086,20140411,5,PCA,75.61769096143614
1086,20140411,5,PM2.5,86.0
1092,20140411,6,PCA,68.52097615336623
1092,20140411,6,PM2.5,80.0
1098,20140411,7,PCA,63.37677056392895
1098,20140411,7,PM2.5,78.0
1104,20140411,8,PCA,51.31064163930448
1104,20140411,8,PM2.5,69.0
1110,20140411,9,PCA,32.04667229445662
1110,20140411,9,PM2.5,51.0
1116,20140411,10,PCA,22.274300204148155
1116,20140411,10,PM2.5,55.0
1122,20140411,11,PCA,0.822858276693587
1122,20140411,11,PM2.5,44.0
1128,20140411,12,PCA,-16.310159971268916
1128,20140411,12,PM2.5,40.0
1134,20140411,13,PCA,-20.60563648020122
1134,20140411,13,PM2.5,42.0
1140,20140411,14,PCA,-30.06366584910461
1140,20140411,14,PM2.5,38.0
1146,20140411,15,PCA,-35.18085041653153
1146,20140411,15,PM2.5,38.0
