,date,hour,type,通州
128652,20160925,4,PCA,158.40919654198427
128652,20160925,4,PM2.5,225.0
128658,20160925,5,PCA,160.3624614578864
128658,20160925,5,PM2.5,214.0
128664,20160925,6,PCA,167.73678649768502
128664,20160925,6,PM2.5,213.0
128670,20160925,7,PCA,168.09710708839162
128670,20160925,7,PM2.5,212.0
128676,20160925,8,PCA,163.88811609227974
128676,20160925,8,PM2.5,199.0
128682,20160925,9,PCA,166.09360617104733
128682,20160925,9,PM2.5,196.0
128688,20160925,10,PCA,175.7352674997536
128688,20160925,10,PM2.5,203.0
128694,20160925,11,PCA,175.53083946405698
128694,20160925,11,PM2.5,210.0
128700,20160925,12,PCA,166.00089751345587
128700,20160925,12,PM2.5,199.0
128706,20160925,13,PCA,160.9594435473812
128706,20160925,13,PM2.5,196.0
128712,20160925,14,PCA,169.12673976276687
128712,20160925,14,PM2.5,196.0
128718,20160925,15,PCA,195.63891715526273
128718,20160925,15,PM2.5,224.0
128724,20160925,16,PCA,194.87831771601304
128724,20160925,16,PM2.5,234.0
128730,20160925,17,PCA,159.24950545269596
128730,20160925,17,PM2.5,192.0
128736,20160925,18,PCA,148.61886491041994
128736,20160925,18,PM2.5,164.0
128742,20160925,19,PCA,145.68716109373614
128742,20160925,19,PM2.5,161.0
128748,20160925,20,PCA,117.1531024581849
128748,20160925,20,PM2.5,116.0
128754,20160925,21,PCA,104.27430641852533
128754,20160925,21,PM2.5,96.0
128760,20160925,22,PCA,95.28196822206282
128760,20160925,22,PM2.5,85.0
128766,20160925,23,PCA,84.67456181977371
128766,20160925,23,PM2.5,77.0
128772,20160926,0,PCA,76.76356892744695
128772,20160926,0,PM2.5,62.0
128778,20160926,1,PCA,74.83896738678732
128778,20160926,1,PM2.5,67.0
128784,20160926,2,PCA,93.18946207568469
128784,20160926,2,PM2.5,89.0
128790,20160926,3,PCA,102.16537813087365
128790,20160926,3,PM2.5,96.0
128796,20160926,4,PCA,92.03903569058822
128796,20160926,4,PM2.5,91.0
128802,20160926,5,PCA,62.34610169825457
128802,20160926,5,PM2.5,77.0
128808,20160926,6,PCA,20.43756194956946
128808,20160926,6,PM2.5,31.0
128814,20160926,7,PCA,15.713363644025964
128814,20160926,7,PM2.5,26.0
128820,20160926,8,PCA,21.05637567592552
128820,20160926,8,PM2.5,38.0
128826,20160926,9,PCA,17.530726420026838
128826,20160926,9,PM2.5,38.0
128832,20160926,10,PCA,11.112358821290876
128832,20160926,10,PM2.5,36.0
128838,20160926,11,PCA,18.48304708146693
128838,20160926,11,PM2.5,46.0
128844,20160926,12,PCA,14.940294714985901
128844,20160926,12,PM2.5,51.0
128850,20160926,13,PCA,3.5193522270480226
128850,20160926,13,PM2.5,51.0
128856,20160926,14,PCA,1.4664472900293732
128856,20160926,14,PM2.5,52.0
128862,20160926,15,PCA,-10.187471076497705
128862,20160926,15,PM2.5,51.0
128868,20160926,16,PCA,-21.475610371563622
128868,20160926,16,PM2.5,51.0
128874,20160926,17,PCA,-21.72051819463632
128874,20160926,17,PM2.5,58.0
128880,20160926,18,PCA,-16.95607593357307
128880,20160926,18,PM2.5,65.0
128886,20160926,19,PCA,-9.443411790841381
128886,20160926,19,PM2.5,70.0
128892,20160926,20,PCA,4.980929425465041
128892,20160926,20,PM2.5,77.0
128898,20160926,21,PCA,10.193264955144825
128898,20160926,21,PM2.5,82.0
128904,20160926,22,PCA,9.865305974715326
128904,20160926,22,PM2.5,84.0
128910,20160926,23,PCA,12.198296030056293
128910,20160926,23,PM2.5,89.0
128916,20160927,0,PCA,20.35816220718802
128916,20160927,0,PM2.5,97.0
128922,20160927,1,PCA,22.86989416270099
128922,20160927,1,PM2.5,101.0
128928,20160927,2,PCA,24.741370468185853
128928,20160927,2,PM2.5,105.0
128934,20160927,3,PCA,22.472616409156924
128934,20160927,3,PM2.5,102.0
128940,20160927,4,PCA,17.136870323682043
128940,20160927,4,PM2.5,98.0
128946,20160927,5,PCA,-19.413983558730227
128946,20160927,5,PM2.5,66.0
128952,20160927,6,PCA,-51.78712766108791
128952,20160927,6,PM2.5,24.0
128958,20160927,7,PCA,-60.58496598722304
128958,20160927,7,PM2.5,13.0
128964,20160927,8,PCA,-64.5805992959391
128964,20160927,8,PM2.5,8.0
128970,20160927,9,PCA,-65.70980299184039
128970,20160927,9,PM2.5,8.0
128976,20160927,10,PCA,-71.04380330738363
128976,20160927,10,PM2.5,4.0
128982,20160927,11,PCA,-73.58884955549321
128982,20160927,11,PM2.5,4.0
128988,20160927,12,PCA,-74.44446266008786
128988,20160927,12,PM2.5,6.0
128994,20160927,13,PCA,-78.55636383080376
128994,20160927,13,PM2.5,3.0
129000,20160927,14,PCA,-80.42491276929985
129000,20160927,14,PM2.5,3.0
129006,20160927,15,PCA,-79.81327028725002
129006,20160927,15,PM2.5,4.0
129012,20160927,16,PCA,-81.79379488299607
129012,20160927,16,PM2.5,6.0
129018,20160927,17,PCA,-80.15778166849971
129018,20160927,17,PM2.5,10.0
129024,20160927,18,PCA,-79.10806041256185
129024,20160927,18,PM2.5,10.0
129030,20160927,19,PCA,-78.28213007994968
129030,20160927,19,PM2.5,10.0
129036,20160927,20,PCA,-82.09595749581342
129036,20160927,20,PM2.5,8.0
129042,20160927,21,PCA,-81.39260538410983
129042,20160927,21,PM2.5,9.0
129048,20160927,22,PCA,-76.2439108750235
129048,20160927,22,PM2.5,9.0
129054,20160927,23,PCA,-69.7969365828575
129054,20160927,23,PM2.5,17.0
129060,20160928,0,PCA,-70.4051079354675
129060,20160928,0,PM2.5,18.0
129066,20160928,1,PCA,-77.71686868608849
129066,20160928,1,PM2.5,16.0
129072,20160928,2,PCA,-88.60605647100664
129072,20160928,2,PM2.5,12.0
129078,20160928,3,PCA,-99.78105077734527
129078,20160928,3,PM2.5,8.0
129084,20160928,4,PCA,-103.48653405657315
129084,20160928,4,PM2.5,6.0
129090,20160928,5,PCA,-104.16303136618663
129090,20160928,5,PM2.5,6.0
129096,20160928,6,PCA,-102.01296811101996
129096,20160928,6,PM2.5,6.0
129102,20160928,7,PCA,-101.03240514697215
129102,20160928,7,PM2.5,5.0
129108,20160928,8,PCA,-101.217831300862
129108,20160928,8,PM2.5,6.0
129114,20160928,9,PCA,-102.37238552025462
129114,20160928,9,PM2.5,9.0
129120,20160928,10,PCA,-107.09123218056689
129120,20160928,10,PM2.5,9.0
129126,20160928,11,PCA,-111.84876206964151
129126,20160928,11,PM2.5,5.0
129132,20160928,12,PCA,-112.52719120503673
129132,20160928,12,PM2.5,5.0
129138,20160928,13,PCA,-113.43572162266642
129138,20160928,13,PM2.5,4.0
129144,20160928,14,PCA,-111.59678038735231
129144,20160928,14,PM2.5,5.0
129150,20160928,15,PCA,-107.99293735772451
129150,20160928,15,PM2.5,10.0
129156,20160928,16,PCA,-106.6162055814615
129156,20160928,16,PM2.5,10.0
129162,20160928,17,PCA,-107.21873851887506
129162,20160928,17,PM2.5,8.0
129168,20160928,18,PCA,-102.78384061699866
129168,20160928,18,PM2.5,13.0
129174,20160928,19,PCA,-79.12891832050506
129174,20160928,19,PM2.5,14.0
129180,20160928,20,PCA,-61.446884246625274
129180,20160928,20,PM2.5,19.0
129186,20160928,21,PCA,-56.54304583686687
129186,20160928,21,PM2.5,25.0
129192,20160928,22,PCA,-52.44839708843162
129192,20160928,22,PM2.5,31.0
129198,20160928,23,PCA,-55.81440538852633
129198,20160928,23,PM2.5,28.0
129204,20160929,0,PCA,-55.13790807891285
129204,20160929,0,PM2.5,28.0
129210,20160929,1,PCA,-43.04305231603741
129210,20160929,1,PM2.5,42.0
129216,20160929,2,PCA,-40.50989227913871
129216,20160929,2,PM2.5,49.0
129222,20160929,3,PCA,-37.99481235676505
129222,20160929,3,PM2.5,52.0
129228,20160929,4,PCA,-35.537275611887914
129228,20160929,4,PM2.5,56.0
129234,20160929,5,PCA,-32.83141347682174
129234,20160929,5,PM2.5,62.0
129240,20160929,6,PCA,-35.16049288954677
129240,20160929,6,PM2.5,59.0
129246,20160929,7,PCA,-50.516258642196334
129246,20160929,7,PM2.5,35.0
129252,20160929,8,PCA,-48.32439632235612
129252,20160929,8,PM2.5,36.0
129258,20160929,9,PCA,-40.33597074353575
129258,20160929,9,PM2.5,43.0
129264,20160929,10,PCA,-37.761922192942805
129264,20160929,10,PM2.5,46.5
129270,20160929,11,PCA,-35.18787364234986
129270,20160929,11,PM2.5,50.0
129342,20160929,23,PCA,35.55037068987227
129342,20160929,23,PM2.5,103.0
129348,20160930,0,PCA,35.020577058111954
129348,20160930,0,PM2.5,103.0
129354,20160930,1,PCA,36.35834908922058
129354,20160930,1,PM2.5,105.0
129360,20160930,2,PCA,45.78183173124261
129360,20160930,2,PM2.5,120.0
129366,20160930,3,PCA,49.7965684098359
129366,20160930,3,PM2.5,129.0
129372,20160930,4,PCA,34.63740934092546
129372,20160930,4,PM2.5,105.0
129378,20160930,5,PCA,26.122674651026873
129378,20160930,5,PM2.5,89.0
129384,20160930,6,PCA,28.72568165164928
129384,20160930,6,PM2.5,92.0
129390,20160930,7,PCA,19.76267797100196
129390,20160930,7,PM2.5,79.0
129396,20160930,8,PCA,17.895140385881206
129396,20160930,8,PM2.5,74.0
129402,20160930,9,PCA,22.81791069826855
129402,20160930,9,PM2.5,79.0
129408,20160930,10,PCA,22.189790974249345
129408,20160930,10,PM2.5,85.0
129414,20160930,11,PCA,11.202422006454919
129414,20160930,11,PM2.5,84.0
129420,20160930,12,PCA,9.988089704943183
129420,20160930,12,PM2.5,86.0
129426,20160930,13,PCA,15.196562679113013
129426,20160930,13,PM2.5,99.0
129432,20160930,14,PCA,19.097808525884005
129432,20160930,14,PM2.5,105.0
129438,20160930,15,PCA,20.952482092711637
129438,20160930,15,PM2.5,108.0
129444,20160930,16,PCA,25.490674750438295
129444,20160930,16,PM2.5,116.0
129450,20160930,17,PCA,24.418910804078244
129450,20160930,17,PM2.5,113.0
129456,20160930,18,PCA,25.060106780795742
129456,20160930,18,PM2.5,98.0
129462,20160930,19,PCA,44.58440017663194
129462,20160930,19,PM2.5,96.0
129468,20160930,20,PCA,63.67655163871958
129468,20160930,20,PM2.5,107.0
129474,20160930,21,PCA,62.58193707872427
129474,20160930,21,PM2.5,119.0
129480,20160930,22,PCA,64.2757948304654
129480,20160930,22,PM2.5,124.0
129486,20160930,23,PCA,72.11557435916353
129486,20160930,23,PM2.5,125.0
129492,20161001,0,PCA,80.09480737123266
129492,20161001,0,PM2.5,129.0
129498,20161001,1,PCA,90.73750514109668
129498,20161001,1,PM2.5,139.0
129504,20161001,2,PCA,96.48539830582158
129504,20161001,2,PM2.5,146.0
129510,20161001,3,PCA,92.5412735367997
129510,20161001,3,PM2.5,142.0
129516,20161001,4,PCA,103.7136080982484
129516,20161001,4,PM2.5,156.0
129522,20161001,5,PCA,108.358101966966
129522,20161001,5,PM2.5,163.0
129528,20161001,6,PCA,110.0471816260952
129528,20161001,6,PM2.5,164.0
129534,20161001,7,PCA,120.95612165309976
129534,20161001,7,PM2.5,173.0
129540,20161001,8,PCA,128.17171323083178
129540,20161001,8,PM2.5,178.0
129546,20161001,9,PCA,136.95282288110693
129546,20161001,9,PM2.5,183.0
129552,20161001,10,PCA,153.15708794820688
129552,20161001,10,PM2.5,197.0
129558,20161001,11,PCA,164.8940012334685
129558,20161001,11,PM2.5,207.0
129564,20161001,12,PCA,171.0557505101477
129564,20161001,12,PM2.5,221.0
129570,20161001,13,PCA,160.90321284459853
129570,20161001,13,PM2.5,215.0
129576,20161001,14,PCA,133.43646845800714
129576,20161001,14,PM2.5,195.0
129582,20161001,15,PCA,120.19113326565424
129582,20161001,15,PM2.5,165.0
129588,20161001,16,PCA,101.65745353109432
129588,20161001,16,PM2.5,146.0
129594,20161001,17,PCA,95.26020897627691
129594,20161001,17,PM2.5,138.0
129600,20161001,18,PCA,107.40086625003647
129600,20161001,18,PM2.5,139.0
129606,20161001,19,PCA,134.21856334514953
129606,20161001,19,PM2.5,145.0
129612,20161001,20,PCA,158.50419350308854
129612,20161001,20,PM2.5,161.0
129618,20161001,21,PCA,175.6879782819632
129618,20161001,21,PM2.5,170.0
129624,20161001,22,PCA,189.77830652145383
129624,20161001,22,PM2.5,190.0
129630,20161001,23,PCA,192.2832883953457
129630,20161001,23,PM2.5,195.0
129636,20161002,0,PCA,205.5718510964933
129636,20161002,0,PM2.5,215.0
129642,20161002,1,PCA,224.27348017549104
129642,20161002,1,PM2.5,241.0
129648,20161002,2,PCA,230.87832157578126
129648,20161002,2,PM2.5,249.0
129654,20161002,3,PCA,202.81541129917002
129654,20161002,3,PM2.5,210.0
129660,20161002,4,PCA,181.7797036339259
129660,20161002,4,PM2.5,179.0
129666,20161002,5,PCA,176.68463050144962
129666,20161002,5,PM2.5,172.0
129672,20161002,6,PCA,174.61365615811928
129672,20161002,6,PM2.5,170.0
129678,20161002,7,PCA,163.70564638433146
129678,20161002,7,PM2.5,156.0
129684,20161002,8,PCA,159.95903839721464
129684,20161002,8,PM2.5,150.0
129690,20161002,9,PCA,160.75736801127746
129690,20161002,9,PM2.5,154.0
129696,20161002,10,PCA,184.18314112707841
129696,20161002,10,PM2.5,190.0
129702,20161002,11,PCA,184.90745506562357
129702,20161002,11,PM2.5,193.0
129708,20161002,12,PCA,173.26791982491667
129708,20161002,12,PM2.5,181.0
129714,20161002,13,PCA,158.96047765749185
129714,20161002,13,PM2.5,179.0
129720,20161002,14,PCA,147.63364488009043
129720,20161002,14,PM2.5,177.0
129726,20161002,15,PCA,147.14182762780712
129726,20161002,15,PM2.5,173.0
129732,20161002,16,PCA,139.84241018542164
129732,20161002,16,PM2.5,175.0
129738,20161002,17,PCA,149.68186099228387
129738,20161002,17,PM2.5,192.0
129744,20161002,18,PCA,171.33645056559936
129744,20161002,18,PM2.5,208.0
129750,20161002,19,PCA,192.4153968191143
129750,20161002,19,PM2.5,223.0
129756,20161002,20,PCA,221.50389690082335
129756,20161002,20,PM2.5,244.0
129762,20161002,21,PCA,225.6144747106224
129762,20161002,21,PM2.5,246.0
129768,20161002,22,PCA,188.60957890887784
129768,20161002,22,PM2.5,196.0
129774,20161002,23,PCA,133.80447020575812
129774,20161002,23,PM2.5,127.0
129780,20161003,0,PCA,107.19323207554923
129780,20161003,0,PM2.5,91.0
129786,20161003,1,PCA,99.342213867679
129786,20161003,1,PM2.5,83.0
129792,20161003,2,PCA,90.72895254237554
129792,20161003,2,PM2.5,76.0
129798,20161003,3,PCA,88.63986272908419
129798,20161003,3,PM2.5,80.0
129804,20161003,4,PCA,80.59785924314335
129804,20161003,4,PM2.5,72.0
129810,20161003,5,PCA,72.32492214008151
129810,20161003,5,PM2.5,63.0
129816,20161003,6,PCA,66.98910098580608
129816,20161003,6,PM2.5,60.0
129822,20161003,7,PCA,69.06788996664393
129822,20161003,7,PM2.5,67.0
129828,20161003,8,PCA,69.84668093230552
129828,20161003,8,PM2.5,73.0
129834,20161003,9,PCA,71.00282162650907
129834,20161003,9,PM2.5,82.0
129840,20161003,10,PCA,89.11707442682928
129840,20161003,10,PM2.5,122.0
129846,20161003,11,PCA,97.17791739543813
129846,20161003,11,PM2.5,147.0
129852,20161003,12,PCA,92.57409611880423
129852,20161003,12,PM2.5,152.0
129858,20161003,13,PCA,82.24565780123129
129858,20161003,13,PM2.5,148.0
129864,20161003,14,PCA,64.27569454594348
129864,20161003,14,PM2.5,128.0
129870,20161003,15,PCA,37.93797113510113
129870,20161003,15,PM2.5,95.0
129876,20161003,16,PCA,28.896480645747648
129876,20161003,16,PM2.5,90.0
129882,20161003,17,PCA,28.16254881481146
129882,20161003,17,PM2.5,94.0
129888,20161003,18,PCA,44.01961651219222
129888,20161003,18,PM2.5,106.0
129894,20161003,19,PCA,60.60519366150614
129894,20161003,19,PM2.5,107.0
129900,20161003,20,PCA,80.29073287494542
129900,20161003,20,PM2.5,125.0
129906,20161003,21,PCA,101.92683730570587
129906,20161003,21,PM2.5,145.0
129912,20161003,22,PCA,98.08113893570822
129912,20161003,22,PM2.5,182.0
129918,20161003,23,PCA,111.52217794252479
129918,20161003,23,PM2.5,206.0
129924,20161004,0,PCA,41.57754692858243
129924,20161004,0,PM2.5,108.0
129930,20161004,1,PCA,-17.39537764595957
129930,20161004,1,PM2.5,23.0
129936,20161004,2,PCA,-21.31226848986368
129936,20161004,2,PM2.5,20.0
129942,20161004,3,PCA,-21.934239342202037
129942,20161004,3,PM2.5,23.0
129948,20161004,4,PCA,-26.2840674108298
129948,20161004,4,PM2.5,18.0
129954,20161004,5,PCA,-26.262870848610284
129954,20161004,5,PM2.5,17.0
129960,20161004,6,PCA,-27.863630817316658
129960,20161004,6,PM2.5,18.0
129966,20161004,7,PCA,-29.83516208369452
129966,20161004,7,PM2.5,17.0
129972,20161004,8,PCA,-29.110872000682452
129972,20161004,8,PM2.5,20.0
129978,20161004,9,PCA,-30.65879584656264
129978,20161004,9,PM2.5,20.0
129984,20161004,10,PCA,-35.88215545572599
129984,20161004,10,PM2.5,19.0
129990,20161004,11,PCA,-36.86783169983374
129990,20161004,11,PM2.5,22.0
129996,20161004,12,PCA,-34.92025665272201
129996,20161004,12,PM2.5,27.0
130002,20161004,13,PCA,-39.52424727984792
130002,20161004,13,PM2.5,27.0
130008,20161004,14,PCA,-33.78456372969938
130008,20161004,14,PM2.5,39.0
130014,20161004,15,PCA,-23.796516055874537
130014,20161004,15,PM2.5,44.0
130020,20161004,16,PCA,-25.68554524561543
130020,20161004,16,PM2.5,45.0
130026,20161004,17,PCA,-32.87016327640104
130026,20161004,17,PM2.5,39.0
130032,20161004,18,PCA,-35.37641720789183
130032,20161004,18,PM2.5,36.0
130038,20161004,19,PCA,-41.19998440055988
130038,20161004,19,PM2.5,35.0
130044,20161004,20,PCA,-41.65344202157565
130044,20161004,20,PM2.5,35.0
130050,20161004,21,PCA,-42.913222732550025
130050,20161004,21,PM2.5,39.0
130056,20161004,22,PCA,-47.18885481976139
130056,20161004,22,PM2.5,40.0
130062,20161004,23,PCA,-52.390848910433284
130062,20161004,23,PM2.5,37.0
130068,20161005,0,PCA,-57.38369094975574
130068,20161005,0,PM2.5,31.0
130074,20161005,1,PCA,-58.748473951913596
130074,20161005,1,PM2.5,29.0
130080,20161005,2,PCA,-53.1829491756957
130080,20161005,2,PM2.5,38.0
130086,20161005,3,PCA,-51.34604986002313
130086,20161005,3,PM2.5,42.0
130092,20161005,4,PCA,-53.00311013368444
130092,20161005,4,PM2.5,43.0
130098,20161005,5,PCA,-44.53851058062126
130098,20161005,5,PM2.5,57.0
130104,20161005,6,PCA,-39.61372734229358
130104,20161005,6,PM2.5,62.0
130110,20161005,7,PCA,-39.44124036554761
130110,20161005,7,PM2.5,56.0
130116,20161005,8,PCA,-37.56680861532579
130116,20161005,8,PM2.5,61.0
130122,20161005,9,PCA,-40.908149415117414
130122,20161005,9,PM2.5,57.0
130128,20161005,10,PCA,-52.35268127632359
130128,20161005,10,PM2.5,44.0
130134,20161005,11,PCA,-51.781339611706485
130134,20161005,11,PM2.5,47.0
130140,20161005,12,PCA,-47.035162515015124
130140,20161005,12,PM2.5,54.0
130146,20161005,13,PCA,-48.02108637186396
130146,20161005,13,PM2.5,56.0
130152,20161005,14,PCA,-49.440792575635825
130152,20161005,14,PM2.5,56.0
130158,20161005,15,PCA,-50.06410731539871
130158,20161005,15,PM2.5,51.0
130164,20161005,16,PCA,-45.17677018324326
130164,20161005,16,PM2.5,56.0
130170,20161005,17,PCA,-42.13398893611563
130170,20161005,17,PM2.5,59.0
130176,20161005,18,PCA,-28.267656769205583
130176,20161005,18,PM2.5,66.0
130182,20161005,19,PCA,-19.787251827835025
130182,20161005,19,PM2.5,73.0
130188,20161005,20,PCA,-2.779958034060583
130188,20161005,20,PM2.5,80.0
130194,20161005,21,PCA,6.014459549999443
130194,20161005,21,PM2.5,92.0
130200,20161005,22,PCA,10.052637929898497
130200,20161005,22,PM2.5,97.0
130206,20161005,23,PCA,15.264643830725554
130206,20161005,23,PM2.5,101.0
130212,20161006,0,PCA,17.555719326138597
130212,20161006,0,PM2.5,101.0
130218,20161006,1,PCA,19.27551404260906
130218,20161006,1,PM2.5,102.0
130224,20161006,2,PCA,17.509021731369838
130224,20161006,2,PM2.5,97.0
130230,20161006,3,PCA,20.480463416178416
130230,20161006,3,PM2.5,98.0
130236,20161006,4,PCA,18.891750139907444
130236,20161006,4,PM2.5,92.0
130242,20161006,5,PCA,15.465381239084005
130242,20161006,5,PM2.5,84.0
130248,20161006,6,PCA,22.844039874216868
130248,20161006,6,PM2.5,93.0
130254,20161006,7,PCA,21.448328443005863
130254,20161006,7,PM2.5,91.0
130260,20161006,8,PCA,3.213433158758685
130260,20161006,8,PM2.5,68.0
130266,20161006,9,PCA,-7.746821984351861
130266,20161006,9,PM2.5,55.0
130272,20161006,10,PCA,-12.562473107163848
130272,20161006,10,PM2.5,48.0
130278,20161006,11,PCA,-16.019060743172982
130278,20161006,11,PM2.5,46.0
130284,20161006,12,PCA,-20.939195657319353
130284,20161006,12,PM2.5,42.0
130290,20161006,13,PCA,-28.77188388559033
130290,20161006,13,PM2.5,35.0
130296,20161006,14,PCA,-29.19919266728417
130296,20161006,14,PM2.5,38.0
130302,20161006,15,PCA,-27.871183917636525
130302,20161006,15,PM2.5,40.0
130308,20161006,16,PCA,-19.55337718594976
130308,20161006,16,PM2.5,45.0
130314,20161006,17,PCA,-11.649247164764061
130314,20161006,17,PM2.5,50.0
130320,20161006,18,PCA,-3.3864225152835874
130320,20161006,18,PM2.5,59.0
130326,20161006,19,PCA,2.3256241952027628
130326,20161006,19,PM2.5,69.0
130332,20161006,20,PCA,-3.6865354646813846
130332,20161006,20,PM2.5,65.0
130338,20161006,21,PCA,-26.124284774328157
130338,20161006,21,PM2.5,51.0
130344,20161006,22,PCA,-39.85431437945207
130344,20161006,22,PM2.5,38.0
130350,20161006,23,PCA,-39.24175846235716
130350,20161006,23,PM2.5,39.0
130356,20161007,0,PCA,-40.04682167024627
130356,20161007,0,PM2.5,39.0
130362,20161007,1,PCA,-37.08785009289118
130362,20161007,1,PM2.5,44.0
130368,20161007,2,PCA,-33.20343276226684
130368,20161007,2,PM2.5,45.0
130374,20161007,3,PCA,-33.82846151191118
130374,20161007,3,PM2.5,44.0
130380,20161007,4,PCA,-35.502659189944666
130380,20161007,4,PM2.5,44.0
130386,20161007,5,PCA,-43.16078333484846
130386,20161007,5,PM2.5,38.0
130392,20161007,6,PCA,-45.17730809884706
130392,20161007,6,PM2.5,36.0
130398,20161007,7,PCA,-46.4806080057847
130398,20161007,7,PM2.5,38.0
130404,20161007,8,PCA,-49.49098135799948
130404,20161007,8,PM2.5,36.0
130410,20161007,9,PCA,-47.86127850241182
130410,20161007,9,PM2.5,39.0
130416,20161007,10,PCA,-48.14160699981012
130416,20161007,10,PM2.5,40.0
130422,20161007,11,PCA,-44.4867044201319
130422,20161007,11,PM2.5,43.0
130428,20161007,12,PCA,-43.43599466034839
130428,20161007,12,PM2.5,42.0
130434,20161007,13,PCA,-39.66363839939801
130434,20161007,13,PM2.5,44.0
130440,20161007,14,PCA,-37.21904658161624
130440,20161007,14,PM2.5,48.0
130446,20161007,15,PCA,-37.623729962749124
130446,20161007,15,PM2.5,45.0
130452,20161007,16,PCA,-36.65906575274706
130452,20161007,16,PM2.5,45.0
130458,20161007,17,PCA,-36.52686833385733
130458,20161007,17,PM2.5,43.0
130464,20161007,18,PCA,-33.776111607323834
130464,20161007,18,PM2.5,47.0
130470,20161007,19,PCA,-31.47948857768325
130470,20161007,19,PM2.5,54.0
130476,20161007,20,PCA,-28.74825790359447
130476,20161007,20,PM2.5,58.0
130482,20161007,21,PCA,-29.407363440139886
130482,20161007,21,PM2.5,59.0
130488,20161007,22,PCA,-32.008928725057785
130488,20161007,22,PM2.5,55.0
130494,20161007,23,PCA,-56.588105953093596
130494,20161007,23,PM2.5,34.0
130500,20161008,0,PCA,-84.24737399878804
130500,20161008,0,PM2.5,6.0
130506,20161008,1,PCA,-84.88542543880716
130506,20161008,1,PM2.5,7.0
130512,20161008,2,PCA,-88.57592339903441
130512,20161008,2,PM2.5,4.0
130518,20161008,3,PCA,-91.09495843951687
130518,20161008,3,PM2.5,3.0
130524,20161008,4,PCA,-90.5642736104579
130524,20161008,4,PM2.5,5.0
130530,20161008,5,PCA,-90.85570153754688
130530,20161008,5,PM2.5,5.0
130536,20161008,6,PCA,-90.37732616844124
130536,20161008,6,PM2.5,5.0
130542,20161008,7,PCA,-85.75546984637826
130542,20161008,7,PM2.5,6.0
130548,20161008,8,PCA,-88.06362982505911
130548,20161008,8,PM2.5,10.0
130554,20161008,9,PCA,-92.42348662331973
130554,20161008,9,PM2.5,11.0
130560,20161008,10,PCA,-97.06836891143207
130560,20161008,10,PM2.5,9.0
130566,20161008,11,PCA,-99.74861409826761
130566,20161008,11,PM2.5,8.0
130572,20161008,12,PCA,-103.21532113516919
130572,20161008,12,PM2.5,5.0
130578,20161008,13,PCA,-102.28112072871835
130578,20161008,13,PM2.5,10.0
130584,20161008,14,PCA,-103.69250364764115
130584,20161008,14,PM2.5,11.0
130590,20161008,15,PCA,-103.03106149761035
130590,20161008,15,PM2.5,14.0
130596,20161008,16,PCA,-107.74155688537572
130596,20161008,16,PM2.5,8.0
130602,20161008,17,PCA,-108.59043208387871
130602,20161008,17,PM2.5,7.0
130608,20161008,18,PCA,-100.5939205793772
130608,20161008,18,PM2.5,12.0
130614,20161008,19,PCA,-89.3274610399141
130614,20161008,19,PM2.5,8.0
130620,20161008,20,PCA,-68.68723642024796
130620,20161008,20,PM2.5,21.0
130626,20161008,21,PCA,-64.57804198547429
130626,20161008,21,PM2.5,32.0
130632,20161008,22,PCA,-66.72405039505904
130632,20161008,22,PM2.5,29.0
130638,20161008,23,PCA,-64.41586710075833
130638,20161008,23,PM2.5,35.0
130644,20161009,0,PCA,-52.893861503313936
130644,20161009,0,PM2.5,45.0
130650,20161009,1,PCA,-48.48184465810431
130650,20161009,1,PM2.5,46.0
130656,20161009,2,PCA,-45.63177927677401
130656,20161009,2,PM2.5,46.0
130662,20161009,3,PCA,-39.93611026088446
130662,20161009,3,PM2.5,54.0
130668,20161009,4,PCA,-39.11946968875699
130668,20161009,4,PM2.5,54.0
130674,20161009,5,PCA,-38.430073527147435
130674,20161009,5,PM2.5,52.0
130680,20161009,6,PCA,-43.983977348970065
130680,20161009,6,PM2.5,44.0
130686,20161009,7,PCA,-44.5722361583696
130686,20161009,7,PM2.5,42.0
130692,20161009,8,PCA,-42.161070626237375
130692,20161009,8,PM2.5,45.0
130698,20161009,9,PCA,-40.93779692171422
130698,20161009,9,PM2.5,45.0
130704,20161009,10,PCA,-38.40939121194475
130704,20161009,10,PM2.5,44.0
130710,20161009,11,PCA,-30.289607496432268
130710,20161009,11,PM2.5,48.0
130716,20161009,12,PCA,-20.923240466543575
130716,20161009,12,PM2.5,56.0
130722,20161009,13,PCA,-26.082767861095093
130722,20161009,13,PM2.5,57.0
130728,20161009,14,PCA,-45.94599374976757
130728,20161009,14,PM2.5,42.0
130734,20161009,15,PCA,-56.8899496633942
130734,20161009,15,PM2.5,31.0
130740,20161009,16,PCA,-65.3799738927962
130740,20161009,16,PM2.5,21.0
130746,20161009,17,PCA,-64.52443766614495
130746,20161009,17,PM2.5,16.0
130752,20161009,18,PCA,-50.15799225582071
130752,20161009,18,PM2.5,28.0
130758,20161009,19,PCA,-39.751524264028916
130758,20161009,19,PM2.5,29.0
130764,20161009,20,PCA,-30.289798176571487
130764,20161009,20,PM2.5,36.0
130770,20161009,21,PCA,-26.12683041844379
130770,20161009,21,PM2.5,42.0
130776,20161009,22,PCA,-22.649951090162574
130776,20161009,22,PM2.5,46.0
130782,20161009,23,PCA,-17.217774527047446
