,date,hour,type,密云
702,20140408,13,PM2.5,165.0
708,20140408,14,PCA,141.91806423779283
708,20140408,14,PM2.5,152.0
714,20140408,15,PCA,149.29217658256292
714,20140408,15,PM2.5,158.0
720,20140408,16,PCA,145.27625241254765
720,20140408,16,PM2.5,150.0
726,20140408,17,PCA,154.2335693801446
726,20140408,17,PM2.5,159.0
732,20140408,18,PCA,157.53658055246973
732,20140408,18,PM2.5,159.5
738,20140408,19,PCA,160.10785908137288
738,20140408,19,PM2.5,160.0
744,20140408,20,PCA,145.54773230901165
744,20140408,20,PM2.5,140.0
750,20140408,21,PCA,148.57021774850756
750,20140408,21,PM2.5,144.0
756,20140408,22,PCA,143.7470412311381
756,20140408,22,PM2.5,138.0
762,20140408,23,PCA,137.3982792104429
762,20140408,23,PM2.5,130.0
768,20140409,0,PCA,131.90651318687318
768,20140409,0,PM2.5,124.0
774,20140409,1,PCA,136.76780636309442
774,20140409,1,PM2.5,132.0
780,20140409,2,PCA,130.75774866255804
780,20140409,2,PM2.5,124.0
786,20140409,3,PCA,142.95473970071163
786,20140409,3,PM2.5,139.0
792,20140409,4,PCA,155.92483021169173
792,20140409,4,PM2.5,156.0
798,20140409,5,PCA,155.04878734636313
798,20140409,5,PM2.5,152.0
804,20140409,6,PCA,154.42376814064764
804,20140409,6,PM2.5,148.0
810,20140409,7,PCA,161.491535890267
810,20140409,7,PM2.5,153.0
816,20140409,8,PCA,170.343049152861
816,20140409,8,PM2.5,167.0
822,20140409,9,PCA,172.79915723423994
822,20140409,9,PM2.5,171.0
828,20140409,10,PCA,167.06102440651952
828,20140409,10,PM2.5,162.0
834,20140409,11,PCA,170.06195396100745
834,20140409,11,PM2.5,169.0
840,20140409,12,PCA,162.88674871975627
840,20140409,12,PM2.5,159.0
846,20140409,13,PCA,136.9773413094248
846,20140409,13,PM2.5,127.0
852,20140409,14,PCA,93.7349400812106
852,20140409,14,PM2.5,72.0
858,20140409,15,PCA,67.58056406768023
858,20140409,15,PM2.5,42.0
864,20140409,16,PCA,64.84039425216338
864,20140409,16,PM2.5,45.0
870,20140409,17,PCA,69.82592436526274
870,20140409,17,PM2.5,59.0
876,20140409,18,PCA,61.0667526516877
876,20140409,18,PM2.5,53.0
882,20140409,19,PCA,57.40065627859864
882,20140409,19,PM2.5,54.0
888,20140409,20,PCA,56.79291188046
888,20140409,20,PM2.5,59.0
894,20140409,21,PCA,42.9352124492338
894,20140409,21,PM2.5,45.0
900,20140409,22,PCA,38.76601019310021
900,20140409,22,PM2.5,44.0
906,20140409,23,PCA,39.735544861049085
906,20140409,23,PM2.5,50.0
912,20140410,0,PCA,40.87256627940736
912,20140410,0,PM2.5,54.0
918,20140410,1,PCA,48.21554524061852
918,20140410,1,PM2.5,60.0
924,20140410,2,PCA,51.5520640502055
924,20140410,2,PM2.5,60.0
930,20140410,3,PCA,49.69785131235521
930,20140410,3,PM2.5,50.0
936,20140410,4,PCA,58.36468980241132
936,20140410,4,PM2.5,61.0
942,20140410,5,PCA,54.0395278252874
942,20140410,5,PM2.5,52.0
948,20140410,6,PCA,55.053090462981714
948,20140410,6,PM2.5,51.0
954,20140410,7,PCA,57.50754628749964
954,20140410,7,PM2.5,49.0
960,20140410,8,PCA,86.20990422527287
960,20140410,8,PM2.5,79.0
966,20140410,9,PCA,101.37963334279992
966,20140410,9,PM2.5,96.0
972,20140410,10,PCA,100.39811858192108
972,20140410,10,PM2.5,89.0
978,20140410,11,PCA,106.42772666481267
978,20140410,11,PM2.5,92.0
984,20140410,12,PCA,104.32512070769191
984,20140410,12,PM2.5,83.0
990,20140410,13,PCA,103.60077134234668
990,20140410,13,PM2.5,75.0
996,20140410,14,PCA,116.12764152355209
996,20140410,14,PM2.5,75.0
1002,20140410,15,PCA,104.33248793852992
1002,20140410,15,PM2.5,58.0
1008,20140410,16,PCA,84.34901773667995
1008,20140410,16,PM2.5,37.0
1014,20140410,17,PCA,71.43739037439649
1014,20140410,17,PM2.5,32.0
1020,20140410,18,PCA,72.69042369181753
1020,20140410,18,PM2.5,34.0
1026,20140410,19,PCA,80.23964845648334
1026,20140410,19,PM2.5,43.5
1032,20140410,20,PCA,88.52060586457111
1032,20140410,20,PM2.5,53.0
1038,20140410,21,PCA,96.55818995421141
1038,20140410,21,PM2.5,58.0
1044,20140410,22,PCA,102.42043285401249
1044,20140410,22,PM2.5,66.0
1050,20140410,23,PCA,98.863948045944
1050,20140410,23,PM2.5,59.0
1056,20140411,0,PCA,104.07302216160022
1056,20140411,0,PM2.5,70.0
1062,20140411,1,PCA,92.81852479516992
1062,20140411,1,PM2.5,58.0
1068,20140411,2,PCA,78.93686401133849
1068,20140411,2,PM2.5,45.0
1074,20140411,3,PCA,84.32646575474851
1074,20140411,3,PM2.5,54.0
1080,20140411,4,PCA,69.3047732421975
1080,20140411,4,PM2.5,46.0
1086,20140411,5,PCA,73.39579322376531
1086,20140411,5,PM2.5,52.0
1092,20140411,6,PCA,64.04157807608229
1092,20140411,6,PM2.5,47.0
1098,20140411,7,PCA,59.395343119667935
1098,20140411,7,PM2.5,43.0
1104,20140411,8,PCA,55.11437479196828
1104,20140411,8,PM2.5,44.0
1110,20140411,9,PCA,43.52930516122007
1110,20140411,9,PM2.5,37.0
1116,20140411,10,PCA,25.421710015676137
1116,20140411,10,PM2.5,28.0
1122,20140411,11,PCA,17.296773319378904
1122,20140411,11,PM2.5,26.0
1128,20140411,12,PCA,6.6907749145735425
1128,20140411,12,PM2.5,20.0
1134,20140411,13,PCA,0.3711458127847666
1134,20140411,13,PM2.5,23.0
1140,20140411,14,PCA,-3.2925559471424197
1140,20140411,14,PM2.5,27.0
1146,20140411,15,PCA,-5.767520808493202
1146,20140411,15,PM2.5,30.0
1152,20140411,16,PCA,-7.483924035883931
1152,20140411,16,PM2.5,31.0
1158,20140411,17,PCA,-5.107907109882405
1158,20140411,17,PM2.5,36.0
1164,20140411,18,PCA,-0.23242077968329558
1164,20140411,18,PM2.5,45.0
1170,20140411,19,PCA,0.4205371227587896
1170,20140411,19,PM2.5,49.0
1176,20140411,20,PCA,7.010540619339151
1176,20140411,20,PM2.5,60.0
1182,20140411,21,PCA,10.35623611234634
1182,20140411,21,PM2.5,66.0
1188,20140411,22,PCA,3.6394538253869846
1188,20140411,22,PM2.5,58.0
1194,20140411,23,PCA,21.043096785679708
1194,20140411,23,PM2.5,83.0
1200,20140412,0,PCA,9.48065166178957
1200,20140412,0,PM2.5,70.0
1206,20140412,1,PCA,5.706111602248495
1206,20140412,1,PM2.5,67.0
1212,20140412,2,PCA,2.2960777970099167
