,date,hour,type,密云
125538,20160903,13,PM2.5,7.0
125544,20160903,14,PCA,-76.71695505584961
125544,20160903,14,PM2.5,6.0
125550,20160903,15,PCA,-70.82407096414249
125550,20160903,15,PM2.5,9.0
125556,20160903,16,PCA,-67.28910372528671
125556,20160903,16,PM2.5,6.0
125562,20160903,17,PCA,-58.59664624245138
125562,20160903,17,PM2.5,13.0
125568,20160903,18,PCA,-53.44921741446922
125568,20160903,18,PM2.5,15.0
125574,20160903,19,PCA,-52.157975847248956
125574,20160903,19,PM2.5,19.0
125580,20160903,20,PCA,-56.564781467753306
125580,20160903,20,PM2.5,22.0
125586,20160903,21,PCA,-57.34089078779842
125586,20160903,21,PM2.5,23.0
125592,20160903,22,PCA,-57.83272885911405
125592,20160903,22,PM2.5,26.0
125598,20160903,23,PCA,-54.8973716930989
125598,20160903,23,PM2.5,28.0
125604,20160904,0,PCA,-45.55336658262344
125604,20160904,0,PM2.5,41.0
125610,20160904,1,PCA,-35.80564987121425
125610,20160904,1,PM2.5,55.0
125616,20160904,2,PCA,-33.42561076118936
125616,20160904,2,PM2.5,55.0
125622,20160904,3,PCA,-27.742045436631347
125622,20160904,3,PM2.5,60.0
125628,20160904,4,PCA,-28.36882664494141
125628,20160904,4,PM2.5,58.0
125634,20160904,5,PCA,-13.020553334835169
125634,20160904,5,PM2.5,78.0
125640,20160904,6,PCA,-11.08506440613564
125640,20160904,6,PM2.5,80.0
125646,20160904,7,PCA,-8.90793176714933
125646,20160904,7,PM2.5,80.0
125652,20160904,8,PCA,-4.796793550900898
125652,20160904,8,PM2.5,84.0
125658,20160904,9,PCA,2.7105258001721695
125658,20160904,9,PM2.5,91.0
125664,20160904,10,PCA,11.733798517564649
125664,20160904,10,PM2.5,99.0
125670,20160904,11,PCA,20.201235115410892
125670,20160904,11,PM2.5,106.0
125676,20160904,12,PCA,25.487614660358616
125676,20160904,12,PM2.5,108.0
125682,20160904,13,PCA,20.453540356257406
125682,20160904,13,PM2.5,97.0
125688,20160904,14,PCA,38.41503670788132
125688,20160904,14,PM2.5,96.0
125694,20160904,15,PCA,47.49422937149667
125694,20160904,15,PM2.5,98.0
125700,20160904,16,PCA,41.722375454718374
125700,20160904,16,PM2.5,87.0
125706,20160904,17,PCA,23.783269217585072
125706,20160904,17,PM2.5,65.0
125712,20160904,18,PCA,9.515728098312113
125712,20160904,18,PM2.5,59.0
125718,20160904,19,PCA,19.700414057803123
125718,20160904,19,PM2.5,71.0
125724,20160904,20,PCA,29.114988424362718
125724,20160904,20,PM2.5,82.0
125730,20160904,21,PCA,1.702257729298298
125730,20160904,21,PM2.5,43.0
125736,20160904,22,PCA,-4.981582099987837
125736,20160904,22,PM2.5,32.0
125742,20160904,23,PCA,-12.051901033597506
125742,20160904,23,PM2.5,21.0
125748,20160905,0,PCA,-15.62838657987793
125748,20160905,0,PM2.5,18.0
125754,20160905,1,PCA,-17.358151923024284
125754,20160905,1,PM2.5,16.0
125760,20160905,2,PCA,-12.104448413245894
125760,20160905,2,PM2.5,23.0
125766,20160905,3,PCA,-14.024730895034624
125766,20160905,3,PM2.5,24.0
125772,20160905,4,PCA,-15.636369747523107
125772,20160905,4,PM2.5,23.0
125778,20160905,5,PCA,-13.715736819218629
125778,20160905,5,PM2.5,25.0
125784,20160905,6,PCA,-15.915268626897472
125784,20160905,6,PM2.5,28.0
125790,20160905,7,PCA,-14.795467845724636
125790,20160905,7,PM2.5,32.0
125796,20160905,8,PCA,-16.02859021448805
125796,20160905,8,PM2.5,32.0
125802,20160905,9,PCA,-22.02079916834631
125802,20160905,9,PM2.5,29.0
125808,20160905,10,PCA,-28.82145117895125
125808,20160905,10,PM2.5,25.0
125814,20160905,11,PCA,-33.31454708673028
125814,20160905,11,PM2.5,22.0
125820,20160905,12,PCA,-35.70320158893011
125820,20160905,12,PM2.5,23.0
125826,20160905,13,PCA,-41.40627901788753
125826,20160905,13,PM2.5,20.0
125832,20160905,14,PCA,-50.03016699145153
125832,20160905,14,PM2.5,13.0
125838,20160905,15,PCA,-52.97501937164396
125838,20160905,15,PM2.5,12.0
125844,20160905,16,PCA,-56.32796302042591
125844,20160905,16,PM2.5,11.0
125850,20160905,17,PCA,-55.165223598994864
125850,20160905,17,PM2.5,14.0
125856,20160905,18,PCA,-56.52972278859697
125856,20160905,18,PM2.5,13.0
125862,20160905,19,PCA,-53.29749681524802
125862,20160905,19,PM2.5,17.0
125868,20160905,20,PCA,-52.43867184247744
125868,20160905,20,PM2.5,20.0
125874,20160905,21,PCA,-51.27509304762156
125874,20160905,21,PM2.5,23.0
125880,20160905,22,PCA,-53.88384823951434
125880,20160905,22,PM2.5,20.0
125886,20160905,23,PCA,-58.38964691271716
125886,20160905,23,PM2.5,15.0
125892,20160906,0,PCA,-59.43647249503811
125892,20160906,0,PM2.5,15.0
125898,20160906,1,PCA,-62.55403246811373
125898,20160906,1,PM2.5,11.0
125904,20160906,2,PCA,-64.67367326667795
125904,20160906,2,PM2.5,9.0
125910,20160906,3,PCA,-64.23636817613263
125910,20160906,3,PM2.5,10.0
125916,20160906,4,PCA,-65.96200128931892
125916,20160906,4,PM2.5,9.0
125922,20160906,5,PCA,-66.09645223466043
125922,20160906,5,PM2.5,9.0
125928,20160906,6,PCA,-66.34794114727892
125928,20160906,6,PM2.5,9.0
125934,20160906,7,PCA,-63.705120175652404
125934,20160906,7,PM2.5,13.0
125940,20160906,8,PCA,-65.5562422319283
125940,20160906,8,PM2.5,11.0
125946,20160906,9,PCA,-66.2612715480483
125946,20160906,9,PM2.5,12.0
125952,20160906,10,PCA,-67.48927837029022
125952,20160906,10,PM2.5,12.0
125958,20160906,11,PCA,-69.92890060384902
125958,20160906,11,PM2.5,10.0
125964,20160906,12,PCA,-71.53977315954809
125964,20160906,12,PM2.5,9.0
125970,20160906,13,PCA,-72.46894454133331
125970,20160906,13,PM2.5,9.0
125976,20160906,14,PCA,-73.13497403214001
125976,20160906,14,PM2.5,7.0
125982,20160906,15,PCA,-69.98329110483337
125982,20160906,15,PM2.5,11.0
125988,20160906,16,PCA,-67.67017392193742
125988,20160906,16,PM2.5,13.0
125994,20160906,17,PCA,-70.66588050827588
125994,20160906,17,PM2.5,9.0
126090,20160907,9,PCA,-25.82523502836446
126090,20160907,9,PM2.5,52.0
126096,20160907,10,PCA,-23.422639173829296
126096,20160907,10,PM2.5,54.0
126102,20160907,11,PCA,-21.592445089640762
126102,20160907,11,PM2.5,56.0
126108,20160907,12,PCA,-28.850415280407255
126108,20160907,12,PM2.5,46.0
126114,20160907,13,PCA,-36.21362917331481
126114,20160907,13,PM2.5,36.0
126120,20160907,14,PCA,-37.74123553480339
126120,20160907,14,PM2.5,33.0
126126,20160907,15,PCA,-17.715767551860186
126126,20160907,15,PM2.5,31.0
126132,20160907,16,PCA,-20.130022963510754
126132,20160907,16,PM2.5,30.0
126156,20160907,20,PCA,-35.65715481478673
126156,20160907,20,PM2.5,35.0
126162,20160907,21,PCA,-33.881177257425996
126162,20160907,21,PM2.5,34.0
126168,20160907,22,PCA,-37.38485756991594
126168,20160907,22,PM2.5,31.0
126174,20160907,23,PCA,-39.13091788335401
126174,20160907,23,PM2.5,25.0
126180,20160908,0,PCA,-36.11114124150548
126180,20160908,0,PM2.5,28.0
126186,20160908,1,PCA,-36.78669416641369
126186,20160908,1,PM2.5,25.0
126192,20160908,2,PCA,-38.398002473917195
126192,20160908,2,PM2.5,23.0
126198,20160908,3,PCA,-38.25786851576638
126198,20160908,3,PM2.5,25.0
126204,20160908,4,PCA,-38.369073406703436
126204,20160908,4,PM2.5,27.0
126210,20160908,5,PCA,-40.40494750101073
126210,20160908,5,PM2.5,26.0
126216,20160908,6,PCA,-43.122995059354075
126216,20160908,6,PM2.5,23.0
126222,20160908,7,PCA,-45.17548541701286
126222,20160908,7,PM2.5,21.0
126228,20160908,8,PCA,-45.83119695700439
126228,20160908,8,PM2.5,22.0
126234,20160908,9,PCA,-51.94739589578414
126234,20160908,9,PM2.5,17.0
126240,20160908,10,PCA,-54.9579796485161
126240,20160908,10,PM2.5,16.0
126246,20160908,11,PCA,-58.18812313231719
126246,20160908,11,PM2.5,14.0
126252,20160908,12,PCA,-59.01354341532397
126252,20160908,12,PM2.5,14.0
126258,20160908,13,PCA,-60.738560295251524
126258,20160908,13,PM2.5,13.0
126264,20160908,14,PCA,-63.75892275243512
126264,20160908,14,PM2.5,9.0
126270,20160908,15,PCA,-63.00670520444518
126270,20160908,15,PM2.5,11.0
126276,20160908,16,PCA,-60.606531178006804
126276,20160908,16,PM2.5,10.0
126282,20160908,17,PCA,-66.79753975910754
126282,20160908,17,PM2.5,8.0
126288,20160908,18,PCA,-62.93710519068915
126288,20160908,18,PM2.5,12.0
126294,20160908,19,PCA,-56.293505726647204
126294,20160908,19,PM2.5,16.0
126300,20160908,20,PCA,-54.89585711763142
126300,20160908,20,PM2.5,18.0
126306,20160908,21,PCA,-54.141172426472195
126306,20160908,21,PM2.5,21.0
126312,20160908,22,PCA,-57.33782762748113
126312,20160908,22,PM2.5,17.0
126318,20160908,23,PCA,-57.7999690703259
126318,20160908,23,PM2.5,17.0
126324,20160909,0,PCA,-60.41114561514503
126324,20160909,0,PM2.5,15.0
126330,20160909,1,PCA,-62.03925066745434
126330,20160909,1,PM2.5,13.0
126336,20160909,2,PCA,-60.555300476042405
126336,20160909,2,PM2.5,15.0
126342,20160909,3,PCA,-62.61684197768054
126342,20160909,3,PM2.5,13.0
126348,20160909,4,PCA,-65.98187215862754
126348,20160909,4,PM2.5,10.0
126354,20160909,5,PCA,-62.757125999361996
126354,20160909,5,PM2.5,11.0
126360,20160909,6,PCA,-63.00278183564053
126360,20160909,6,PM2.5,13.0
126366,20160909,7,PCA,-63.061211677551555
126366,20160909,7,PM2.5,14.0
126372,20160909,8,PCA,-62.57694924200092
126372,20160909,8,PM2.5,15.0
126378,20160909,9,PCA,-67.2290301223602
126378,20160909,9,PM2.5,10.0
126384,20160909,10,PCA,-69.24361427899302
126384,20160909,10,PM2.5,8.0
126390,20160909,11,PCA,-69.87546446485307
126390,20160909,11,PM2.5,7.0
126396,20160909,12,PCA,-71.8025550211497
126396,20160909,12,PM2.5,5.0
126402,20160909,13,PCA,-72.49265456746647
126402,20160909,13,PM2.5,4.0
126408,20160909,14,PCA,-73.04681934183385
126408,20160909,14,PM2.5,5.0
126414,20160909,15,PCA,-73.31641054241106
126414,20160909,15,PM2.5,5.0
126420,20160909,16,PCA,-72.8195505482561
126420,20160909,16,PM2.5,6.0
126426,20160909,17,PCA,-74.74664110455275
126426,20160909,17,PM2.5,4.0
126432,20160909,18,PCA,-64.74610877137364
126432,20160909,18,PM2.5,15.0
126438,20160909,19,PCA,-58.4151808933043
126438,20160909,19,PM2.5,18.0
126444,20160909,20,PCA,-59.04116758490072
126444,20160909,20,PM2.5,18.0
126450,20160909,21,PCA,-61.2139139774759
126450,20160909,21,PM2.5,18.0
126456,20160909,22,PCA,-59.85956277362755
126456,20160909,22,PM2.5,20.0
126462,20160909,23,PCA,-64.6262237300197
126462,20160909,23,PM2.5,14.0
126468,20160910,0,PCA,-65.93083747102717
126468,20160910,0,PM2.5,12.0
126474,20160910,1,PCA,-68.6309632228661
126474,20160910,1,PM2.5,10.0
126480,20160910,2,PCA,-71.43762944324425
126480,20160910,2,PM2.5,6.0
126486,20160910,3,PCA,-70.34932302534811
126486,20160910,3,PM2.5,8.0
126492,20160910,4,PCA,-71.16967433080495
126492,20160910,4,PM2.5,7.0
126498,20160910,5,PCA,-73.97634055118307
126498,20160910,5,PM2.5,3.0
126504,20160910,6,PCA,-72.72175827968375
126504,20160910,6,PM2.5,6.0
126510,20160910,7,PCA,-73.05784714958993
126510,20160910,7,PM2.5,6.0
126516,20160910,8,PCA,-73.23848914314736
126516,20160910,8,PM2.5,6.0
126522,20160910,9,PCA,-72.92954445325407
126522,20160910,9,PM2.5,8.0
126528,20160910,10,PCA,-77.68204703753887
126528,20160910,10,PM2.5,4.0
126534,20160910,11,PCA,-76.73871728364624
126534,20160910,11,PM2.5,6.0
126540,20160910,12,PCA,-78.76282487438057
126540,20160910,12,PM2.5,3.0
126546,20160910,13,PCA,-76.68064620664441
126546,20160910,13,PM2.5,4.0
126552,20160910,14,PCA,-75.75183358976844
126552,20160910,14,PM2.5,3.0
126558,20160910,15,PCA,-73.48901292847484
126558,20160910,15,PM2.5,4.0
126564,20160910,16,PCA,-71.83266685437829
126564,20160910,16,PM2.5,3.0
126570,20160910,17,PCA,-69.83070847627403
126570,20160910,17,PM2.5,3.0
126576,20160910,18,PCA,-69.33950327500409
126576,20160910,18,PM2.5,4.0
126582,20160910,19,PCA,-65.13923303906947
126582,20160910,19,PM2.5,11.0
126588,20160910,20,PCA,-53.52439587973101
126588,20160910,20,PM2.5,22.0
126594,20160910,21,PCA,-49.569092170180724
126594,20160910,21,PM2.5,31.0
126600,20160910,22,PCA,-47.830181440421114
126600,20160910,22,PM2.5,30.0
126606,20160910,23,PCA,-45.947031808943144
126606,20160910,23,PM2.5,34.0
126612,20160911,0,PCA,-51.4437985725446
126612,20160911,0,PM2.5,25.0
126618,20160911,1,PCA,-58.116093778177266
126618,20160911,1,PM2.5,23.0
126624,20160911,2,PCA,-51.92947270795535
126624,20160911,2,PM2.5,32.0
126630,20160911,3,PCA,-60.87728648015795
126630,20160911,3,PM2.5,17.0
126636,20160911,4,PCA,-56.336769255644924
126636,20160911,4,PM2.5,23.0
126642,20160911,5,PCA,-57.550484726828394
126642,20160911,5,PM2.5,19.0
126648,20160911,6,PCA,-55.71541750205437
126648,20160911,6,PM2.5,22.0
126654,20160911,7,PCA,-51.800062968032194
126654,20160911,7,PM2.5,25.0
126660,20160911,8,PCA,-51.42618142231299
126660,20160911,8,PM2.5,25.0
126666,20160911,9,PCA,-52.886242039669206
126666,20160911,9,PM2.5,23.0
126672,20160911,10,PCA,-55.027531540817144
126672,20160911,10,PM2.5,21.0
126678,20160911,11,PCA,-57.19756257379871
126678,20160911,11,PM2.5,19.0
126684,20160911,12,PCA,-59.31839319230353
126684,20160911,12,PM2.5,14.0
126690,20160911,13,PCA,-59.864877124086476
126690,20160911,13,PM2.5,13.0
126696,20160911,14,PCA,-57.79594878653111
126696,20160911,14,PM2.5,14.0
126702,20160911,15,PCA,-56.96234715089349
126702,20160911,15,PM2.5,15.0
126708,20160911,16,PCA,-54.37987559959029
126708,20160911,16,PM2.5,17.0
126714,20160911,17,PCA,-51.95930023423451
126714,20160911,17,PM2.5,17.0
126720,20160911,18,PCA,-49.10609125465703
126720,20160911,18,PM2.5,17.0
126726,20160911,19,PCA,-48.86474107586708
126726,20160911,19,PM2.5,20.0
126732,20160911,20,PCA,-46.96281741685487
126732,20160911,20,PM2.5,24.0
126738,20160911,21,PCA,-51.43730220823528
126738,20160911,21,PM2.5,22.0
126744,20160911,22,PCA,-53.3659830624269
126744,20160911,22,PM2.5,23.0
126750,20160911,23,PCA,-58.50715011619048
126750,20160911,23,PM2.5,19.0
126756,20160912,0,PCA,-62.07765864299438
126756,20160912,0,PM2.5,17.0
126762,20160912,1,PCA,-61.80419880120069
126762,20160912,1,PM2.5,18.0
126768,20160912,2,PCA,-62.69557750717288
126768,20160912,2,PM2.5,18.0
126774,20160912,3,PCA,-63.24666815703744
126774,20160912,3,PM2.5,18.0
126780,20160912,4,PCA,-63.25619159113898
126780,20160912,4,PM2.5,17.0
126786,20160912,5,PCA,-61.93478110532571
126786,20160912,5,PM2.5,19.0
126792,20160912,6,PCA,-61.61548898022534
126792,20160912,6,PM2.5,19.0
126798,20160912,7,PCA,-61.68651638074072
126798,20160912,7,PM2.5,20.0
126804,20160912,8,PCA,-61.51249492631109
126804,20160912,8,PM2.5,21.0
126810,20160912,9,PCA,-61.640855326963134
126810,20160912,9,PM2.5,22.0
126816,20160912,10,PCA,-65.13699828164393
126816,20160912,10,PM2.5,18.0
126822,20160912,11,PCA,-65.59921325948547
126822,20160912,11,PM2.5,18.0
126828,20160912,12,PCA,-67.85514759490823
126828,20160912,12,PM2.5,13.0
126834,20160912,13,PCA,-66.46031657557752
126834,20160912,13,PM2.5,11.0
126840,20160912,14,PCA,-63.6422060782179
126840,20160912,14,PM2.5,12.0
126846,20160912,15,PCA,-60.571631670071845
126846,20160912,15,PM2.5,14.0
126852,20160912,16,PCA,-56.87893921154581
126852,20160912,16,PM2.5,15.0
126858,20160912,17,PCA,-52.54766250281903
126858,20160912,17,PM2.5,16.0
126864,20160912,18,PCA,-50.414601409012576
126864,20160912,18,PM2.5,22.0
126870,20160912,19,PCA,-57.09875314622059
126870,20160912,19,PM2.5,23.0
126876,20160912,20,PCA,-51.92349209279902
126876,20160912,20,PM2.5,30.0
126882,20160912,21,PCA,-53.2660332008309
126882,20160912,21,PM2.5,31.0
126888,20160912,22,PCA,-54.0607170989569
126888,20160912,22,PM2.5,31.0
126894,20160912,23,PCA,-60.10567161744921
126894,20160912,23,PM2.5,24.0
126900,20160913,0,PCA,-58.67266799139778
126900,20160913,0,PM2.5,20.0
126906,20160913,1,PCA,-58.642148626289035
126906,20160913,1,PM2.5,21.0
126912,20160913,2,PCA,-58.21468919643671
126912,20160913,2,PM2.5,20.0
126918,20160913,3,PCA,-62.36842625603314
126918,20160913,3,PM2.5,18.0
126924,20160913,4,PCA,-65.31681673245706
126924,20160913,4,PM2.5,15.0
126930,20160913,5,PCA,-58.738635666288395
126930,20160913,5,PM2.5,18.0
126936,20160913,6,PCA,-59.514092214757035
126936,20160913,6,PM2.5,19.0
126942,20160913,7,PCA,-60.15687565115925
126942,20160913,7,PM2.5,19.0
126948,20160913,8,PCA,-51.03501094013508
126948,20160913,8,PM2.5,30.0
126954,20160913,9,PCA,-49.66404127493583
126954,20160913,9,PM2.5,30.0
126960,20160913,10,PCA,-39.15653044623997
126960,20160913,10,PM2.5,46.0
126966,20160913,11,PCA,-22.92914718341902
126966,20160913,11,PM2.5,68.0
126972,20160913,12,PCA,1.1312727329091616
126972,20160913,12,PM2.5,102.0
126978,20160913,13,PCA,14.259589553451512
126978,20160913,13,PM2.5,116.0
126984,20160913,14,PCA,9.820989154593347
126984,20160913,14,PM2.5,105.0
126990,20160913,15,PCA,20.77771365348064
126990,20160913,15,PM2.5,111.0
126996,20160913,16,PCA,35.061883094412785
126996,20160913,16,PM2.5,128.0
127002,20160913,17,PCA,47.880828250012215
127002,20160913,17,PM2.5,137.0
127008,20160913,18,PCA,42.59113844855609
127008,20160913,18,PM2.5,122.0
127014,20160913,19,PCA,32.81185963890018
127014,20160913,19,PM2.5,108.0
127020,20160913,20,PCA,32.852262467487364
127020,20160913,20,PM2.5,104.0
127026,20160913,21,PCA,35.868681494558714
127026,20160913,21,PM2.5,104.0
127032,20160913,22,PCA,50.342617149663106
127032,20160913,22,PM2.5,121.0
127038,20160913,23,PCA,52.03465583970609
127038,20160913,23,PM2.5,118.0
127044,20160914,0,PCA,51.9811157583584
127044,20160914,0,PM2.5,112.0
127050,20160914,1,PCA,55.3540803399796
127050,20160914,1,PM2.5,112.0
127056,20160914,2,PCA,54.400215615499775
127056,20160914,2,PM2.5,108.0
127062,20160914,3,PCA,54.6938486516628
127062,20160914,3,PM2.5,105.0
127068,20160914,4,PCA,64.50924706288346
127068,20160914,4,PM2.5,110.0
127074,20160914,5,PCA,64.26779167727405
127074,20160914,5,PM2.5,105.0
127080,20160914,6,PCA,65.03616371488621
127080,20160914,6,PM2.5,102.0
127086,20160914,7,PCA,64.63744708133522
127086,20160914,7,PM2.5,96.0
127092,20160914,8,PCA,69.14683090548016
127092,20160914,8,PM2.5,98.0
127098,20160914,9,PCA,77.1516172488509
127098,20160914,9,PM2.5,108.0
127104,20160914,10,PCA,86.57596273611738
127104,20160914,10,PM2.5,119.0
127110,20160914,11,PCA,91.61244194351264
127110,20160914,11,PM2.5,125.0
127116,20160914,12,PCA,94.46212333268288
127116,20160914,12,PM2.5,128.0
127122,20160914,13,PCA,94.87044165169824
127122,20160914,13,PM2.5,128.0
127128,20160914,14,PCA,100.60056727839648
127128,20160914,14,PM2.5,135.0
127134,20160914,15,PCA,107.49990408339978
127134,20160914,15,PM2.5,141.0
127140,20160914,16,PCA,114.23930081918563
127140,20160914,16,PM2.5,148.0
127146,20160914,17,PCA,116.75571045296425
127146,20160914,17,PM2.5,151.0
127152,20160914,18,PCA,104.48322401332932
127152,20160914,18,PM2.5,131.0
127158,20160914,19,PCA,101.48972004788483
127158,20160914,19,PM2.5,124.0
127164,20160914,20,PCA,83.55970981144212
127164,20160914,20,PM2.5,100.0
127170,20160914,21,PCA,50.93694416591962
127170,20160914,21,PM2.5,54.0
127176,20160914,22,PCA,44.84972494474403
127176,20160914,22,PM2.5,45.0
127182,20160914,23,PCA,41.29927968277632
127182,20160914,23,PM2.5,36.0
127188,20160915,0,PCA,42.23022763336896
127188,20160915,0,PM2.5,44.0
127194,20160915,1,PCA,59.13319251619282
127194,20160915,1,PM2.5,75.0
127200,20160915,2,PCA,64.03300592869934
127200,20160915,2,PM2.5,86.0
127206,20160915,3,PCA,64.79912657844658
127206,20160915,3,PM2.5,88.0
127212,20160915,4,PCA,65.08630904054323
127212,20160915,4,PM2.5,90.0
127218,20160915,5,PCA,68.03483420817852
127218,20160915,5,PM2.5,90.0
127224,20160915,6,PCA,59.38776134277223
127224,20160915,6,PM2.5,86.0
127230,20160915,7,PCA,60.39845855734232
127230,20160915,7,PM2.5,87.0
127236,20160915,8,PCA,59.7897043623561
127236,20160915,8,PM2.5,88.0
127242,20160915,9,PCA,57.50114933749029
127242,20160915,9,PM2.5,87.0
127248,20160915,10,PCA,47.98129648691914
127248,20160915,10,PM2.5,77.0
127254,20160915,11,PCA,41.35980264326379
127254,20160915,11,PM2.5,71.0
127260,20160915,12,PCA,33.012420416072025
127260,20160915,12,PM2.5,62.0
127266,20160915,13,PCA,23.448390338331148
127266,20160915,13,PM2.5,52.0
127272,20160915,14,PCA,11.822818758952113
127272,20160915,14,PM2.5,40.0
127278,20160915,15,PCA,10.09588103614461
127278,20160915,15,PM2.5,43.0
127284,20160915,16,PCA,5.974387066295605
127284,20160915,16,PM2.5,43.0
127290,20160915,17,PCA,6.198573416977078
127290,20160915,17,PM2.5,47.0
127296,20160915,18,PCA,-0.7516712276382066
127296,20160915,18,PM2.5,42.0
127302,20160915,19,PCA,8.268561412473142
127302,20160915,19,PM2.5,55.0
127308,20160915,20,PCA,14.080816418200488
127308,20160915,20,PM2.5,65.0
127314,20160915,21,PCA,15.178692060441056
127314,20160915,21,PM2.5,70.0
127320,20160915,22,PCA,13.915747954856563
127320,20160915,22,PM2.5,67.0
127326,20160915,23,PCA,14.718394473581025
127326,20160915,23,PM2.5,66.0
127332,20160916,0,PCA,24.111970677515714
127332,20160916,0,PM2.5,72.0
127338,20160916,1,PCA,34.87874423958073
127338,20160916,1,PM2.5,90.0
127344,20160916,2,PCA,38.440389157785354
127344,20160916,2,PM2.5,96.0
127350,20160916,3,PCA,35.509920487865855
127350,20160916,3,PM2.5,94.0
127356,20160916,4,PCA,31.732780333582213
127356,20160916,4,PM2.5,90.0
127362,20160916,5,PCA,31.634997002355096
127362,20160916,5,PM2.5,89.0
127368,20160916,6,PCA,33.29557048257736
127368,20160916,6,PM2.5,90.0
127374,20160916,7,PCA,37.479002906176966
127374,20160916,7,PM2.5,96.0
127380,20160916,8,PCA,41.84325780478833
127380,20160916,8,PM2.5,101.0
127386,20160916,9,PCA,51.78239969676647
127386,20160916,9,PM2.5,114.0
127392,20160916,10,PCA,54.340442427650395
127392,20160916,10,PM2.5,116.0
127398,20160916,11,PCA,67.50913131111116
127398,20160916,11,PM2.5,134.0
127404,20160916,12,PCA,68.28229538737652
127404,20160916,12,PM2.5,133.0
127410,20160916,13,PCA,81.95367028740644
127410,20160916,13,PM2.5,149.0
127416,20160916,14,PCA,84.82891386027892
127416,20160916,14,PM2.5,147.0
127422,20160916,15,PCA,89.74954618480545
127422,20160916,15,PM2.5,149.0
127428,20160916,16,PCA,100.46929890809088
127428,20160916,16,PM2.5,158.0
127434,20160916,17,PCA,128.4884767765345
127434,20160916,17,PM2.5,190.0
127440,20160916,18,PCA,134.18209681090917
127440,20160916,18,PM2.5,191.0
127446,20160916,19,PCA,52.36927132546076
127446,20160916,19,PM2.5,67.0
127452,20160916,20,PCA,20.88837147232976
127452,20160916,20,PM2.5,22.0
127458,20160916,21,PCA,19.39781970978905
127458,20160916,21,PM2.5,21.0
127464,20160916,22,PCA,18.465631907817187
127464,20160916,22,PM2.5,19.0
127470,20160916,23,PCA,17.610891331567462
127470,20160916,23,PM2.5,23.0
127476,20160917,0,PCA,14.876405793327566
127476,20160917,0,PM2.5,21.0
127482,20160917,1,PCA,13.235694864020456
127482,20160917,1,PM2.5,21.0
127488,20160917,2,PCA,9.999467889455726
127488,20160917,2,PM2.5,23.0
127494,20160917,3,PCA,5.947440506619048
127494,20160917,3,PM2.5,20.0
127500,20160917,4,PCA,4.6481792334358945
127500,20160917,4,PM2.5,21.0
127506,20160917,5,PCA,5.295153537646088
127506,20160917,5,PM2.5,23.0
127512,20160917,6,PCA,3.4562164071879002
127512,20160917,6,PM2.5,26.0
127518,20160917,7,PCA,2.557886617102932
127518,20160917,7,PM2.5,28.0
127524,20160917,8,PCA,-3.188307735567568
127524,20160917,8,PM2.5,24.0
127530,20160917,9,PCA,-8.003411128040577
127530,20160917,9,PM2.5,23.0
127536,20160917,10,PCA,-13.108914591888361
127536,20160917,10,PM2.5,22.0
127542,20160917,11,PCA,-19.860129725075012
127542,20160917,11,PM2.5,18.0
127548,20160917,12,PCA,-24.074082778251064
127548,20160917,12,PM2.5,18.0
127554,20160917,13,PCA,-27.849605679183153
127554,20160917,13,PM2.5,20.0
127560,20160917,14,PCA,-33.753054225869434
127560,20160917,14,PM2.5,20.0
127566,20160917,15,PCA,-39.37204272397844
127566,20160917,15,PM2.5,19.0
127572,20160917,16,PCA,-45.90033173456406
127572,20160917,16,PM2.5,17.0
127578,20160917,17,PCA,-51.99438977910718
127578,20160917,17,PM2.5,17.0
127584,20160917,18,PCA,-61.50770866030688
127584,20160917,18,PM2.5,15.0
127590,20160917,19,PCA,-59.27019664143489
127590,20160917,19,PM2.5,16.0
127596,20160917,20,PCA,-56.1190431787477
127596,20160917,20,PM2.5,20.0
127602,20160917,21,PCA,-59.19532176570151
127602,20160917,21,PM2.5,19.0
127608,20160917,22,PCA,-57.866637969183984
127608,20160917,22,PM2.5,20.0
127614,20160917,23,PCA,-59.747537477264686
127614,20160917,23,PM2.5,18.0
127620,20160918,0,PCA,-60.90285259092907
127620,20160918,0,PM2.5,18.0
127626,20160918,1,PCA,-62.20551726913232
127626,20160918,1,PM2.5,14.0
127632,20160918,2,PCA,-62.347241525178106
127632,20160918,2,PM2.5,15.0
127638,20160918,3,PCA,-62.56756755303659
127638,20160918,3,PM2.5,14.0
127644,20160918,4,PCA,-63.278304265451354
127644,20160918,4,PM2.5,14.0
127650,20160918,5,PCA,-59.59818114560543
127650,20160918,5,PM2.5,17.0
127656,20160918,6,PCA,-63.088138837792414
127656,20160918,6,PM2.5,15.0
127662,20160918,7,PCA,-62.4740077914964
127662,20160918,7,PM2.5,16.0
127668,20160918,8,PCA,-61.99740181504473
127668,20160918,8,PM2.5,18.0
127674,20160918,9,PCA,-61.2008509419162
127674,20160918,9,PM2.5,20.0
127680,20160918,10,PCA,-59.42915465855858
127680,20160918,10,PM2.5,23.0
127686,20160918,11,PCA,-64.90029055314693
127686,20160918,11,PM2.5,15.0
127692,20160918,12,PCA,-65.79586844532058
127692,20160918,12,PM2.5,15.0
127698,20160918,13,PCA,-68.69455799722132
127698,20160918,13,PM2.5,12.0
127704,20160918,14,PCA,-70.71819329783352
127704,20160918,14,PM2.5,10.0
