,date,hour,type,东四环
816,20140409,8,PCA,177.82029054883068
816,20140409,8,PM2.5,185.0
822,20140409,9,PCA,158.61782668567298
822,20140409,9,PM2.5,161.0
828,20140409,10,PCA,165.88487441073002
828,20140409,10,PM2.5,181.0
834,20140409,11,PCA,161.6119269213866
834,20140409,11,PM2.5,184.0
840,20140409,12,PCA,124.40460142109085
840,20140409,12,PM2.5,163.0
846,20140409,13,PCA,71.75999430471812
846,20140409,13,PM2.5,96.0
852,20140409,14,PCA,31.314593737174413
852,20140409,14,PM2.5,44.0
858,20140409,15,PCA,38.26062852762499
858,20140409,15,PM2.5,57.0
864,20140409,16,PCA,44.3167428801913
864,20140409,16,PM2.5,56.0
870,20140409,17,PCA,42.11595864218261
870,20140409,17,PM2.5,60.0
876,20140409,18,PCA,47.179350643049894
876,20140409,18,PM2.5,71.0
882,20140409,19,PCA,161.267974992632
882,20140409,19,PM2.5,222.0
888,20140409,20,PCA,86.2550992348918
888,20140409,20,PM2.5,115.0
894,20140409,21,PCA,108.98320641968485
894,20140409,21,PM2.5,153.0
900,20140409,22,PCA,127.47025796993258
900,20140409,22,PM2.5,167.0
906,20140409,23,PCA,97.98042175801058
906,20140409,23,PM2.5,121.0
912,20140410,0,PCA,106.17995301316876
912,20140410,0,PM2.5,133.0
918,20140410,1,PCA,99.20127387112632
918,20140410,1,PM2.5,126.0
924,20140410,2,PCA,88.33657738094975
924,20140410,2,PM2.5,109.0
930,20140410,3,PCA,133.81388345898756
930,20140410,3,PM2.5,171.0
936,20140410,4,PCA,96.34923760768947
936,20140410,4,PM2.5,120.0
942,20140410,5,PCA,89.6186462401721
942,20140410,5,PM2.5,109.0
948,20140410,6,PCA,84.49368316939572
948,20140410,6,PM2.5,109.0
954,20140410,7,PCA,89.41793559337118
954,20140410,7,PM2.5,113.0
960,20140410,8,PCA,87.91786991713612
960,20140410,8,PM2.5,113.0
966,20140410,9,PCA,112.54959556867911
966,20140410,9,PM2.5,147.0
972,20140410,10,PCA,112.01473290185758
972,20140410,10,PM2.5,140.0
978,20140410,11,PCA,123.48018468598649
978,20140410,11,PM2.5,153.0
984,20140410,12,PCA,92.36450467849086
984,20140410,12,PM2.5,103.0
990,20140410,13,PCA,93.5957106410565
990,20140410,13,PM2.5,91.0
996,20140410,14,PCA,85.77256298408643
996,20140410,14,PM2.5,80.0
1002,20140410,15,PCA,118.4455719506504
1002,20140410,15,PM2.5,123.0
1008,20140410,16,PCA,68.77032449930121
1008,20140410,16,PM2.5,53.0
1014,20140410,17,PCA,76.75113338968401
1014,20140410,17,PM2.5,61.0
1020,20140410,18,PCA,77.19181658656552
1020,20140410,18,PM2.5,69.0
1026,20140410,19,PCA,76.87671655883281
1026,20140410,19,PM2.5,71.0
1032,20140410,20,PCA,79.31077017177586
1032,20140410,20,PM2.5,73.0
1038,20140410,21,PCA,115.10655693328493
1038,20140410,21,PM2.5,123.0
1044,20140410,22,PCA,89.38206726597622
1044,20140410,22,PM2.5,85.0
1050,20140410,23,PCA,79.18740875391842
1050,20140410,23,PM2.5,77.0
1056,20140411,0,PCA,89.03015603117909
1056,20140411,0,PM2.5,87.0
1062,20140411,1,PCA,90.53922095647481
1062,20140411,1,PM2.5,97.0
1068,20140411,2,PCA,65.29670648112958
1068,20140411,2,PM2.5,70.0
1074,20140411,3,PCA,57.202160235961436
1074,20140411,3,PM2.5,64.0
1080,20140411,4,PCA,70.05828118860501
1080,20140411,4,PM2.5,77.0
1086,20140411,5,PCA,65.84315712177697
1086,20140411,5,PM2.5,79.0
1092,20140411,6,PCA,72.65715521736769
1092,20140411,6,PM2.5,97.0
1098,20140411,7,PCA,143.38842366238663
1098,20140411,7,PM2.5,204.0
1104,20140411,8,PCA,40.05860951020859
1104,20140411,8,PM2.5,63.0
1110,20140411,9,PCA,32.229593038097235
1110,20140411,9,PM2.5,62.0
1116,20140411,10,PCA,15.469313409137445
1116,20140411,10,PM2.5,48.0
1122,20140411,11,PCA,7.6764654358987645
