,date,hour,type,丰台花园
131910,20161017,19,PM2.5,49.0
131916,20161017,20,PCA,-2.138360192858575
131916,20161017,20,PM2.5,60.0
131922,20161017,21,PCA,9.521075215380147
131922,20161017,21,PM2.5,77.0
131928,20161017,22,PCA,24.492434132638913
131928,20161017,22,PM2.5,99.0
131934,20161017,23,PCA,37.97758035869409
131934,20161017,23,PM2.5,119.0
131940,20161018,0,PCA,36.54097628166525
131940,20161018,0,PM2.5,121.0
131946,20161018,1,PCA,35.43202021510574
131946,20161018,1,PM2.5,125.0
131952,20161018,2,PCA,35.1558785002338
131952,20161018,2,PM2.5,124.0
131958,20161018,3,PCA,26.18706411128859
131958,20161018,3,PM2.5,114.0
131964,20161018,4,PCA,23.350429756005052
131964,20161018,4,PM2.5,108.0
131970,20161018,5,PCA,20.93638888189215
131970,20161018,5,PM2.5,101.0
131976,20161018,6,PCA,11.44589788494156
131976,20161018,6,PM2.5,86.0
131982,20161018,7,PCA,8.803952059704468
131982,20161018,7,PM2.5,81.0
131988,20161018,8,PCA,7.483159813813244
131988,20161018,8,PM2.5,78.0
131994,20161018,9,PCA,9.326140581410165
131994,20161018,9,PM2.5,80.0
132000,20161018,10,PCA,16.600486031745017
132000,20161018,10,PM2.5,87.0
132006,20161018,11,PCA,28.62015227067799
132006,20161018,11,PM2.5,99.0
132012,20161018,12,PCA,44.63859959382953
132012,20161018,12,PM2.5,116.0
132018,20161018,13,PCA,64.75792108957155
132018,20161018,13,PM2.5,140.0
132024,20161018,14,PCA,71.25309775963403
132024,20161018,14,PM2.5,147.0
132030,20161018,15,PCA,83.59564314530267
132030,20161018,15,PM2.5,154.0
132036,20161018,16,PCA,88.48039478893591
132036,20161018,16,PM2.5,159.0
132042,20161018,17,PCA,99.70934890066636
132042,20161018,17,PM2.5,167.0
132048,20161018,18,PCA,116.89443136153118
132048,20161018,18,PM2.5,181.0
132054,20161018,19,PCA,123.1454179293464
132054,20161018,19,PM2.5,182.0
132060,20161018,20,PCA,138.08946678444005
132060,20161018,20,PM2.5,193.0
132066,20161018,21,PCA,147.941286974904
132066,20161018,21,PM2.5,200.0
132072,20161018,22,PCA,159.83262894079272
132072,20161018,22,PM2.5,214.0
132078,20161018,23,PCA,169.69653750530966
132078,20161018,23,PM2.5,225.0
132084,20161019,0,PCA,184.03515369027977
132084,20161019,0,PM2.5,234.0
132090,20161019,1,PCA,185.08154815417348
132090,20161019,1,PM2.5,231.0
132096,20161019,2,PCA,184.96898832412774
132096,20161019,2,PM2.5,227.0
132102,20161019,3,PCA,198.1933188480008
132102,20161019,3,PM2.5,241.0
132108,20161019,4,PCA,198.29316984538607
132108,20161019,4,PM2.5,238.0
132114,20161019,5,PCA,196.5507627420837
132114,20161019,5,PM2.5,231.0
132120,20161019,6,PCA,185.59572517812921
132120,20161019,6,PM2.5,210.0
132126,20161019,7,PCA,186.2341922410317
132126,20161019,7,PM2.5,205.0
132132,20161019,8,PCA,197.56972662970264
132132,20161019,8,PM2.5,214.0
132138,20161019,9,PCA,208.05748454888646
132138,20161019,9,PM2.5,223.0
132144,20161019,10,PCA,205.68526863000537
132144,20161019,10,PM2.5,213.0
132150,20161019,11,PCA,222.01692511538678
132150,20161019,11,PM2.5,232.0
132156,20161019,12,PCA,228.48816407030273
132156,20161019,12,PM2.5,237.0
132162,20161019,13,PCA,261.1351749660518
132162,20161019,13,PM2.5,276.0
132168,20161019,14,PCA,283.2806351095928
132168,20161019,14,PM2.5,302.0
132174,20161019,15,PCA,290.72422330661
132174,20161019,15,PM2.5,312.0
132180,20161019,16,PCA,286.2111691889069
132180,20161019,16,PM2.5,304.0
132186,20161019,17,PCA,284.3036890564515
132186,20161019,17,PM2.5,295.0
132192,20161019,18,PCA,292.84487500799196
132192,20161019,18,PM2.5,290.0
132198,20161019,19,PCA,280.0682819812952
132198,20161019,19,PM2.5,267.0
132204,20161019,20,PCA,269.79784297766196
132204,20161019,20,PM2.5,250.0
132210,20161019,21,PCA,264.5823518766558
132210,20161019,21,PM2.5,241.0
132216,20161019,22,PCA,266.5715710959069
132216,20161019,22,PM2.5,246.0
132222,20161019,23,PCA,260.0832259137016
132222,20161019,23,PM2.5,238.0
132228,20161020,0,PCA,249.38698663144692
132228,20161020,0,PM2.5,224.0
132234,20161020,1,PCA,236.0003514455629
132234,20161020,1,PM2.5,207.0
132240,20161020,2,PCA,239.53935186219326
132240,20161020,2,PM2.5,210.0
132246,20161020,3,PCA,252.87375808557056
132246,20161020,3,PM2.5,228.0
132252,20161020,4,PCA,271.7392294088254
132252,20161020,4,PM2.5,253.0
132258,20161020,5,PCA,243.90808475308202
132258,20161020,5,PM2.5,227.0
132264,20161020,6,PCA,145.87032727660005
132264,20161020,6,PM2.5,99.0
132270,20161020,7,PCA,107.73653164183649
132270,20161020,7,PM2.5,50.0
132276,20161020,8,PCA,90.34848066094676
132276,20161020,8,PM2.5,33.0
132282,20161020,9,PCA,84.15513052207977
132282,20161020,9,PM2.5,31.0
132288,20161020,10,PCA,80.17959894074689
132288,20161020,10,PM2.5,28.0
132294,20161020,11,PCA,79.73099749022552
132294,20161020,11,PM2.5,34.0
132300,20161020,12,PCA,78.1719972007616
132300,20161020,12,PM2.5,39.0
132306,20161020,13,PCA,69.3248092533584
132306,20161020,13,PM2.5,32.0
132312,20161020,14,PCA,69.28161606116191
132312,20161020,14,PM2.5,39.0
132318,20161020,15,PCA,63.79751813229764
132318,20161020,15,PM2.5,42.0
132324,20161020,16,PCA,59.8213280736371
132324,20161020,16,PM2.5,46.0
132330,20161020,17,PCA,44.25158055439772
132330,20161020,17,PM2.5,40.0
132336,20161020,18,PCA,39.06439644512396
132336,20161020,18,PM2.5,45.0
132342,20161020,19,PCA,28.787348062702335
132342,20161020,19,PM2.5,44.0
132348,20161020,20,PCA,21.037668254989804
132348,20161020,20,PM2.5,45.0
132354,20161020,21,PCA,16.761177821585495
132354,20161020,21,PM2.5,50.0
132360,20161020,22,PCA,3.0104106203975878
132360,20161020,22,PM2.5,44.0
132366,20161020,23,PCA,-2.5732756166273933
132366,20161020,23,PM2.5,46.0
132372,20161021,0,PCA,-14.541572222913226
132372,20161021,0,PM2.5,42.0
132378,20161021,1,PCA,-26.632636275765773
132378,20161021,1,PM2.5,36.0
132384,20161021,2,PCA,-32.21513313582228
132384,20161021,2,PM2.5,37.0
132390,20161021,3,PCA,-35.02200080309976
132390,20161021,3,PM2.5,41.0
132396,20161021,4,PCA,-36.68126852772173
132396,20161021,4,PM2.5,51.0
132402,20161021,5,PCA,-46.53427809515412
132402,20161021,5,PM2.5,45.0
132408,20161021,6,PCA,-51.7972292949332
132408,20161021,6,PM2.5,44.0
132414,20161021,7,PCA,-46.67294364107433
132414,20161021,7,PM2.5,45.0
132420,20161021,8,PCA,-31.53515042504537
132420,20161021,8,PM2.5,60.0
132426,20161021,9,PCA,-32.9036700824196
132426,20161021,9,PM2.5,57.0
132432,20161021,10,PCA,-33.773805276879685
132432,20161021,10,PM2.5,55.0
132438,20161021,11,PCA,-34.79290464793037
132438,20161021,11,PM2.5,53.0
132444,20161021,12,PCA,-28.353567268325953
132444,20161021,12,PM2.5,60.0
132450,20161021,13,PCA,-25.751264035137638
132450,20161021,13,PM2.5,62.0
132456,20161021,14,PCA,-27.69393085741902
132456,20161021,14,PM2.5,58.0
132462,20161021,15,PCA,-26.83502771374766
132462,20161021,15,PM2.5,58.0
132468,20161021,16,PCA,-25.25218518506468
132468,20161021,16,PM2.5,59.0
132474,20161021,17,PCA,-29.149006837266324
132474,20161021,17,PM2.5,52.0
132480,20161021,18,PCA,-36.46963436526555
132480,20161021,18,PM2.5,41.0
132486,20161021,19,PCA,-46.48350326089029
132486,20161021,19,PM2.5,28.0
132492,20161021,20,PCA,-47.805379507145496
132492,20161021,20,PM2.5,28.0
132498,20161021,21,PCA,-48.22962907534374
132498,20161021,21,PM2.5,29.0
132504,20161021,22,PCA,-48.180968243742434
132504,20161021,22,PM2.5,31.0
132510,20161021,23,PCA,-47.284530942653944
132510,20161021,23,PM2.5,33.0
132516,20161022,0,PCA,-45.4419115085117
132516,20161022,0,PM2.5,36.0
132522,20161022,1,PCA,-50.87255352434031
132522,20161022,1,PM2.5,29.0
132528,20161022,2,PCA,-55.40593019556665
132528,20161022,2,PM2.5,24.0
132534,20161022,3,PCA,-58.35765371507849
132534,20161022,3,PM2.5,21.0
132540,20161022,4,PCA,-58.0970487661054
132540,20161022,4,PM2.5,23.0
132546,20161022,5,PCA,-65.5339548353014
132546,20161022,5,PM2.5,16.0
132552,20161022,6,PCA,-69.40792277272045
132552,20161022,6,PM2.5,14.0
132558,20161022,7,PCA,-68.96013946503594
132558,20161022,7,PM2.5,14.0
132564,20161022,8,PCA,-75.19701767688026
132564,20161022,8,PM2.5,7.0
132570,20161022,9,PCA,-81.43779662817445
132570,20161022,9,PM2.5,4.0
132576,20161022,10,PCA,-85.7832465554651
132576,20161022,10,PM2.5,6.0
132582,20161022,11,PCA,-84.3495958804724
132582,20161022,11,PM2.5,12.0
132588,20161022,12,PCA,-86.20442598916284
132588,20161022,12,PM2.5,12.0
132594,20161022,13,PCA,-91.55799663213008
132594,20161022,13,PM2.5,8.0
132600,20161022,14,PCA,-93.47749104837983
132600,20161022,14,PM2.5,6.0
132606,20161022,15,PCA,-91.75861768456375
132606,20161022,15,PM2.5,12.0
132612,20161022,16,PCA,-93.71385651484799
132612,20161022,16,PM2.5,12.0
132618,20161022,17,PCA,-93.46689065035105
132618,20161022,17,PM2.5,12.0
132624,20161022,18,PCA,-95.05141754581213
132624,20161022,18,PM2.5,9.0
132630,20161022,19,PCA,-90.88146157884016
132630,20161022,19,PM2.5,12.0
132636,20161022,20,PCA,-90.084109966022
132636,20161022,20,PM2.5,17.0
132642,20161022,21,PCA,-88.97669024743054
132642,20161022,21,PM2.5,15.0
132648,20161022,22,PCA,-93.39853152287888
132648,20161022,22,PM2.5,10.0
132654,20161022,23,PCA,-78.8531810760149
132654,20161022,23,PM2.5,22.0
132660,20161023,0,PCA,-80.47130130867319
132660,20161023,0,PM2.5,24.0
132666,20161023,1,PCA,-85.39258276764913
132666,20161023,1,PM2.5,23.0
132672,20161023,2,PCA,-80.49807012536074
132672,20161023,2,PM2.5,23.0
132678,20161023,3,PCA,-72.95009537044588
132678,20161023,3,PM2.5,29.0
132684,20161023,4,PCA,-55.97460282698724
132684,20161023,4,PM2.5,49.0
132690,20161023,5,PCA,-65.5280661346383
132690,20161023,5,PM2.5,35.0
132696,20161023,6,PCA,-65.0388268352573
132696,20161023,6,PM2.5,32.0
132702,20161023,7,PCA,-62.982351239865466
132702,20161023,7,PM2.5,32.0
132708,20161023,8,PCA,-56.132722067787995
132708,20161023,8,PM2.5,39.0
132714,20161023,9,PCA,-66.16678424909328
132714,20161023,9,PM2.5,27.0
132720,20161023,10,PCA,-73.05057884503158
132720,20161023,10,PM2.5,22.0
132726,20161023,11,PCA,-75.4417942841124
132726,20161023,11,PM2.5,18.0
132732,20161023,12,PCA,-74.06747203492684
132732,20161023,12,PM2.5,22.0
132738,20161023,13,PCA,-69.66731965126398
132738,20161023,13,PM2.5,29.0
132744,20161023,14,PCA,-67.6964386784764
132744,20161023,14,PM2.5,30.0
132750,20161023,15,PCA,-73.25066855430484
132750,20161023,15,PM2.5,22.0
132756,20161023,16,PCA,-76.77448590841033
132756,20161023,16,PM2.5,20.0
132762,20161023,17,PCA,-73.79764202915784
132762,20161023,17,PM2.5,25.0
132768,20161023,18,PCA,-61.6220817165201
132768,20161023,18,PM2.5,33.0
132774,20161023,19,PCA,-41.15846273653539
132774,20161023,19,PM2.5,47.0
132780,20161023,20,PCA,-29.971320437791395
132780,20161023,20,PM2.5,59.0
132786,20161023,21,PCA,-6.14883343304241
132786,20161023,21,PM2.5,91.0
132792,20161023,22,PCA,-18.214525792789598
132792,20161023,22,PM2.5,72.0
132798,20161023,23,PCA,-22.38673058312264
132798,20161023,23,PM2.5,65.0
132804,20161024,0,PCA,-19.81070117681222
132804,20161024,0,PM2.5,69.0
132810,20161024,1,PCA,-21.603575778989164
132810,20161024,1,PM2.5,65.0
132816,20161024,2,PCA,-19.386806209694253
132816,20161024,2,PM2.5,68.0
132822,20161024,3,PCA,-18.22785191575487
132822,20161024,3,PM2.5,69.0
132828,20161024,4,PCA,-15.064184278871242
132828,20161024,4,PM2.5,72.0
132834,20161024,5,PCA,-27.24532713630141
132834,20161024,5,PM2.5,57.0
132840,20161024,6,PCA,-34.20658271830625
132840,20161024,6,PM2.5,48.0
132846,20161024,7,PCA,-33.308956040249285
132846,20161024,7,PM2.5,49.0
132852,20161024,8,PCA,-41.31728354941596
132852,20161024,8,PM2.5,38.0
132858,20161024,9,PCA,-43.63198533984398
132858,20161024,9,PM2.5,34.0
132864,20161024,10,PCA,-39.09850329201314
132864,20161024,10,PM2.5,41.0
132870,20161024,11,PCA,-27.552470119789028
132870,20161024,11,PM2.5,54.0
132876,20161024,12,PCA,-23.018732115108058
132876,20161024,12,PM2.5,58.0
132882,20161024,13,PCA,-11.898243264655152
132882,20161024,13,PM2.5,71.0
132888,20161024,14,PCA,-10.64217806072214
132888,20161024,14,PM2.5,72.0
132894,20161024,15,PCA,-11.153400389166286
132894,20161024,15,PM2.5,72.0
132900,20161024,16,PCA,-6.881803681426423
132900,20161024,16,PM2.5,76.0
132906,20161024,17,PCA,-2.1728276732769327
132906,20161024,17,PM2.5,78.0
132912,20161024,18,PCA,5.151367985627712
132912,20161024,18,PM2.5,86.0
132918,20161024,19,PCA,9.53660089369652
132918,20161024,19,PM2.5,90.0
132924,20161024,20,PCA,20.80642288427541
132924,20161024,20,PM2.5,103.0
132930,20161024,21,PCA,27.082936058087796
132930,20161024,21,PM2.5,112.0
132936,20161024,22,PCA,26.187688133967782
132936,20161024,22,PM2.5,109.0
132942,20161024,23,PCA,42.11859288080605
132942,20161024,23,PM2.5,127.0
132948,20161025,0,PCA,58.99567976069809
132948,20161025,0,PM2.5,146.0
132954,20161025,1,PCA,50.861670319355035
132954,20161025,1,PM2.5,133.0
132960,20161025,2,PCA,41.484107218279185
132960,20161025,2,PM2.5,120.0
132966,20161025,3,PCA,22.292002418145664
132966,20161025,3,PM2.5,91.0
132972,20161025,4,PCA,11.022903094476106
132972,20161025,4,PM2.5,76.0
132978,20161025,5,PCA,2.3815886971901596
132978,20161025,5,PM2.5,64.0
132984,20161025,6,PCA,8.285502446272995
132984,20161025,6,PM2.5,71.0
132990,20161025,7,PCA,8.302764765972743
132990,20161025,7,PM2.5,69.0
132996,20161025,8,PCA,18.155872977635237
132996,20161025,8,PM2.5,78.0
133002,20161025,9,PCA,31.08808119928039
133002,20161025,9,PM2.5,86.0
133008,20161025,10,PCA,36.14223952966056
133008,20161025,10,PM2.5,88.0
133014,20161025,11,PCA,44.89839386669904
133014,20161025,11,PM2.5,99.0
133020,20161025,12,PCA,52.709337962068815
133020,20161025,12,PM2.5,105.0
133026,20161025,13,PCA,66.39792197964361
133026,20161025,13,PM2.5,120.0
133032,20161025,14,PCA,87.57443728949752
133032,20161025,14,PM2.5,142.0
133038,20161025,15,PCA,78.23101278771486
133038,20161025,15,PM2.5,130.0
133044,20161025,16,PCA,50.01978848102675
133044,20161025,16,PM2.5,98.0
133050,20161025,17,PCA,63.538111606506284
133050,20161025,17,PM2.5,115.0
133056,20161025,18,PCA,63.102963041223525
133056,20161025,18,PM2.5,111.0
133062,20161025,19,PCA,71.79650640101617
133062,20161025,19,PM2.5,122.0
133068,20161025,20,PCA,76.90083780215403
133068,20161025,20,PM2.5,130.0
133074,20161025,21,PCA,88.12102706974649
133074,20161025,21,PM2.5,145.0
133080,20161025,22,PCA,95.19748392495853
133080,20161025,22,PM2.5,152.0
133086,20161025,23,PCA,92.39437761103777
133086,20161025,23,PM2.5,150.0
133092,20161026,0,PCA,83.33000302252204
133092,20161026,0,PM2.5,138.0
133098,20161026,1,PCA,79.33394766323995
133098,20161026,1,PM2.5,130.0
133104,20161026,2,PCA,81.66533295432968
133104,20161026,2,PM2.5,130.0
133110,20161026,3,PCA,102.73434636814429
133110,20161026,3,PM2.5,158.0
133146,20161026,9,PCA,-16.582188062726562
133146,20161026,9,PM2.5,6.0
133152,20161026,10,PCA,-14.578092010087127
133152,20161026,10,PM2.5,12.0
133158,20161026,11,PCA,-26.76682469714185
133158,20161026,11,PM2.5,3.0
133164,20161026,12,PCA,-30.614641108178187
133164,20161026,12,PM2.5,6.0
133170,20161026,13,PCA,-33.71216092325637
133170,20161026,13,PM2.5,9.0
133176,20161026,14,PCA,-22.836512869617383
133176,20161026,14,PM2.5,28.0
133182,20161026,15,PCA,-10.873520697030646
133182,20161026,15,PM2.5,41.0
133188,20161026,16,PCA,-20.105330588265286
133188,20161026,16,PM2.5,30.0
133194,20161026,17,PCA,-24.320429971739042
133194,20161026,17,PM2.5,29.0
133200,20161026,18,PCA,-22.19963894012999
133200,20161026,18,PM2.5,29.0
133206,20161026,19,PCA,-22.540567263056435
133206,20161026,19,PM2.5,33.0
133212,20161026,20,PCA,-28.08464908846013
133212,20161026,20,PM2.5,30.0
133218,20161026,21,PCA,-29.83139219321838
133218,20161026,21,PM2.5,35.0
133224,20161026,22,PCA,-32.8347725885733
133224,20161026,22,PM2.5,36.0
133230,20161026,23,PCA,-43.857126094764865
133230,20161026,23,PM2.5,27.0
133236,20161027,0,PCA,-47.6441136418573
133236,20161027,0,PM2.5,27.0
133242,20161027,1,PCA,-37.50456281405617
133242,20161027,1,PM2.5,42.0
133248,20161027,2,PCA,-56.28878541683968
133248,20161027,2,PM2.5,22.0
133254,20161027,3,PCA,-60.92279848675946
133254,20161027,3,PM2.5,22.0
133260,20161027,4,PCA,-63.40316231689487
133260,20161027,4,PM2.5,22.0
133266,20161027,5,PCA,-63.4912693497911
133266,20161027,5,PM2.5,21.0
133272,20161027,6,PCA,-66.30468865683736
133272,20161027,6,PM2.5,19.0
133278,20161027,7,PCA,-62.41995537868876
133278,20161027,7,PM2.5,22.0
133284,20161027,8,PCA,-59.97810432972993
133284,20161027,8,PM2.5,25.0
133290,20161027,9,PCA,-56.551814323390914
133290,20161027,9,PM2.5,29.0
133296,20161027,10,PCA,-51.331099004451794
133296,20161027,10,PM2.5,35.0
133302,20161027,11,PCA,-44.26859229488421
133302,20161027,11,PM2.5,44.0
133308,20161027,12,PCA,-42.898160593632205
133308,20161027,12,PM2.5,44.0
133314,20161027,13,PCA,-39.94560903060655
133314,20161027,13,PM2.5,47.0
133320,20161027,14,PCA,-37.15716879686518
133320,20161027,14,PM2.5,52.0
133326,20161027,15,PCA,-40.79421354360754
133326,20161027,15,PM2.5,47.0
133332,20161027,16,PCA,-43.53399294574757
133332,20161027,16,PM2.5,44.0
133338,20161027,17,PCA,-43.10927666749017
133338,20161027,17,PM2.5,44.0
133344,20161027,18,PCA,-45.424806501431995
133344,20161027,18,PM2.5,40.0
133350,20161027,19,PCA,-54.02113357462654
133350,20161027,19,PM2.5,31.0
133356,20161027,20,PCA,-56.92430163914157
133356,20161027,20,PM2.5,28.0
133362,20161027,21,PCA,-60.77365183671037
133362,20161027,21,PM2.5,24.0
133368,20161027,22,PCA,-63.7253753562222
133368,20161027,22,PM2.5,21.0
133374,20161027,23,PCA,-64.62253532422001
133374,20161027,23,PM2.5,21.0
133380,20161028,0,PCA,-63.25282628987731
133380,20161028,0,PM2.5,23.0
133386,20161028,1,PCA,-66.89106041358812
133386,20161028,1,PM2.5,19.0
133392,20161028,2,PCA,-67.52653143224885
133392,20161028,2,PM2.5,18.0
133398,20161028,3,PCA,-69.7065881552661
133398,20161028,3,PM2.5,16.0
133404,20161028,4,PCA,-64.68881307660133
133404,20161028,4,PM2.5,21.0
133410,20161028,5,PCA,-68.63548493737277
133410,20161028,5,PM2.5,13.0
133416,20161028,6,PCA,-64.3125016730951
133416,20161028,6,PM2.5,16.0
133422,20161028,7,PCA,-58.33993141769398
133422,20161028,7,PM2.5,21.0
133428,20161028,8,PCA,-54.06645139098656
133428,20161028,8,PM2.5,22.0
133434,20161028,9,PCA,-78.32426827013326
133434,20161028,9,PM2.5,3.0
133920,20161031,18,PCA,-90.07723010622102
133920,20161031,18,PM2.5,16.0
133926,20161031,19,PCA,-82.40683231430343
133926,20161031,19,PM2.5,16.0
133932,20161031,20,PCA,-79.59448008373047
133932,20161031,20,PM2.5,12.0
133938,20161031,21,PCA,-73.82969859062699
133938,20161031,21,PM2.5,18.0
133944,20161031,22,PCA,-70.19265384388464
133944,20161031,22,PM2.5,23.0
133950,20161031,23,PCA,-63.39075208329018
133950,20161031,23,PM2.5,30.0
133956,20161101,0,PCA,-75.67066193774161
133956,20161101,0,PM2.5,15.0
133962,20161101,1,PCA,-68.82211676602813
133962,20161101,1,PM2.5,25.0
133968,20161101,2,PCA,-64.45202338057229
133968,20161101,2,PM2.5,32.0
133974,20161101,3,PCA,-47.89804705029466
133974,20161101,3,PM2.5,51.0
133980,20161101,4,PCA,-39.599919547292934
133980,20161101,4,PM2.5,61.0
133986,20161101,5,PCA,-46.349336388530496
133986,20161101,5,PM2.5,50.0
133992,20161101,6,PCA,-51.98799305737083
133992,20161101,6,PM2.5,39.0
133998,20161101,7,PCA,-43.96463140219568
133998,20161101,7,PM2.5,45.0
134004,20161101,8,PCA,-41.971128117504314
134004,20161101,8,PM2.5,46.0
134010,20161101,9,PCA,-49.14444755594058
134010,20161101,9,PM2.5,35.0
134016,20161101,10,PCA,-40.99535369630271
134016,20161101,10,PM2.5,46.0
134022,20161101,11,PCA,-28.357714065589157
134022,20161101,11,PM2.5,65.0
134028,20161101,12,PCA,-38.56773691727224
134028,20161101,12,PM2.5,57.0
134034,20161101,13,PCA,-32.938809063034924
134034,20161101,13,PM2.5,66.0
134040,20161101,14,PCA,-33.017084920345994
134040,20161101,14,PM2.5,66.0
134046,20161101,15,PCA,-32.60171320297089
134046,20161101,15,PM2.5,69.0
134052,20161101,16,PCA,-40.608587748238214
134052,20161101,16,PM2.5,55.0
134058,20161101,17,PCA,-29.845271102519167
134058,20161101,17,PM2.5,63.0
134064,20161101,18,PCA,-15.953191626030922
134064,20161101,18,PM2.5,71.0
134070,20161101,19,PCA,-5.034474288553703
134070,20161101,19,PM2.5,81.0
134076,20161101,20,PCA,-10.78787315062281
134076,20161101,20,PM2.5,72.0
134082,20161101,21,PCA,1.5038860449221483
134082,20161101,21,PM2.5,85.0
134088,20161101,22,PCA,18.092926764530535
134088,20161101,22,PM2.5,106.0
134094,20161101,23,PCA,26.821331390525724
134094,20161101,23,PM2.5,116.0
134100,20161102,0,PCA,32.93863459079899
134100,20161102,0,PM2.5,119.0
134106,20161102,1,PCA,32.84095832651608
134106,20161102,1,PM2.5,115.0
134112,20161102,2,PCA,33.688643781853855
134112,20161102,2,PM2.5,113.0
134118,20161102,3,PCA,23.67729748803734
134118,20161102,3,PM2.5,94.0
134124,20161102,4,PCA,26.55739852312524
134124,20161102,4,PM2.5,97.0
134130,20161102,5,PCA,29.769982948460353
134130,20161102,5,PM2.5,99.0
134136,20161102,6,PCA,21.712180926633653
134136,20161102,6,PM2.5,86.0
134142,20161102,7,PCA,27.46914028952744
134142,20161102,7,PM2.5,91.0
134148,20161102,8,PCA,44.08903977110612
134148,20161102,8,PM2.5,110.0
134154,20161102,9,PCA,38.87130613395367
134154,20161102,9,PM2.5,98.0
134160,20161102,10,PCA,39.33251777290535
134160,20161102,10,PM2.5,96.0
134166,20161102,11,PCA,44.60773635941388
134166,20161102,11,PM2.5,102.0
134172,20161102,12,PCA,50.113629637078624
134172,20161102,12,PM2.5,108.0
134178,20161102,13,PCA,54.06306986499214
134178,20161102,13,PM2.5,115.0
134184,20161102,14,PCA,60.11867351560211
134184,20161102,14,PM2.5,119.0
134190,20161102,15,PCA,52.490846558571185
134190,20161102,15,PM2.5,114.0
134196,20161102,16,PCA,61.24220473212469
134196,20161102,16,PM2.5,120.0
134202,20161102,17,PCA,81.79498881850827
134202,20161102,17,PM2.5,137.0
134208,20161102,18,PCA,89.89751621120087
134208,20161102,18,PM2.5,141.0
134214,20161102,19,PCA,98.21726313921478
134214,20161102,19,PM2.5,150.0
134220,20161102,20,PCA,121.77029952821962
134220,20161102,20,PM2.5,177.0
134226,20161102,21,PCA,129.67883560609735
134226,20161102,21,PM2.5,184.0
134232,20161102,22,PCA,136.09263618818832
134232,20161102,22,PM2.5,191.0
134238,20161102,23,PCA,145.41907542195088
134238,20161102,23,PM2.5,201.0
134244,20161103,0,PCA,129.3920451212528
134244,20161103,0,PM2.5,177.0
134250,20161103,1,PCA,123.12820170196704
134250,20161103,1,PM2.5,165.0
134256,20161103,2,PCA,126.718234074055
134256,20161103,2,PM2.5,167.0
134262,20161103,3,PCA,130.30662472157044
134262,20161103,3,PM2.5,169.0
134268,20161103,4,PCA,132.9521454100873
134268,20161103,4,PM2.5,170.0
134274,20161103,5,PCA,126.9027302387148
134274,20161103,5,PM2.5,158.0
134280,20161103,6,PCA,122.3735246262436
134280,20161103,6,PM2.5,146.0
134286,20161103,7,PCA,132.6990765276465
134286,20161103,7,PM2.5,155.0
134292,20161103,8,PCA,135.97783332875844
134292,20161103,8,PM2.5,155.0
134298,20161103,9,PCA,125.90009717358171
134298,20161103,9,PM2.5,135.0
134304,20161103,10,PCA,119.50719245188733
134304,20161103,10,PM2.5,127.0
134310,20161103,11,PCA,135.05493555639472
134310,20161103,11,PM2.5,145.0
134316,20161103,12,PCA,156.45518386091138
134316,20161103,12,PM2.5,170.0
134322,20161103,13,PCA,216.6680802142455
134322,20161103,13,PM2.5,238.0
134328,20161103,14,PCA,277.7060859279581
134328,20161103,14,PM2.5,320.0
134334,20161103,15,PCA,221.00529841988487
134334,20161103,15,PM2.5,249.0
134340,20161103,16,PCA,216.62052995127905
134340,20161103,16,PM2.5,241.0
134346,20161103,17,PCA,235.12311447651575
134346,20161103,17,PM2.5,259.0
134352,20161103,18,PCA,255.5152397963996
134352,20161103,18,PM2.5,281.0
134358,20161103,19,PCA,251.61925292008613
134358,20161103,19,PM2.5,273.0
134364,20161103,20,PCA,239.6037721023634
134364,20161103,20,PM2.5,254.0
134370,20161103,21,PCA,245.46398565084718
134370,20161103,21,PM2.5,258.0
134376,20161103,22,PCA,258.0593112938436
134376,20161103,22,PM2.5,275.0
134382,20161103,23,PCA,259.9488444584101
134382,20161103,23,PM2.5,278.0
134388,20161104,0,PCA,241.55524473823206
134388,20161104,0,PM2.5,250.0
134394,20161104,1,PCA,238.23377399036121
134394,20161104,1,PM2.5,243.0
134400,20161104,2,PCA,245.10454211277656
134400,20161104,2,PM2.5,250.0
134406,20161104,3,PCA,248.00372817004884
134406,20161104,3,PM2.5,249.0
134412,20161104,4,PCA,245.57445675917361
134412,20161104,4,PM2.5,243.0
134418,20161104,5,PCA,245.15201385824867
134418,20161104,5,PM2.5,239.0
134424,20161104,6,PCA,244.26813420270796
134424,20161104,6,PM2.5,233.0
134430,20161104,7,PCA,246.64833090564468
134430,20161104,7,PM2.5,230.0
134436,20161104,8,PCA,249.35836788291073
134436,20161104,8,PM2.5,229.0
134442,20161104,9,PCA,261.0154938496654
134442,20161104,9,PM2.5,235.0
134448,20161104,10,PCA,314.72658781029634
134448,20161104,10,PM2.5,285.0
134454,20161104,11,PCA,344.3995438452451
134454,20161104,11,PM2.5,327.0
134460,20161104,12,PCA,332.7372222311471
134460,20161104,12,PM2.5,312.0
134466,20161104,13,PCA,339.1719079230017
134466,20161104,13,PM2.5,315.0
134472,20161104,14,PCA,376.85117348751805
134472,20161104,14,PM2.5,358.0
134478,20161104,15,PCA,390.4478101965494
134478,20161104,15,PM2.5,371.0
134484,20161104,16,PCA,353.3010461468642
134484,20161104,16,PM2.5,327.0
134490,20161104,17,PCA,321.538238059683
