,date,hour,type,丰台花园
894,20140409,21,PCA,65.70293965880802
894,20140409,21,PM2.5,114.0
900,20140409,22,PCA,57.788891875801056
900,20140409,22,PM2.5,102.0
906,20140409,23,PCA,66.18013800774455
906,20140409,23,PM2.5,114.0
912,20140410,0,PCA,75.34917576231798
912,20140410,0,PM2.5,128.0
918,20140410,1,PCA,70.1125317936786
918,20140410,1,PM2.5,117.0
924,20140410,2,PCA,60.0427030230989
924,20140410,2,PM2.5,99.0
930,20140410,3,PCA,64.00420590675053
930,20140410,3,PM2.5,99.0
936,20140410,4,PCA,77.23935203042609
936,20140410,4,PM2.5,106.0
942,20140410,5,PCA,84.43723826047972
942,20140410,5,PM2.5,105.0
948,20140410,6,PCA,95.72645677957108
948,20140410,6,PM2.5,108.0
954,20140410,7,PCA,93.21653158476683
954,20140410,7,PM2.5,104.0
960,20140410,8,PCA,95.91003820305245
960,20140410,8,PM2.5,93.0
966,20140410,9,PCA,107.66974421763034
966,20140410,9,PM2.5,98.0
972,20140410,10,PCA,129.8284021782389
972,20140410,10,PM2.5,105.0
978,20140410,11,PCA,148.4621720948063
978,20140410,11,PM2.5,99.0
984,20140410,12,PCA,152.80621523281093
984,20140410,12,PM2.5,83.0
990,20140410,13,PCA,172.26475152083327
990,20140410,13,PM2.5,91.0
996,20140410,14,PCA,174.02297901976806
996,20140410,14,PM2.5,80.0
1002,20140410,15,PCA,168.92947115256615
1002,20140410,15,PM2.5,63.0
1008,20140410,16,PCA,164.66360294637894
1008,20140410,16,PM2.5,49.0
1014,20140410,17,PCA,167.87928343307584
1014,20140410,17,PM2.5,51.0
1020,20140410,18,PCA,163.939393839902
1020,20140410,18,PM2.5,53.0
1026,20140410,19,PCA,165.33944580499966
1026,20140410,19,PM2.5,57.0
1032,20140410,20,PCA,158.51690756258526
1032,20140410,20,PM2.5,61.0
1038,20140410,21,PCA,163.77754947520066
1038,20140410,21,PM2.5,63.0
1044,20140410,22,PCA,165.6926386317676
1044,20140410,22,PM2.5,62.0
1050,20140410,23,PCA,176.6515567606858
1050,20140410,23,PM2.5,79.0
1056,20140411,0,PCA,181.62591987261376
1056,20140411,0,PM2.5,95.0
1062,20140411,1,PCA,174.4131503689445
1062,20140411,1,PM2.5,93.0
1068,20140411,2,PCA,186.51452579024433
1068,20140411,2,PM2.5,127.0
1074,20140411,3,PCA,136.04578056578825
1074,20140411,3,PM2.5,77.0
1080,20140411,4,PCA,118.80472978159573
1080,20140411,4,PM2.5,71.0
1086,20140411,5,PCA,116.5200718925608
1086,20140411,5,PM2.5,91.0
1092,20140411,6,PCA,105.09245670069868
1092,20140411,6,PM2.5,94.0
1098,20140411,7,PCA,77.76966599816433
1098,20140411,7,PM2.5,77.0
1104,20140411,8,PCA,44.11478733339644
1104,20140411,8,PM2.5,59.0
1110,20140411,9,PCA,35.502563058554735
1110,20140411,9,PM2.5,54.0
1116,20140411,10,PCA,26.070373861961695
1116,20140411,10,PM2.5,48.0
1122,20140411,11,PCA,27.50846100971713
1122,20140411,11,PM2.5,60.0
1128,20140411,12,PCA,15.30802026800461
1128,20140411,12,PM2.5,58.0
1134,20140411,13,PCA,-10.565371351749981
1134,20140411,13,PM2.5,38.0
1140,20140411,14,PCA,-7.878227449212498
1140,20140411,14,PM2.5,50.0
1146,20140411,15,PCA,-25.846519818529014
1146,20140411,15,PM2.5,37.0
1152,20140411,16,PCA,-38.26981130477861
1152,20140411,16,PM2.5,29.0
1158,20140411,17,PCA,-26.697227989995955
1158,20140411,17,PM2.5,52.0
1164,20140411,18,PCA,-24.672306998916063
1164,20140411,18,PM2.5,53.0
1170,20140411,19,PCA,-7.88318610045769
1170,20140411,19,PM2.5,70.0
1176,20140411,20,PCA,-6.887830559369098
1176,20140411,20,PM2.5,63.0
1182,20140411,21,PCA,5.790012159223913
1182,20140411,21,PM2.5,71.0
1188,20140411,22,PCA,17.81628740381303
1188,20140411,22,PM2.5,79.0
1194,20140411,23,PCA,27.076964595061032
1194,20140411,23,PM2.5,95.0
