,date,hour,type,农展馆
726,20140408,17,PCA,128.50863864522822
726,20140408,17,PM2.5,156.0
744,20140408,20,PCA,135.61055431386148
744,20140408,20,PM2.5,147.0
750,20140408,21,PCA,138.00285502819682
750,20140408,21,PM2.5,146.0
756,20140408,22,PCA,126.25081486469331
756,20140408,22,PM2.5,132.0
762,20140408,23,PCA,129.94372706390217
762,20140408,23,PM2.5,133.0
768,20140409,0,PCA,137.55849137111366
768,20140409,0,PM2.5,138.0
774,20140409,1,PCA,137.41145455494657
774,20140409,1,PM2.5,138.0
780,20140409,2,PCA,124.57578631490496
780,20140409,2,PM2.5,130.0
786,20140409,3,PCA,124.4768169269706
786,20140409,3,PM2.5,133.0
792,20140409,4,PCA,124.37784753903624
792,20140409,4,PM2.5,136.0
798,20140409,5,PCA,128.19598098154017
798,20140409,5,PM2.5,140.0
804,20140409,6,PCA,128.84357547092768
804,20140409,6,PM2.5,140.0
810,20140409,7,PCA,151.80900913212292
810,20140409,7,PM2.5,154.0
816,20140409,8,PCA,180.0788399414665
816,20140409,8,PM2.5,179.0
822,20140409,9,PCA,163.6262982165153
822,20140409,9,PM2.5,168.0
852,20140409,14,PCA,35.19974340760295
852,20140409,14,PM2.5,51.0
858,20140409,15,PCA,23.456567384592955
858,20140409,15,PM2.5,42.0
864,20140409,16,PCA,22.415490998815113
864,20140409,16,PM2.5,47.0
870,20140409,17,PCA,20.91545167735999
870,20140409,17,PM2.5,48.0
876,20140409,18,PCA,22.429106234905902
876,20140409,18,PM2.5,55.0
882,20140409,19,PCA,31.484655873501325
882,20140409,19,PM2.5,65.0
888,20140409,20,PCA,59.36559526935179
888,20140409,20,PM2.5,109.0
894,20140409,21,PCA,46.88894041708247
894,20140409,21,PM2.5,95.0
900,20140409,22,PCA,53.96032269548422
900,20140409,22,PM2.5,93.0
906,20140409,23,PCA,72.61895190333897
906,20140409,23,PM2.5,114.0
912,20140410,0,PCA,91.27758111119375
912,20140410,0,PM2.5,135.0
918,20140410,1,PCA,82.0464847989338
918,20140410,1,PM2.5,120.0
924,20140410,2,PCA,74.1920405671076
924,20140410,2,PM2.5,105.0
930,20140410,3,PCA,72.40829008199212
930,20140410,3,PM2.5,100.0
936,20140410,4,PCA,73.28110141603402
936,20140410,4,PM2.5,93.0
942,20140410,5,PCA,72.87285197050151
942,20140410,5,PM2.5,89.0
948,20140410,6,PCA,76.20462024240044
948,20140410,6,PM2.5,87.0
954,20140410,7,PCA,87.68489559383181
954,20140410,7,PM2.5,92.0
960,20140410,8,PCA,86.3745748892365
960,20140410,8,PM2.5,86.0
966,20140410,9,PCA,86.52576945344615
966,20140410,9,PM2.5,83.0
972,20140410,10,PCA,91.30228787019033
972,20140410,10,PM2.5,76.0
978,20140410,11,PCA,105.6652143631043
978,20140410,11,PM2.5,80.5
984,20140410,12,PCA,120.02814085601817
984,20140410,12,PM2.5,85.0
1002,20140410,15,PCA,119.84095463539612
1002,20140410,15,PM2.5,51.0
1008,20140410,16,PCA,115.73798332670056
1008,20140410,16,PM2.5,47.0
1032,20140410,20,PCA,115.3661060062523
1032,20140410,20,PM2.5,57.0
1038,20140410,21,PCA,118.95167161733843
1038,20140410,21,PM2.5,60.0
1044,20140410,22,PCA,124.51465573766794
1044,20140410,22,PM2.5,67.0
1050,20140410,23,PCA,116.61097203363222
1050,20140410,23,PM2.5,67.0
1068,20140411,2,PCA,89.93116222632938
1068,20140411,2,PM2.5,60.0
1074,20140411,3,PCA,85.06529432803465
1074,20140411,3,PM2.5,62.0
1080,20140411,4,PCA,83.931896423242
