,date,hour,type,怀柔
1458,20140413,19,PCA,167.7017336618275
1458,20140413,19,PM2.5,183.0
1464,20140413,20,PCA,184.30579403078733
1464,20140413,20,PM2.5,202.0
1470,20140413,21,PCA,190.62739471046476
1470,20140413,21,PM2.5,207.0
1476,20140413,22,PCA,212.1780754817403
1476,20140413,22,PM2.5,229.0
1482,20140413,23,PCA,215.26775528681793
1482,20140413,23,PM2.5,233.0
1488,20140414,0,PCA,222.48684100850392
1488,20140414,0,PM2.5,239.0
1494,20140414,1,PCA,207.12451786126945
1494,20140414,1,PM2.5,212.0
1500,20140414,2,PCA,221.7589129138138
1500,20140414,2,PM2.5,231.0
1506,20140414,3,PCA,198.06097954107122
1506,20140414,3,PM2.5,192.0
1512,20140414,4,PCA,212.62763853353323
1512,20140414,4,PM2.5,210.0
1518,20140414,5,PCA,190.96157762513099
1518,20140414,5,PM2.5,173.0
1524,20140414,6,PCA,198.8929262611037
1524,20140414,6,PM2.5,181.0
1530,20140414,7,PCA,205.65651295387562
1530,20140414,7,PM2.5,185.0
1536,20140414,8,PCA,212.8966531808254
1536,20140414,8,PM2.5,190.0
1542,20140414,9,PCA,262.22680683525
1542,20140414,9,PM2.5,251.0
1548,20140414,10,PCA,265.49648554435225
1548,20140414,10,PM2.5,257.0
1554,20140414,11,PCA,274.67779473047034
1554,20140414,11,PM2.5,264.0
1560,20140414,12,PCA,289.57528708782837
1560,20140414,12,PM2.5,280.0
1566,20140414,13,PCA,296.9408209981089
1566,20140414,13,PM2.5,288.0
1572,20140414,14,PCA,272.76612922938926
1572,20140414,14,PM2.5,247.0
1578,20140414,15,PCA,268.10501857507313
1578,20140414,15,PM2.5,236.0
1584,20140414,16,PCA,257.91068730842846
1584,20140414,16,PM2.5,218.0
1590,20140414,17,PCA,291.35779903185767
1590,20140414,17,PM2.5,264.0
1596,20140414,18,PCA,258.6912359822783
1596,20140414,18,PM2.5,215.0
1602,20140414,19,PCA,248.43633094671162
1602,20140414,19,PM2.5,198.0
1608,20140414,20,PCA,272.8938715422465
1608,20140414,20,PM2.5,230.0
1614,20140414,21,PCA,289.0024725252286
1614,20140414,21,PM2.5,246.0
1620,20140414,22,PCA,258.38863601563986
1620,20140414,22,PM2.5,211.0
1626,20140414,23,PCA,260.9988148372384
1626,20140414,23,PM2.5,219.0
1632,20140415,0,PCA,269.0598247317018
1632,20140415,0,PM2.5,231.0
1638,20140415,1,PCA,267.6764484243973
1638,20140415,1,PM2.5,228.0
1644,20140415,2,PCA,259.54759008687773
1644,20140415,2,PM2.5,221.0
1650,20140415,3,PCA,283.01376022518934
1650,20140415,3,PM2.5,257.0
1656,20140415,4,PCA,272.8051375607227
1656,20140415,4,PM2.5,242.0
1662,20140415,5,PCA,241.22692143924826
1662,20140415,5,PM2.5,191.0
1818,20140416,7,PCA,-14.512143272246469
1818,20140416,7,PM2.5,47.0
1824,20140416,8,PCA,-10.011315249469899
1824,20140416,8,PM2.5,51.0
1830,20140416,9,PCA,9.434829936342677
1830,20140416,9,PM2.5,63.0
1836,20140416,10,PCA,27.521323736625625
1836,20140416,10,PM2.5,73.0
1842,20140416,11,PCA,25.470054887350322
1842,20140416,11,PM2.5,66.0
1848,20140416,12,PCA,-8.391232533362626
1848,20140416,12,PM2.5,30.0
1854,20140416,13,PCA,-32.891402046884195
1854,20140416,13,PM2.5,15.0
1860,20140416,14,PCA,-16.87206484963429
1860,20140416,14,PM2.5,51.0
1866,20140416,15,PCA,-21.58728901400327
1866,20140416,15,PM2.5,46.0
1872,20140416,16,PCA,-14.408762651734234
1872,20140416,16,PM2.5,49.0
1878,20140416,17,PCA,-17.963867397813075
1878,20140416,17,PM2.5,39.0
1884,20140416,18,PCA,-18.5119265400925
1884,20140416,18,PM2.5,41.0
1890,20140416,19,PCA,-8.72129535028736
1890,20140416,19,PM2.5,52.0
1896,20140416,20,PCA,-4.843143920101312
1896,20140416,20,PM2.5,53.0
1902,20140416,21,PCA,10.516511732546883
1902,20140416,21,PM2.5,69.0
1908,20140416,22,PCA,7.963903636942254
1908,20140416,22,PM2.5,62.0
1914,20140416,23,PCA,4.0285783348979916
1914,20140416,23,PM2.5,56.0
1920,20140417,0,PCA,-2.485873395250181
1920,20140417,0,PM2.5,49.0
1926,20140417,1,PCA,3.8048160652210083
1926,20140417,1,PM2.5,61.0
1932,20140417,2,PCA,-14.96442158945354
1932,20140417,2,PM2.5,40.0
1938,20140417,3,PCA,15.705961942185823
1938,20140417,3,PM2.5,71.0
1944,20140417,4,PCA,8.352577807379676
1944,20140417,4,PM2.5,60.0
1950,20140417,5,PCA,3.687656664520221
1950,20140417,5,PM2.5,58.0
1956,20140417,6,PCA,25.378739660057107
1956,20140417,6,PM2.5,72.0
1962,20140417,7,PCA,23.808720877096352
1962,20140417,7,PM2.5,71.0
1968,20140417,8,PCA,40.93502845475299
1968,20140417,8,PM2.5,88.0
1974,20140417,9,PCA,46.51698791189675
1974,20140417,9,PM2.5,88.0
1980,20140417,10,PCA,51.61785791234825
1980,20140417,10,PM2.5,93.0
1986,20140417,11,PCA,41.5740169835103
1986,20140417,11,PM2.5,75.0
1992,20140417,12,PCA,58.22106955265251
1992,20140417,12,PM2.5,98.0
1998,20140417,13,PCA,65.60929221272418
1998,20140417,13,PM2.5,102.0
2004,20140417,14,PCA,54.76055161735553
2004,20140417,14,PM2.5,90.0
2010,20140417,15,PCA,51.75611034734914
2010,20140417,15,PM2.5,83.0
2016,20140417,16,PCA,31.038326964088583
2016,20140417,16,PM2.5,64.0
2022,20140417,17,PCA,24.648568898676785
2022,20140417,17,PM2.5,66.0
2028,20140417,18,PCA,18.870303433344613
2028,20140417,18,PM2.5,66.0
2034,20140417,19,PCA,44.73380670447493
2034,20140417,19,PM2.5,98.0
2040,20140417,20,PCA,36.76806561955301
2040,20140417,20,PM2.5,81.0
2046,20140417,21,PCA,45.350999575770565
2046,20140417,21,PM2.5,87.0
2052,20140417,22,PCA,53.42055860658777
