,date,hour,type,亦庄
1140,20140411,14,PCA,-42.005231909647605
1140,20140411,14,PM2.5,29.0
1146,20140411,15,PCA,-44.69628843048918
1146,20140411,15,PM2.5,32.0
1152,20140411,16,PCA,-42.06539664213946
1152,20140411,16,PM2.5,38.0
1158,20140411,17,PCA,-29.191166603873366
1158,20140411,17,PM2.5,55.0
1164,20140411,18,PCA,-29.7535812377347
1164,20140411,18,PM2.5,50.0
1170,20140411,19,PCA,-30.022279479863837
1170,20140411,19,PM2.5,46.0
1176,20140411,20,PCA,-2.1249577253094913
1176,20140411,20,PM2.5,71.0
1182,20140411,21,PCA,23.476339640714077
1182,20140411,21,PM2.5,94.0
1188,20140411,22,PCA,18.590632372542814
1188,20140411,22,PM2.5,94.0
1194,20140411,23,PCA,7.6300018264746665
1194,20140411,23,PM2.5,83.0
1200,20140412,0,PCA,14.196843986517749
1200,20140412,0,PM2.5,85.0
1206,20140412,1,PCA,26.065845938002933
1206,20140412,1,PM2.5,99.0
1212,20140412,2,PCA,30.110425177485713
1212,20140412,2,PM2.5,105.0
1218,20140412,3,PCA,31.826956405648115
1218,20140412,3,PM2.5,106.0
1224,20140412,4,PCA,33.6563674385617
1224,20140412,4,PM2.5,109.0
1230,20140412,5,PCA,31.055020946974295
1230,20140412,5,PM2.5,108.0
1236,20140412,6,PCA,27.775452655617073
1236,20140412,6,PM2.5,104.0
1242,20140412,7,PCA,43.38025944425576
1242,20140412,7,PM2.5,120.0
1248,20140412,8,PCA,55.738374440138855
1248,20140412,8,PM2.5,129.0
1254,20140412,9,PCA,46.175459934500374
1254,20140412,9,PM2.5,113.5
1260,20140412,10,PCA,35.92616041264423
1260,20140412,10,PM2.5,98.0
1266,20140412,11,PCA,10.927962786301663
1266,20140412,11,PM2.5,77.0
1272,20140412,12,PCA,-5.997206160158972
1272,20140412,12,PM2.5,66.0
1278,20140412,13,PCA,-19.77052224312727
1278,20140412,13,PM2.5,51.0
1284,20140412,14,PCA,-0.9390808002740022
1284,20140412,14,PM2.5,75.0
1290,20140412,15,PCA,-14.0987099207492
1290,20140412,15,PM2.5,61.0
1296,20140412,16,PCA,-10.591089187024938
1296,20140412,16,PM2.5,65.0
1302,20140412,17,PCA,19.004029088343092
1302,20140412,17,PM2.5,105.0
1308,20140412,18,PCA,25.984183039935424
1308,20140412,18,PM2.5,110.0
1314,20140412,19,PCA,32.291027886750875
1314,20140412,19,PM2.5,109.0
1320,20140412,20,PCA,46.17813481862466
1320,20140412,20,PM2.5,117.0
1326,20140412,21,PCA,42.262645773546794
1326,20140412,21,PM2.5,93.0
1332,20140412,22,PCA,38.92333938647798
1332,20140412,22,PM2.5,84.0
1338,20140412,23,PCA,48.47692224266471
1338,20140412,23,PM2.5,97.0
1344,20140413,0,PCA,50.61935188868861
1344,20140413,0,PM2.5,108.0
1350,20140413,1,PCA,57.48555393047868
1350,20140413,1,PM2.5,122.0
1356,20140413,2,PCA,55.15016456679702
1356,20140413,2,PM2.5,112.0
1362,20140413,3,PCA,68.06385033271422
1362,20140413,3,PM2.5,125.0
1368,20140413,4,PCA,74.65678428437857
1368,20140413,4,PM2.5,128.0
1374,20140413,5,PCA,73.88559029989253
1374,20140413,5,PM2.5,131.0
1380,20140413,6,PCA,74.00247949624666
1380,20140413,6,PM2.5,124.0
1386,20140413,7,PCA,90.28442586292462
1386,20140413,7,PM2.5,146.0
1392,20140413,8,PCA,118.46237887039486
1392,20140413,8,PM2.5,179.0
1398,20140413,9,PCA,130.4376399526124
1398,20140413,9,PM2.5,196.0
1404,20140413,10,PCA,148.8767884176961
1404,20140413,10,PM2.5,216.0
1410,20140413,11,PCA,120.58059419191632
1410,20140413,11,PM2.5,176.0
1416,20140413,12,PCA,103.76507284767929
1416,20140413,12,PM2.5,163.0
1422,20140413,13,PCA,77.38942811210842
1422,20140413,13,PM2.5,141.0
1428,20140413,14,PCA,64.32439175819677
1428,20140413,14,PM2.5,128.0
1434,20140413,15,PCA,75.28929538275433
1434,20140413,15,PM2.5,139.0
1440,20140413,16,PCA,90.45299843513769
1440,20140413,16,PM2.5,161.0
1446,20140413,17,PCA,66.78988917630416
1446,20140413,17,PM2.5,126.0
1452,20140413,18,PCA,55.67000651933467
1452,20140413,18,PM2.5,108.0
1458,20140413,19,PCA,72.08878780259084
1458,20140413,19,PM2.5,125.0
1464,20140413,20,PCA,91.97137178879957
1464,20140413,20,PM2.5,139.0
1470,20140413,21,PCA,129.2879259820705
1470,20140413,21,PM2.5,174.0
1476,20140413,22,PCA,160.87568345452848
1476,20140413,22,PM2.5,200.0
1482,20140413,23,PCA,161.9872649663994
1482,20140413,23,PM2.5,191.0
1488,20140414,0,PCA,168.398379340562
1488,20140414,0,PM2.5,203.0
1494,20140414,1,PCA,195.26549755956967
1494,20140414,1,PM2.5,227.0
1500,20140414,2,PCA,183.09560280723034
1500,20140414,2,PM2.5,203.0
1506,20140414,3,PCA,190.5177730761994
1506,20140414,3,PM2.5,208.0
1512,20140414,4,PCA,198.3796134590636
1512,20140414,4,PM2.5,216.0
1518,20140414,5,PCA,198.19043325068293
1518,20140414,5,PM2.5,215.0
1524,20140414,6,PCA,185.20559934731406
1524,20140414,6,PM2.5,195.0
1530,20140414,7,PCA,180.09934109519256
1530,20140414,7,PM2.5,187.0
1536,20140414,8,PCA,199.68698928145872
1536,20140414,8,PM2.5,217.0
1542,20140414,9,PCA,218.24825854892418
1542,20140414,9,PM2.5,242.0
1548,20140414,10,PCA,240.9928444858355
1548,20140414,10,PM2.5,268.0
1554,20140414,11,PCA,248.16449942671738
1554,20140414,11,PM2.5,282.0
1560,20140414,12,PCA,221.35308539437565
1560,20140414,12,PM2.5,241.0
1566,20140414,13,PCA,209.67247200568042
1566,20140414,13,PM2.5,244.0
1572,20140414,14,PCA,201.91353768038041
1572,20140414,14,PM2.5,240.0
1578,20140414,15,PCA,179.51981695021095
1578,20140414,15,PM2.5,206.0
1584,20140414,16,PCA,180.0642549833152
1584,20140414,16,PM2.5,207.0
1590,20140414,17,PCA,160.9728904440523
1590,20140414,17,PM2.5,177.0
1596,20140414,18,PCA,197.03092486641512
1596,20140414,18,PM2.5,227.0
1602,20140414,19,PCA,175.89346083130135
1602,20140414,19,PM2.5,187.0
1608,20140414,20,PCA,192.88052229481846
