,date,hour,type,奥体中心
1260,20140412,10,PCA,60.66523137903537
1260,20140412,10,PM2.5,108.0
1266,20140412,11,PCA,77.2920223915288
1266,20140412,11,PM2.5,127.0
1272,20140412,12,PCA,70.35809981683771
1272,20140412,12,PM2.5,121.0
1278,20140412,13,PCA,44.23736739216882
1278,20140412,13,PM2.5,103.0
1284,20140412,14,PCA,45.17265295518464
1284,20140412,14,PM2.5,112.0
1290,20140412,15,PCA,35.05441666559588
1290,20140412,15,PM2.5,95.0
1296,20140412,16,PCA,39.08301641636412
1296,20140412,16,PM2.5,93.0
1302,20140412,17,PCA,44.453534185890106
1302,20140412,17,PM2.5,94.0
1308,20140412,18,PCA,66.30226498445928
1308,20140412,18,PM2.5,115.0
1314,20140412,19,PCA,75.87043150068827
1314,20140412,19,PM2.5,133.0
1320,20140412,20,PCA,76.69708503025909
1320,20140412,20,PM2.5,128.0
1326,20140412,21,PCA,89.69498409085546
1326,20140412,21,PM2.5,128.0
1332,20140412,22,PCA,97.53653334914301
1332,20140412,22,PM2.5,122.0
1338,20140412,23,PCA,95.34735764544362
1338,20140412,23,PM2.5,115.0
1344,20140413,0,PCA,91.02576166918477
1344,20140413,0,PM2.5,112.0
1350,20140413,1,PCA,96.15424226657905
1350,20140413,1,PM2.5,128.0
1356,20140413,2,PCA,106.07567627919099
1356,20140413,2,PM2.5,148.0
1362,20140413,3,PCA,108.92209615538937
1362,20140413,3,PM2.5,150.0
1368,20140413,4,PCA,115.9294366522816
1368,20140413,4,PM2.5,152.0
1374,20140413,5,PCA,115.48973910585465
1374,20140413,5,PM2.5,147.0
1380,20140413,6,PCA,115.0611691451118
1380,20140413,6,PM2.5,140.0
1386,20140413,7,PCA,116.08473281324851
1386,20140413,7,PM2.5,141.0
1392,20140413,8,PCA,122.64076406022738
1392,20140413,8,PM2.5,149.0
1398,20140413,9,PCA,155.1621274137925
1398,20140413,9,PM2.5,190.0
1404,20140413,10,PCA,155.67017153821638
1404,20140413,10,PM2.5,188.0
1410,20140413,11,PCA,159.88790326783706
1410,20140413,11,PM2.5,196.0
1416,20140413,12,PCA,180.86808672287762
1416,20140413,12,PM2.5,221.0
1422,20140413,13,PCA,175.5286785829295
1422,20140413,13,PM2.5,217.0
1428,20140413,14,PCA,162.00721405202015
1428,20140413,14,PM2.5,214.0
1434,20140413,15,PCA,153.192488321749
1434,20140413,15,PM2.5,201.0
1440,20140413,16,PCA,146.67924600327763
1440,20140413,16,PM2.5,188.0
1446,20140413,17,PCA,145.82556023927785
1446,20140413,17,PM2.5,178.0
1452,20140413,18,PCA,147.88855983119825
1452,20140413,18,PM2.5,176.0
1458,20140413,19,PCA,127.31690018925845
1458,20140413,19,PM2.5,149.0
1464,20140413,20,PCA,124.69748205504484
1464,20140413,20,PM2.5,142.0
1470,20140413,21,PCA,157.8029457546133
1470,20140413,21,PM2.5,172.0
1476,20140413,22,PCA,187.06998382382628
1476,20140413,22,PM2.5,192.0
1482,20140413,23,PCA,211.3831268760563
1482,20140413,23,PM2.5,204.0
1488,20140414,0,PCA,235.49835767798476
1488,20140414,0,PM2.5,228.0
1494,20140414,1,PCA,236.93881275745926
1494,20140414,1,PM2.5,234.0
1500,20140414,2,PCA,232.73228251027956
1500,20140414,2,PM2.5,232.0
1506,20140414,3,PCA,242.50755054125645
1506,20140414,3,PM2.5,245.0
1512,20140414,4,PCA,249.63067587819538
1512,20140414,4,PM2.5,253.0
1518,20140414,5,PCA,250.32411585942822
1518,20140414,5,PM2.5,253.0
