,date,hour,type,八达岭
720,20140408,16,PCA,207.0063264106019
720,20140408,16,PM2.5,226.0
726,20140408,17,PCA,203.4052703591058
726,20140408,17,PM2.5,213.0
732,20140408,18,PCA,190.86051825521344
732,20140408,18,PM2.5,187.0
738,20140408,19,PCA,198.43433209584293
738,20140408,19,PM2.5,190.0
744,20140408,20,PCA,185.61591432858125
744,20140408,20,PM2.5,172.0
750,20140408,21,PCA,179.75181987479425
750,20140408,21,PM2.5,163.0
756,20140408,22,PCA,179.76622364764867
756,20140408,22,PM2.5,155.0
762,20140408,23,PCA,181.4778232135282
762,20140408,23,PM2.5,158.0
768,20140409,0,PCA,179.18865827977461
768,20140409,0,PM2.5,160.0
774,20140409,1,PCA,183.0406667055773
774,20140409,1,PM2.5,162.0
780,20140409,2,PCA,179.2726044588526
780,20140409,2,PM2.5,155.0
786,20140409,3,PCA,184.04240897195217
786,20140409,3,PM2.5,161.0
792,20140409,4,PCA,178.98743068022387
792,20140409,4,PM2.5,160.0
798,20140409,5,PCA,178.55380972145983
798,20140409,5,PM2.5,161.0
804,20140409,6,PCA,193.09939634630166
804,20140409,6,PM2.5,170.0
810,20140409,7,PCA,190.58163426960255
810,20140409,7,PM2.5,171.0
816,20140409,8,PCA,185.65774654722784
816,20140409,8,PM2.5,163.0
822,20140409,9,PCA,165.3590730186163
822,20140409,9,PM2.5,134.0
828,20140409,10,PCA,112.0260320671034
828,20140409,10,PM2.5,61.0
834,20140409,11,PCA,92.00709351275007
834,20140409,11,PM2.5,38.0
840,20140409,12,PCA,87.04683180126182
840,20140409,12,PM2.5,38.0
846,20140409,13,PCA,83.17676916516942
846,20140409,13,PM2.5,38.0
852,20140409,14,PCA,76.25916044081652
852,20140409,14,PM2.5,37.0
858,20140409,15,PCA,62.8910072625568
858,20140409,15,PM2.5,31.0
864,20140409,16,PCA,53.947178119771365
864,20140409,16,PM2.5,31.0
870,20140409,17,PCA,45.70020836351274
870,20140409,17,PM2.5,31.0
876,20140409,18,PCA,37.009354205326126
876,20140409,18,PM2.5,29.0
882,20140409,19,PCA,39.13050041191137
882,20140409,19,PM2.5,40.0
888,20140409,20,PCA,46.69988551118049
888,20140409,20,PM2.5,55.0
894,20140409,21,PCA,52.235432608707775
894,20140409,21,PM2.5,61.0
900,20140409,22,PCA,69.07236221471989
900,20140409,22,PM2.5,80.0
906,20140409,23,PCA,64.99405928976287
906,20140409,23,PM2.5,71.0
912,20140410,0,PCA,63.55948649525626
912,20140410,0,PM2.5,66.0
918,20140410,1,PCA,72.31472472781087
918,20140410,1,PM2.5,81.0
924,20140410,2,PCA,85.628284639678
924,20140410,2,PM2.5,98.0
930,20140410,3,PCA,80.69529099200211
930,20140410,3,PM2.5,88.0
936,20140410,4,PCA,78.47520458511924
936,20140410,4,PM2.5,84.0
942,20140410,5,PCA,78.45930642450199
942,20140410,5,PM2.5,79.0
948,20140410,6,PCA,80.96467549558687
948,20140410,6,PM2.5,74.0
954,20140410,7,PCA,85.64236240816102
954,20140410,7,PM2.5,77.0
960,20140410,8,PCA,85.90531666486592
960,20140410,8,PM2.5,74.0
966,20140410,9,PCA,90.4420605826817
966,20140410,9,PM2.5,77.0
972,20140410,10,PCA,92.55602606645732
972,20140410,10,PM2.5,76.0
978,20140410,11,PCA,78.78300043774864
978,20140410,11,PM2.5,54.0
984,20140410,12,PCA,83.95557574124987
984,20140410,12,PM2.5,59.0
990,20140410,13,PCA,90.48627961467679
990,20140410,13,PM2.5,65.0
996,20140410,14,PCA,95.569882095408
996,20140410,14,PM2.5,67.0
1002,20140410,15,PCA,98.26923583284947
1002,20140410,15,PM2.5,65.0
1008,20140410,16,PCA,94.96328324379253
1008,20140410,16,PM2.5,55.0
1014,20140410,17,PCA,95.96290873863622
1014,20140410,17,PM2.5,50.0
1020,20140410,18,PCA,96.69141099319607
1020,20140410,18,PM2.5,45.0
1026,20140410,19,PCA,94.03634006369968
1026,20140410,19,PM2.5,42.5
1032,20140410,20,PCA,89.8772525169451
1032,20140410,20,PM2.5,40.0
1038,20140410,21,PCA,81.05333275672085
1038,20140410,21,PM2.5,33.0
1044,20140410,22,PCA,86.7958055279621
1044,20140410,22,PM2.5,43.0
1050,20140410,23,PCA,83.92252504469435
1050,20140410,23,PM2.5,40.0
1056,20140411,0,PCA,78.63992321281015
1056,20140411,0,PM2.5,39.0
1062,20140411,1,PCA,72.51183947725265
1062,20140411,1,PM2.5,38.0
1068,20140411,2,PCA,79.37466260381053
1068,20140411,2,PM2.5,47.0
1074,20140411,3,PCA,77.10175669095402
1074,20140411,3,PM2.5,43.0
1080,20140411,4,PCA,71.15013441983395
1080,20140411,4,PM2.5,41.0
1086,20140411,5,PCA,71.23321860366073
1086,20140411,5,PM2.5,46.0
1092,20140411,6,PCA,66.11171358717165
1092,20140411,6,PM2.5,45.0
1098,20140411,7,PCA,61.074636919785576
1098,20140411,7,PM2.5,44.0
1104,20140411,8,PCA,55.78484712691237
1104,20140411,8,PM2.5,45.0
1110,20140411,9,PCA,37.318460925011095
1110,20140411,9,PM2.5,27.0
1116,20140411,10,PCA,32.03902855536109
1116,20140411,10,PM2.5,28.0
1122,20140411,11,PCA,27.158404814207877
1122,20140411,11,PM2.5,31.0
1128,20140411,12,PCA,16.627220715700105
1128,20140411,12,PM2.5,24.0
1134,20140411,13,PCA,18.613471157642895
1134,20140411,13,PM2.5,35.0
1140,20140411,14,PCA,17.49136735510231
1140,20140411,14,PM2.5,40.0
1146,20140411,15,PCA,17.912943741432233
1146,20140411,15,PM2.5,47.0
1152,20140411,16,PCA,16.838198028532172
1152,20140411,16,PM2.5,50.0
1158,20140411,17,PCA,20.17433405433427
1158,20140411,17,PM2.5,57.0
1164,20140411,18,PCA,25.94001687934433
1164,20140411,18,PM2.5,66.0
1170,20140411,19,PCA,33.523086885454404
1170,20140411,19,PM2.5,77.0
1176,20140411,20,PCA,20.506246020618413
1176,20140411,20,PM2.5,58.0
1182,20140411,21,PCA,18.641238890766193
1182,20140411,21,PM2.5,58.0
1188,20140411,22,PCA,11.704451570129855
1188,20140411,22,PM2.5,50.0
1194,20140411,23,PCA,7.743809918049314
1194,20140411,23,PM2.5,49.0
1200,20140412,0,PCA,10.439013352287608
1200,20140412,0,PM2.5,58.0
1206,20140412,1,PCA,6.383297347380771
1206,20140412,1,PM2.5,55.0
1212,20140412,2,PCA,-8.44626741732875
1212,20140412,2,PM2.5,45.0
1218,20140412,3,PCA,-10.170497265930907
1218,20140412,3,PM2.5,48.0
1224,20140412,4,PCA,-13.569326013995262
1224,20140412,4,PM2.5,46.0
1230,20140412,5,PCA,-7.9808802572449835
1230,20140412,5,PM2.5,56.0
1236,20140412,6,PCA,-16.509674023745973
1236,20140412,6,PM2.5,43.0
1242,20140412,7,PCA,-6.106284120320394
1242,20140412,7,PM2.5,58.0
1248,20140412,8,PCA,0.2912528021582572
1248,20140412,8,PM2.5,62.0
1254,20140412,9,PCA,6.4231802682299595
1254,20140412,9,PM2.5,67.0
1260,20140412,10,PCA,13.307116042930746
1260,20140412,10,PM2.5,72.0
1266,20140412,11,PCA,18.877262826127872
1266,20140412,11,PM2.5,79.0
1272,20140412,12,PCA,12.873453755306441
