,date,hour,type,永定门内
199398,20180306,16,PM2.5,36.0
199404,20180306,17,PCA,-62.160251934662135
199404,20180306,17,PM2.5,33.0
199410,20180306,18,PCA,-48.231791480624494
199410,20180306,18,PM2.5,37.0
199416,20180306,19,PCA,-47.22503429400316
199416,20180306,19,PM2.5,39.0
199422,20180306,20,PCA,-55.625774540522606
199422,20180306,20,PM2.5,36.0
199428,20180306,21,PCA,-63.492898224744785
199428,20180306,21,PM2.5,31.0
199434,20180306,22,PCA,-61.44670741501578
199434,20180306,22,PM2.5,31.0
199440,20180306,23,PCA,-58.005384675494525
199440,20180306,23,PM2.5,27.0
199446,20180307,0,PCA,-64.61218011446151
199446,20180307,0,PM2.5,27.0
199452,20180307,1,PCA,-66.77145458649792
199452,20180307,1,PM2.5,26.0
199458,20180307,2,PCA,-70.73766051388343
199458,20180307,2,PM2.5,25.0
199464,20180307,3,PCA,-71.78777751442324
199464,20180307,3,PM2.5,25.0
199470,20180307,4,PCA,-65.10989084061053
199470,20180307,4,PM2.5,31.0
199476,20180307,5,PCA,-60.07549695334915
199476,20180307,5,PM2.5,34.0
199482,20180307,6,PCA,-70.18439669716427
199482,20180307,6,PM2.5,29.0
199488,20180307,7,PCA,-45.20343707773765
199488,20180307,7,PM2.5,40.0
199494,20180307,8,PCA,-43.04336848530188
199494,20180307,8,PM2.5,41.0
199500,20180307,9,PCA,-43.17584335318264
199500,20180307,9,PM2.5,42.0
199506,20180307,10,PCA,-45.83993338475199
199506,20180307,10,PM2.5,41.0
199512,20180307,11,PCA,-35.55533529962107
199512,20180307,11,PM2.5,49.0
199518,20180307,12,PCA,-45.449533475208355
199518,20180307,12,PM2.5,44.0
199524,20180307,13,PCA,-45.84024282655298
199524,20180307,13,PM2.5,45.0
199530,20180307,14,PCA,-28.561187354832526
199530,20180307,14,PM2.5,56.0
199536,20180307,15,PCA,-19.533402762797536
199536,20180307,15,PM2.5,61.0
199542,20180307,16,PCA,-28.040322074876272
199542,20180307,16,PM2.5,54.0
199548,20180307,17,PCA,-16.399703819264527
199548,20180307,17,PM2.5,62.0
199554,20180307,18,PCA,-13.002469192423009
199554,20180307,18,PM2.5,64.0
199560,20180307,19,PCA,-8.886166513375905
199560,20180307,19,PM2.5,65.0
199566,20180307,20,PCA,-12.02324010681643
199566,20180307,20,PM2.5,61.0
199572,20180307,21,PCA,-2.471740155229851
199572,20180307,21,PM2.5,66.0
199578,20180307,22,PCA,-7.289038205929008
199578,20180307,22,PM2.5,63.0
199584,20180307,23,PCA,-1.7031191966095174
199584,20180307,23,PM2.5,66.0
199590,20180308,0,PCA,-3.4411063742787866
199590,20180308,0,PM2.5,65.0
199596,20180308,1,PCA,-21.18569427692242
199596,20180308,1,PM2.5,55.0
199602,20180308,2,PCA,-36.844587425461974
199602,20180308,2,PM2.5,47.0
199608,20180308,3,PCA,-55.88007406360939
199608,20180308,3,PM2.5,37.0
199614,20180308,4,PCA,-84.5587588793678
199614,20180308,4,PM2.5,22.0
199620,20180308,5,PCA,-94.65684992964368
199620,20180308,5,PM2.5,18.0
199626,20180308,6,PCA,-105.1070803067344
199626,20180308,6,PM2.5,12.0
199632,20180308,7,PCA,-96.56613500387186
199632,20180308,7,PM2.5,13.0
199638,20180308,8,PCA,-86.21092995395706
199638,20180308,8,PM2.5,15.0
199644,20180308,9,PCA,-87.81190046401701
199644,20180308,9,PM2.5,12.0
199650,20180308,10,PCA,-89.74891251891249
199650,20180308,10,PM2.5,13.0
199656,20180308,11,PCA,-88.45096451064323
199656,20180308,11,PM2.5,15.0
199662,20180308,12,PCA,-80.97220325391906
199662,20180308,12,PM2.5,18.0
199668,20180308,13,PCA,-56.884169704403185
199668,20180308,13,PM2.5,34.0
199674,20180308,14,PCA,-50.253201454418694
199674,20180308,14,PM2.5,42.0
199680,20180308,15,PCA,-13.577135766836845
199680,20180308,15,PM2.5,68.0
199686,20180308,16,PCA,3.5620412162343524
199686,20180308,16,PM2.5,79.0
199692,20180308,17,PCA,9.575932349355407
199692,20180308,17,PM2.5,83.0
199698,20180308,18,PCA,5.301616634702336
199698,20180308,18,PM2.5,80.0
199704,20180308,19,PCA,35.992510292848145
199704,20180308,19,PM2.5,99.0
199710,20180308,20,PCA,21.801348206191726
199710,20180308,20,PM2.5,87.0
199716,20180308,21,PCA,10.125563029032813
199716,20180308,21,PM2.5,76.0
199722,20180308,22,PCA,-0.31723574271189114
199722,20180308,22,PM2.5,68.0
199728,20180308,23,PCA,-8.26621221509955
199728,20180308,23,PM2.5,63.0
199734,20180309,0,PCA,8.52467958948276
199734,20180309,0,PM2.5,73.0
199740,20180309,1,PCA,-0.886072423989923
199740,20180309,1,PM2.5,68.0
199746,20180309,2,PCA,4.605703497514587
199746,20180309,2,PM2.5,72.0
199752,20180309,3,PCA,9.551792324385984
199752,20180309,3,PM2.5,75.0
199758,20180309,4,PCA,0.8365019255107708
199758,20180309,4,PM2.5,70.0
199764,20180309,5,PCA,-10.942655212602602
199764,20180309,5,PM2.5,64.0
199770,20180309,6,PCA,-15.30404958620052
199770,20180309,6,PM2.5,60.0
199776,20180309,7,PCA,-10.816212243036906
199776,20180309,7,PM2.5,62.0
199782,20180309,8,PCA,-12.839913132946128
199782,20180309,8,PM2.5,60.0
199788,20180309,9,PCA,-4.471956398324117
199788,20180309,9,PM2.5,65.0
199794,20180309,10,PCA,17.857069514053155
199794,20180309,10,PM2.5,79.5
199800,20180309,11,PCA,40.186095426430434
199800,20180309,11,PM2.5,94.0
199806,20180309,12,PCA,62.400321313517914
199806,20180309,12,PM2.5,109.0
199812,20180309,13,PCA,56.523576091573275
199812,20180309,13,PM2.5,107.0
199818,20180309,14,PCA,71.7033052186993
199818,20180309,14,PM2.5,121.0
199824,20180309,15,PCA,86.054751935743
199824,20180309,15,PM2.5,132.0
199830,20180309,16,PCA,97.08606800346395
199830,20180309,16,PM2.5,138.0
199836,20180309,17,PCA,125.09032229290483
199836,20180309,17,PM2.5,155.0
199842,20180309,18,PCA,125.23842650729944
199842,20180309,18,PM2.5,153.0
199848,20180309,19,PCA,140.84162480176062
199848,20180309,19,PM2.5,161.0
199854,20180309,20,PCA,162.36631572771128
199854,20180309,20,PM2.5,170.0
199860,20180309,21,PCA,165.79087543846097
199860,20180309,21,PM2.5,168.0
199866,20180309,22,PCA,139.94918748912482
199866,20180309,22,PM2.5,149.0
199872,20180309,23,PCA,128.88424384064183
199872,20180309,23,PM2.5,142.0
199878,20180310,0,PCA,152.73482279492177
199878,20180310,0,PM2.5,158.0
199884,20180310,1,PCA,144.10984607114472
199884,20180310,1,PM2.5,152.0
199890,20180310,2,PCA,137.45597409744502
199890,20180310,2,PM2.5,148.0
199896,20180310,3,PCA,127.9156371874007
199896,20180310,3,PM2.5,143.0
199902,20180310,4,PCA,125.08981547392537
199902,20180310,4,PM2.5,143.0
199908,20180310,5,PCA,110.11887026986624
199908,20180310,5,PM2.5,136.0
199914,20180310,6,PCA,123.21756133201242
199914,20180310,6,PM2.5,144.0
199920,20180310,7,PCA,137.10753257357143
199920,20180310,7,PM2.5,151.0
199926,20180310,8,PCA,142.56932511430858
199926,20180310,8,PM2.5,156.0
199932,20180310,9,PCA,136.9524713756778
199932,20180310,9,PM2.5,153.0
199938,20180310,10,PCA,136.11463280769397
199938,20180310,10,PM2.5,151.0
199944,20180310,11,PCA,118.58585521565847
199944,20180310,11,PM2.5,143.0
199950,20180310,12,PCA,128.9110024385006
199950,20180310,12,PM2.5,151.0
199956,20180310,13,PCA,177.02385312161547
199956,20180310,13,PM2.5,183.0
199962,20180310,14,PCA,168.9542573508634
199962,20180310,14,PM2.5,177.0
199968,20180310,15,PCA,120.38738477229917
199968,20180310,15,PM2.5,147.0
199974,20180310,16,PCA,74.65663218239281
199974,20180310,16,PM2.5,123.0
199980,20180310,17,PCA,47.685760936325956
199980,20180310,17,PM2.5,106.0
199986,20180310,18,PCA,31.80207218562508
199986,20180310,18,PM2.5,96.0
199992,20180310,19,PCA,19.67148794201692
199992,20180310,19,PM2.5,87.0
199998,20180310,20,PCA,-30.205806922244125
199998,20180310,20,PM2.5,55.0
200004,20180310,21,PCA,-55.8283432415138
200004,20180310,21,PM2.5,38.0
200010,20180310,22,PCA,-64.72713993751812
200010,20180310,22,PM2.5,31.0
200016,20180310,23,PCA,-82.11938482347445
200016,20180310,23,PM2.5,22.0
200022,20180311,0,PCA,-73.23668519238126
200022,20180311,0,PM2.5,28.0
200028,20180311,1,PCA,-61.93854864242495
200028,20180311,1,PM2.5,36.0
200034,20180311,2,PCA,-63.748292136040476
200034,20180311,2,PM2.5,37.0
200052,20180311,5,PCA,-55.24958263795762
200052,20180311,5,PM2.5,43.0
200058,20180311,6,PCA,-33.89457250042969
200058,20180311,6,PM2.5,50.0
200064,20180311,7,PCA,-9.719397752799932
200064,20180311,7,PM2.5,62.0
200070,20180311,8,PCA,-1.208820767262736
200070,20180311,8,PM2.5,68.0
200076,20180311,9,PCA,-3.745047546129507
200076,20180311,9,PM2.5,68.0
200082,20180311,10,PCA,-6.128821475496633
200082,20180311,10,PM2.5,66.0
200088,20180311,11,PCA,-4.127886441068299
200088,20180311,11,PM2.5,67.0
200094,20180311,12,PCA,-11.008266486806939
200094,20180311,12,PM2.5,63.0
200100,20180311,13,PCA,-18.575254870878396
200100,20180311,13,PM2.5,60.0
200106,20180311,14,PCA,-9.702322744601412
200106,20180311,14,PM2.5,66.0
200112,20180311,15,PCA,-4.659310742262711
200112,20180311,15,PM2.5,69.0
200118,20180311,16,PCA,0.44642582274122106
200118,20180311,16,PM2.5,72.0
200124,20180311,17,PCA,16.18393690898464
200124,20180311,17,PM2.5,82.0
200130,20180311,18,PCA,43.25159257952452
200130,20180311,18,PM2.5,99.0
200136,20180311,19,PCA,56.000043045907226
200136,20180311,19,PM2.5,106.0
200142,20180311,20,PCA,54.3209510181864
200142,20180311,20,PM2.5,105.0
200148,20180311,21,PCA,62.4126494888046
200148,20180311,21,PM2.5,111.0
200154,20180311,22,PCA,65.21699192120478
200154,20180311,22,PM2.5,113.0
200160,20180311,23,PCA,25.332325394708707
200160,20180311,23,PM2.5,81.0
200166,20180312,0,PCA,22.55739287275008
200166,20180312,0,PM2.5,79.0
200172,20180312,1,PCA,68.91310842979941
200172,20180312,1,PM2.5,110.0
200178,20180312,2,PCA,83.59247651359348
200178,20180312,2,PM2.5,120.0
200184,20180312,3,PCA,83.0921823789279
200184,20180312,3,PM2.5,121.0
200190,20180312,4,PCA,51.53366064292096
200190,20180312,4,PM2.5,103.0
200196,20180312,5,PCA,49.09349246662826
200196,20180312,5,PM2.5,103.0
200202,20180312,6,PCA,49.27681006429789
200202,20180312,6,PM2.5,102.0
200208,20180312,7,PCA,59.09090092066306
200208,20180312,7,PM2.5,108.0
200214,20180312,8,PCA,69.40783344213621
200214,20180312,8,PM2.5,113.0
200220,20180312,9,PCA,67.91938486550244
200220,20180312,9,PM2.5,112.0
200226,20180312,10,PCA,66.70182824845794
200226,20180312,10,PM2.5,110.0
200232,20180312,11,PCA,111.33942919096411
200232,20180312,11,PM2.5,137.0
200238,20180312,12,PCA,135.42613541826492
200238,20180312,12,PM2.5,154.0
200244,20180312,13,PCA,159.51284164556574
200244,20180312,13,PM2.5,171.0
200250,20180312,14,PCA,169.4750562419275
200250,20180312,14,PM2.5,181.0
200256,20180312,15,PCA,173.22046616360106
200256,20180312,15,PM2.5,186.0
200262,20180312,16,PCA,176.27155363592072
200262,20180312,16,PM2.5,190.0
200268,20180312,17,PCA,59.87140341899501
200268,20180312,17,PM2.5,159.0
200274,20180312,18,PCA,82.80177654896158
200274,20180312,18,PM2.5,128.0
200280,20180312,19,PCA,214.00348811639148
200280,20180312,19,PM2.5,217.0
200286,20180312,20,PCA,240.9830280622425
200286,20180312,20,PM2.5,226.0
200292,20180312,21,PCA,251.26235276641444
200292,20180312,21,PM2.5,230.0
200298,20180312,22,PCA,263.2999329217595
200298,20180312,22,PM2.5,239.0
200304,20180312,23,PCA,259.0700975048498
200304,20180312,23,PM2.5,236.0
200310,20180313,0,PCA,253.91229180861183
200310,20180313,0,PM2.5,234.0
200316,20180313,1,PCA,256.47252276234263
200316,20180313,1,PM2.5,236.0
200322,20180313,2,PCA,249.24294162692254
200322,20180313,2,PM2.5,233.0
200328,20180313,3,PCA,237.32098059149936
200328,20180313,3,PM2.5,225.0
200334,20180313,4,PCA,244.85978012945208
200334,20180313,4,PM2.5,228.0
200340,20180313,5,PCA,242.18631241699762
200340,20180313,5,PM2.5,225.0
200346,20180313,6,PCA,243.02111464858697
200346,20180313,6,PM2.5,225.5
200352,20180313,7,PCA,243.8559168801765
200352,20180313,7,PM2.5,226.0
200358,20180313,8,PCA,235.10468239955588
200358,20180313,8,PM2.5,220.0
200364,20180313,9,PCA,244.3781481953321
200364,20180313,9,PM2.5,228.0
200370,20180313,10,PCA,263.8570959972748
200370,20180313,10,PM2.5,243.0
200376,20180313,11,PCA,296.59964559026815
200376,20180313,11,PM2.5,269.0
200382,20180313,12,PCA,304.68991978393797
200382,20180313,12,PM2.5,277.0
200388,20180313,13,PCA,301.5078136692478
200388,20180313,13,PM2.5,275.0
200394,20180313,14,PCA,310.10043382505086
200394,20180313,14,PM2.5,283.0
200400,20180313,15,PCA,324.6713113567905
200400,20180313,15,PM2.5,295.0
200406,20180313,16,PCA,318.52536572969825
200406,20180313,16,PM2.5,291.0
200412,20180313,17,PCA,310.9195432925722
200412,20180313,17,PM2.5,288.0
200418,20180313,18,PCA,311.53531122615124
200418,20180313,18,PM2.5,287.0
200424,20180313,19,PCA,342.46061203356084
200424,20180313,19,PM2.5,290.0
200430,20180313,20,PCA,389.4883193831139
200430,20180313,20,PM2.5,316.0
200436,20180313,21,PCA,397.0476501746436
200436,20180313,21,PM2.5,321.0
200442,20180313,22,PCA,398.40320350948696
200442,20180313,22,PM2.5,324.0
200448,20180313,23,PCA,401.064328240682
200448,20180313,23,PM2.5,326.0
200454,20180314,0,PCA,392.3042904322619
200454,20180314,0,PM2.5,322.0
200460,20180314,1,PCA,398.395194302087
200460,20180314,1,PM2.5,326.0
200466,20180314,2,PCA,419.94042788167667
200466,20180314,2,PM2.5,347.0
200472,20180314,3,PCA,462.5830235657184
200472,20180314,3,PM2.5,395.0
200478,20180314,4,PCA,455.25962574448545
200478,20180314,4,PM2.5,391.0
200484,20180314,5,PCA,389.4599024954894
200484,20180314,5,PM2.5,338.0
200490,20180314,6,PCA,218.0398770542996
200490,20180314,6,PM2.5,217.0
200496,20180314,7,PCA,199.9771487523839
200496,20180314,7,PM2.5,203.0
200502,20180314,8,PCA,197.86824929173915
200502,20180314,8,PM2.5,200.0
200508,20180314,9,PCA,196.56870113553487
200508,20180314,9,PM2.5,198.0
200514,20180314,10,PCA,126.5793270868563
200514,20180314,10,PM2.5,149.0
200520,20180314,11,PCA,134.51601082130875
200520,20180314,11,PM2.5,155.0
200526,20180314,12,PCA,142.27020563308247
200526,20180314,12,PM2.5,160.0
200532,20180314,13,PCA,167.54029301804465
200532,20180314,13,PM2.5,179.0
200538,20180314,14,PCA,175.34208118723018
200538,20180314,14,PM2.5,184.0
200544,20180314,15,PCA,154.9588610771889
200544,20180314,15,PM2.5,170.0
200550,20180314,16,PCA,167.71362919653018
200550,20180314,16,PM2.5,178.0
200556,20180314,17,PCA,205.47669894083077
200556,20180314,17,PM2.5,199.0
200562,20180314,18,PCA,171.7957974845852
200562,20180314,18,PM2.5,173.0
200568,20180314,19,PCA,185.60806758239278
200568,20180314,19,PM2.5,181.0
200574,20180314,20,PCA,200.7612477744219
200574,20180314,20,PM2.5,194.0
200580,20180314,21,PCA,220.490960321051
200580,20180314,21,PM2.5,211.0
200586,20180314,22,PCA,239.88308385803148
200586,20180314,22,PM2.5,228.0
200592,20180314,23,PCA,248.89118109966245
200592,20180314,23,PM2.5,234.0
200598,20180315,0,PCA,252.18357731554394
200598,20180315,0,PM2.5,239.0
200604,20180315,1,PCA,214.53622924916309
200604,20180315,1,PM2.5,215.0
200610,20180315,2,PCA,-44.19240705357413
200610,20180315,2,PM2.5,48.0
200616,20180315,3,PCA,-73.73726237770809
200616,20180315,3,PM2.5,8.0
200622,20180315,4,PCA,-81.5167300051996
200622,20180315,4,PM2.5,8.0
200628,20180315,5,PCA,-93.08557278922306
200628,20180315,5,PM2.5,8.0
200634,20180315,6,PCA,-83.01874022770663
200634,20180315,6,PM2.5,10.0
200640,20180315,7,PCA,-108.74977945328015
200640,20180315,7,PM2.5,7.0
200646,20180315,8,PCA,-97.17123258636946
200646,20180315,8,PM2.5,7.0
200652,20180315,9,PCA,-110.58356932259183
200652,20180315,9,PM2.5,8.0
200658,20180315,10,PCA,-111.21126643353504
200658,20180315,10,PM2.5,6.0
200664,20180315,11,PCA,-109.69541242943956
200664,20180315,11,PM2.5,9.0
200670,20180315,12,PCA,-109.7764710972057
200670,20180315,12,PM2.5,9.0
200676,20180315,13,PCA,-113.76283172343247
200676,20180315,13,PM2.5,3.0
200682,20180315,14,PCA,-110.58381362124632
200682,20180315,14,PM2.5,7.0
200688,20180315,15,PCA,-112.9560320811626
200688,20180315,15,PM2.5,3.0
200694,20180315,16,PCA,-112.97356015872782
200694,20180315,16,PM2.5,3.0
200700,20180315,17,PCA,-109.59736856587908
200700,20180315,17,PM2.5,7.0
200706,20180315,18,PCA,-112.42035955966941
200706,20180315,18,PM2.5,3.0
200712,20180315,19,PCA,-61.56072036197456
200712,20180315,19,PM2.5,14.0
200718,20180315,20,PCA,-52.75573751135126
200718,20180315,20,PM2.5,24.0
200724,20180315,21,PCA,-49.183505023069394
200724,20180315,21,PM2.5,30.0
200730,20180315,22,PCA,-32.915487791643194
200730,20180315,22,PM2.5,34.0
200736,20180315,23,PCA,-46.17104253823299
200736,20180315,23,PM2.5,28.0
200742,20180316,0,PCA,-52.99925892945377
200742,20180316,0,PM2.5,29.0
200748,20180316,1,PCA,-77.72371386545521
200748,20180316,1,PM2.5,22.0
200754,20180316,2,PCA,-93.0361427992062
200754,20180316,2,PM2.5,14.0
200760,20180316,3,PCA,-82.74471957812082
200760,20180316,3,PM2.5,18.0
200766,20180316,4,PCA,-86.20741151079213
200766,20180316,4,PM2.5,18.0
200772,20180316,5,PCA,-95.12076353121323
200772,20180316,5,PM2.5,16.0
200778,20180316,6,PCA,-72.60085768965922
200778,20180316,6,PM2.5,26.0
200784,20180316,7,PCA,-68.57032705167343
200784,20180316,7,PM2.5,27.0
200790,20180316,8,PCA,-63.503629150933016
200790,20180316,8,PM2.5,30.0
200796,20180316,9,PCA,-79.5181411453635
200796,20180316,9,PM2.5,25.0
200802,20180316,10,PCA,-85.89516442453255
200802,20180316,10,PM2.5,21.0
200808,20180316,11,PCA,-79.21380925602011
200808,20180316,11,PM2.5,27.0
200814,20180316,12,PCA,-72.1109036473757
200814,20180316,12,PM2.5,31.0
200820,20180316,13,PCA,-72.1670306168081
200820,20180316,13,PM2.5,32.0
200826,20180316,14,PCA,-61.90003593830771
200826,20180316,14,PM2.5,40.0
200832,20180316,15,PCA,-49.96881989555239
200832,20180316,15,PM2.5,47.0
200838,20180316,16,PCA,-59.93090508265531
200838,20180316,16,PM2.5,41.0
200844,20180316,17,PCA,-55.33953506365526
200844,20180316,17,PM2.5,44.0
200850,20180316,18,PCA,-57.79670105994688
200850,20180316,18,PM2.5,41.0
200856,20180316,19,PCA,-55.827652269065545
200856,20180316,19,PM2.5,41.0
200862,20180316,20,PCA,-48.54275432347708
200862,20180316,20,PM2.5,42.0
200868,20180316,21,PCA,-41.51201698428942
200868,20180316,21,PM2.5,44.0
200874,20180316,22,PCA,-35.494862133369324
200874,20180316,22,PM2.5,48.0
200880,20180316,23,PCA,-38.38039176003452
200880,20180316,23,PM2.5,47.0
200886,20180317,0,PCA,-53.305877333228764
200886,20180317,0,PM2.5,38.0
200892,20180317,1,PCA,-63.18094728331582
200892,20180317,1,PM2.5,33.0
200898,20180317,2,PCA,-60.66701742533704
200898,20180317,2,PM2.5,34.0
200904,20180317,3,PCA,-52.911455022838204
200904,20180317,3,PM2.5,38.0
200910,20180317,4,PCA,-62.28922724690161
200910,20180317,4,PM2.5,32.0
200916,20180317,5,PCA,-54.2390454987589
200916,20180317,5,PM2.5,35.0
200922,20180317,6,PCA,-54.11168573524076
200922,20180317,6,PM2.5,36.0
200928,20180317,7,PCA,-41.907977584961195
200928,20180317,7,PM2.5,42.0
200934,20180317,8,PCA,-26.95138773863818
200934,20180317,8,PM2.5,44.0
200940,20180317,9,PCA,-36.167185028755924
200940,20180317,9,PM2.5,45.0
200946,20180317,10,PCA,-21.346042124970413
200946,20180317,10,PM2.5,52.0
200952,20180317,11,PCA,-21.112224442646923
200952,20180317,11,PM2.5,56.0
200958,20180317,12,PCA,7.103778021783621
200958,20180317,12,PM2.5,74.0
200964,20180317,13,PCA,8.329856343712379
200964,20180317,13,PM2.5,75.0
200970,20180317,14,PCA,16.505416217204225
200970,20180317,14,PM2.5,80.0
200976,20180317,15,PCA,12.956047356655496
200976,20180317,15,PM2.5,77.0
200982,20180317,16,PCA,9.708178783005181
200982,20180317,16,PM2.5,75.0
200988,20180317,17,PCA,8.343822120362217
200988,20180317,17,PM2.5,74.0
200994,20180317,18,PCA,7.383224674521188
200994,20180317,18,PM2.5,73.0
201000,20180317,19,PCA,17.989430605172238
201000,20180317,19,PM2.5,80.0
201006,20180317,20,PCA,25.875682514894667
201006,20180317,20,PM2.5,85.0
201012,20180317,21,PCA,14.956263599749763
201012,20180317,21,PM2.5,78.0
201018,20180317,22,PCA,13.355835971460634
201018,20180317,22,PM2.5,77.0
201024,20180317,23,PCA,20.31917341601673
201024,20180317,23,PM2.5,82.0
201030,20180318,0,PCA,25.821231022462573
201030,20180318,0,PM2.5,86.0
201036,20180318,1,PCA,33.08981626755459
201036,20180318,1,PM2.5,91.0
201042,20180318,2,PCA,28.54915022734914
201042,20180318,2,PM2.5,88.0
201048,20180318,3,PCA,25.752848307972183
201048,20180318,3,PM2.5,86.0
201054,20180318,4,PCA,38.27110661060748
201054,20180318,4,PM2.5,94.0
201060,20180318,5,PCA,38.10421247985108
201060,20180318,5,PM2.5,94.0
201066,20180318,6,PCA,39.72015957099724
201066,20180318,6,PM2.5,96.0
201072,20180318,7,PCA,33.81513686814882
201072,20180318,7,PM2.5,92.0
201078,20180318,8,PCA,36.18702896463958
201078,20180318,8,PM2.5,94.0
201084,20180318,9,PCA,43.03019374810074
201084,20180318,9,PM2.5,99.0
201108,20180318,13,PCA,71.08947818047942
201108,20180318,13,PM2.5,120.0
201144,20180318,19,PCA,58.192460712914176
201144,20180318,19,PM2.5,108.0
201150,20180318,20,PCA,59.739569278308984
201150,20180318,20,PM2.5,108.0
201156,20180318,21,PCA,84.48872860265946
201156,20180318,21,PM2.5,124.0
201162,20180318,22,PCA,109.23788792700996
201162,20180318,22,PM2.5,140.0
201168,20180318,23,PCA,110.95689997559529
201168,20180318,23,PM2.5,141.0
201174,20180319,0,PCA,121.1902340742679
201174,20180319,0,PM2.5,145.0
201180,20180319,1,PCA,121.02413406391085
201180,20180319,1,PM2.5,145.0
201186,20180319,2,PCA,113.34963032917815
201186,20180319,2,PM2.5,141.0
201192,20180319,3,PCA,101.03594913797397
201192,20180319,3,PM2.5,134.0
201198,20180319,4,PCA,104.50357509401404
201198,20180319,4,PM2.5,135.0
201204,20180319,5,PCA,104.1056658117734
201204,20180319,5,PM2.5,134.0
201210,20180319,6,PCA,104.81308458831252
201210,20180319,6,PM2.5,134.0
201216,20180319,7,PCA,109.40899624134943
201216,20180319,7,PM2.5,136.0
201222,20180319,8,PCA,120.73267007627105
201222,20180319,8,PM2.5,142.0
201228,20180319,9,PCA,97.43184018655094
201228,20180319,9,PM2.5,128.0
201234,20180319,10,PCA,34.60285904406627
201234,20180319,10,PM2.5,91.0
201240,20180319,11,PCA,-50.20780784946021
201240,20180319,11,PM2.5,40.0
201246,20180319,12,PCA,-47.433744776966236
201246,20180319,12,PM2.5,42.0
201252,20180319,13,PCA,-47.05009311878603
201252,20180319,13,PM2.5,44.0
201258,20180319,14,PCA,-1.2694745668113883
201258,20180319,14,PM2.5,74.0
201264,20180319,15,PCA,-31.385424316298813
201264,20180319,15,PM2.5,56.0
201270,20180319,16,PCA,-64.77395781942496
201270,20180319,16,PM2.5,35.0
201276,20180319,17,PCA,-83.44509781721558
201276,20180319,17,PM2.5,24.0
201282,20180319,18,PCA,-88.0851447231517
201282,20180319,18,PM2.5,21.0
201288,20180319,19,PCA,-75.37632243022287
201288,20180319,19,PM2.5,28.0
201294,20180319,20,PCA,-66.84310731582269
201294,20180319,20,PM2.5,30.0
201300,20180319,21,PCA,-54.06999554537679
201300,20180319,21,PM2.5,30.0
201306,20180319,22,PCA,-52.11058761972199
201306,20180319,22,PM2.5,34.0
201312,20180319,23,PCA,-56.803422448226186
201312,20180319,23,PM2.5,32.0
201318,20180320,0,PCA,-4.819240626912059
201318,20180320,0,PM2.5,59.0
201324,20180320,1,PCA,10.947632616748603
201324,20180320,1,PM2.5,74.0
201330,20180320,2,PCA,-9.497560431249829
201330,20180320,2,PM2.5,63.0
201336,20180320,3,PCA,-39.43535828088642
201336,20180320,3,PM2.5,47.0
201342,20180320,4,PCA,-35.69443418978638
201342,20180320,4,PM2.5,47.0
201348,20180320,5,PCA,-44.1649601788728
201348,20180320,5,PM2.5,42.0
201354,20180320,6,PCA,-97.39293232110657
201354,20180320,6,PM2.5,13.0
201360,20180320,7,PCA,-91.55520708200683
201360,20180320,7,PM2.5,12.0
201366,20180320,8,PCA,-92.2594846486083
201366,20180320,8,PM2.5,9.0
201372,20180320,9,PCA,-92.11818709301781
201372,20180320,9,PM2.5,12.0
201378,20180320,10,PCA,-89.26370224501245
201378,20180320,10,PM2.5,15.0
201384,20180320,11,PCA,-93.86782354635356
201384,20180320,11,PM2.5,12.0
201390,20180320,12,PCA,-91.25948677630326
201390,20180320,12,PM2.5,19.0
201396,20180320,13,PCA,-36.58044103234551
201396,20180320,13,PM2.5,15.0
201402,20180320,14,PCA,-105.65212377340703
201402,20180320,14,PM2.5,11.0
201408,20180320,15,PCA,-98.28111046313056
201408,20180320,15,PM2.5,16.0
201414,20180320,16,PCA,-92.8315430788964
201414,20180320,16,PM2.5,17.0
201420,20180320,17,PCA,-71.07712909742966
201420,20180320,17,PM2.5,28.0
201426,20180320,18,PCA,-72.84068486568735
201426,20180320,18,PM2.5,27.0
201432,20180320,19,PCA,-79.21512866379987
201432,20180320,19,PM2.5,21.0
201438,20180320,20,PCA,-69.6086222266058
201438,20180320,20,PM2.5,23.0
201444,20180320,21,PCA,-55.851581664188494
201444,20180320,21,PM2.5,29.0
201450,20180320,22,PCA,-47.581791466680045
201450,20180320,22,PM2.5,33.0
201456,20180320,23,PCA,-41.423263731104164
201456,20180320,23,PM2.5,40.0
201462,20180321,0,PCA,-41.449111340630374
201462,20180321,0,PM2.5,41.0
201468,20180321,1,PCA,-24.813868726182854
201468,20180321,1,PM2.5,52.0
201474,20180321,2,PCA,-19.123331073217
201474,20180321,2,PM2.5,56.0
201480,20180321,3,PCA,-22.41933344776428
201480,20180321,3,PM2.5,52.0
201486,20180321,4,PCA,-24.67111975141314
201486,20180321,4,PM2.5,53.0
201492,20180321,5,PCA,-30.02735231629803
201492,20180321,5,PM2.5,52.0
201498,20180321,6,PCA,-40.84029706950469
201498,20180321,6,PM2.5,45.0
201504,20180321,7,PCA,-32.301341904199994
201504,20180321,7,PM2.5,48.0
201510,20180321,8,PCA,-29.295425536380304
201510,20180321,8,PM2.5,49.0
201516,20180321,9,PCA,-19.619659482457227
201516,20180321,9,PM2.5,57.0
201522,20180321,10,PCA,-15.01179066747867
201522,20180321,10,PM2.5,59.0
201528,20180321,11,PCA,0.49307056475396926
