,date,hour,type,永定门内
1644,20140415,2,PCA,80.46893761394837
1644,20140415,2,PM2.5,43.0
1650,20140415,3,PCA,90.46491913973145
1650,20140415,3,PM2.5,47.0
1656,20140415,4,PCA,95.53447865724357
1656,20140415,4,PM2.5,56.0
1662,20140415,5,PCA,97.33481166107408
1662,20140415,5,PM2.5,66.0
1818,20140416,7,PCA,-20.084819562450402
1818,20140416,7,PM2.5,45.0
1824,20140416,8,PCA,-23.24640359755523
1824,20140416,8,PM2.5,44.0
1830,20140416,9,PCA,-37.58523256449566
1830,20140416,9,PM2.5,35.0
1836,20140416,10,PCA,-39.49858670556691
1836,20140416,10,PM2.5,39.0
1842,20140416,11,PCA,-45.32462794871694
1842,20140416,11,PM2.5,37.0
1848,20140416,12,PCA,-50.4217109612921
1848,20140416,12,PM2.5,37.0
1854,20140416,13,PCA,-42.160811366361266
1854,20140416,13,PM2.5,47.0
1860,20140416,14,PCA,-42.43574508670771
1860,20140416,14,PM2.5,45.0
1866,20140416,15,PCA,-39.26851480691405
1866,20140416,15,PM2.5,46.0
1872,20140416,16,PCA,-41.08278385712525
1872,20140416,16,PM2.5,45.0
1878,20140416,17,PCA,-30.453144149460933
1878,20140416,17,PM2.5,49.0
1884,20140416,18,PCA,-12.21397834878354
1884,20140416,18,PM2.5,57.0
1890,20140416,19,PCA,-5.58539262568882
1890,20140416,19,PM2.5,65.0
1896,20140416,20,PCA,8.306369352226174
1896,20140416,20,PM2.5,65.0
1902,20140416,21,PCA,30.976970308041874
1902,20140416,21,PM2.5,78.0
1908,20140416,22,PCA,37.63224510554994
1908,20140416,22,PM2.5,88.0
1914,20140416,23,PCA,42.54419457124337
1914,20140416,23,PM2.5,94.0
1920,20140417,0,PCA,51.37360985972551
1920,20140417,0,PM2.5,97.0
1926,20140417,1,PCA,64.73745279197993
1926,20140417,1,PM2.5,107.0
1932,20140417,2,PCA,42.55152883216195
1932,20140417,2,PM2.5,80.0
1938,20140417,3,PCA,40.46259904261627
1938,20140417,3,PM2.5,82.0
1944,20140417,4,PCA,58.5828679686825
1944,20140417,4,PM2.5,102.0
1950,20140417,5,PCA,50.44690385747958
1950,20140417,5,PM2.5,100.0
1956,20140417,6,PCA,47.8071073470831
1956,20140417,6,PM2.5,92.0
1962,20140417,7,PCA,38.521725163839
1962,20140417,7,PM2.5,86.0
1968,20140417,8,PCA,35.407935737732785
1968,20140417,8,PM2.5,84.0
1974,20140417,9,PCA,37.6467438543973
1974,20140417,9,PM2.5,89.0
1980,20140417,10,PCA,56.1614755704687
1980,20140417,10,PM2.5,112.0
1986,20140417,11,PCA,39.816178386273606
1986,20140417,11,PM2.5,92.0
1992,20140417,12,PCA,32.038685227435245
1992,20140417,12,PM2.5,85.0
1998,20140417,13,PCA,32.37813405128406
1998,20140417,13,PM2.5,91.0
2004,20140417,14,PCA,20.222340783847038
2004,20140417,14,PM2.5,83.0
2010,20140417,15,PCA,33.07582296660099
2010,20140417,15,PM2.5,104.0
2016,20140417,16,PCA,39.028128702300336
2016,20140417,16,PM2.5,107.0
2022,20140417,17,PCA,50.09353918642063
2022,20140417,17,PM2.5,111.0
2028,20140417,18,PCA,53.886095483180625
2028,20140417,18,PM2.5,101.0
2034,20140417,19,PCA,72.0344430768496
2034,20140417,19,PM2.5,124.0
2040,20140417,20,PCA,75.46049325614574
2040,20140417,20,PM2.5,120.0
2046,20140417,21,PCA,95.36344380403564
2046,20140417,21,PM2.5,131.0
2052,20140417,22,PCA,90.61360795068269
2052,20140417,22,PM2.5,116.0
2058,20140417,23,PCA,114.3428160969552
2058,20140417,23,PM2.5,147.0
2064,20140418,0,PCA,102.2972151084952
2064,20140418,0,PM2.5,128.0
2070,20140418,1,PCA,119.78909787157984
2070,20140418,1,PM2.5,151.0
2076,20140418,2,PCA,120.66801451135859
2076,20140418,2,PM2.5,145.0
2082,20140418,3,PCA,119.60674637641276
2082,20140418,3,PM2.5,145.0
2088,20140418,4,PCA,120.65269569367393
2088,20140418,4,PM2.5,143.0
2094,20140418,5,PCA,119.65047993682111
2094,20140418,5,PM2.5,144.0
2100,20140418,6,PCA,127.07695533969776
2100,20140418,6,PM2.5,152.0
2106,20140418,7,PCA,109.12934353760686
2106,20140418,7,PM2.5,130.0
2112,20140418,8,PCA,111.01186068304243
2112,20140418,8,PM2.5,132.0
2118,20140418,9,PCA,108.72945755269552
2118,20140418,9,PM2.5,132.0
2124,20140418,10,PCA,145.1115805469333
2124,20140418,10,PM2.5,175.0
2130,20140418,11,PCA,165.70359316613218
2130,20140418,11,PM2.5,191.0
2136,20140418,12,PCA,171.49563071884546
2136,20140418,12,PM2.5,188.0
2142,20140418,13,PCA,176.67516986191717
2142,20140418,13,PM2.5,186.5
2148,20140418,14,PCA,173.61258701074715
2148,20140418,14,PM2.5,185.0
2154,20140418,15,PCA,151.12846843133048
2154,20140418,15,PM2.5,167.0
2160,20140418,16,PCA,150.54077303606283
2160,20140418,16,PM2.5,170.0
2166,20140418,17,PCA,151.24957527649997
2166,20140418,17,PM2.5,170.0
2172,20140418,18,PCA,138.73392051203862
2172,20140418,18,PM2.5,152.0
2178,20140418,19,PCA,113.16950376294895
2178,20140418,19,PM2.5,114.0
2184,20140418,20,PCA,63.72343977312623
2184,20140418,20,PM2.5,80.0
2190,20140418,21,PCA,24.987774199456048
2190,20140418,21,PM2.5,68.0
2196,20140418,22,PCA,8.85606634290488
2196,20140418,22,PM2.5,70.0
2202,20140418,23,PCA,-24.176467832134705
2202,20140418,23,PM2.5,48.0
2208,20140419,0,PCA,-15.921064193722094
2208,20140419,0,PM2.5,62.0
2214,20140419,1,PCA,-24.019209560865963
2214,20140419,1,PM2.5,51.0
2220,20140419,2,PCA,1.4009361258923714
2220,20140419,2,PM2.5,75.0
2226,20140419,3,PCA,13.62204311017002
2226,20140419,3,PM2.5,77.0
2232,20140419,4,PCA,17.12335349888708
2232,20140419,4,PM2.5,78.0
2238,20140419,5,PCA,14.914918752612701
2238,20140419,5,PM2.5,70.0
2244,20140419,6,PCA,11.973092099897658
2244,20140419,6,PM2.5,68.0
2250,20140419,7,PCA,7.129337531995066
2250,20140419,7,PM2.5,64.0
2256,20140419,8,PCA,-3.5909177549293694
2256,20140419,8,PM2.5,55.0
2262,20140419,9,PCA,11.513568910807793
2262,20140419,9,PM2.5,75.0
2268,20140419,10,PCA,3.155753758875322
2268,20140419,10,PM2.5,71.0
2274,20140419,11,PCA,-26.84407265238762
2274,20140419,11,PM2.5,44.0
2280,20140419,12,PCA,-44.1696710802289
2280,20140419,12,PM2.5,31.0
2286,20140419,13,PCA,-36.872585878678606
2286,20140419,13,PM2.5,51.0
2292,20140419,14,PCA,-45.22376219440691
2292,20140419,14,PM2.5,44.0
2298,20140419,15,PCA,-46.71156265014125
2298,20140419,15,PM2.5,33.0
2304,20140419,16,PCA,-32.75279975309533
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,-39.54340810345844
2310,20140419,17,PM2.5,48.0
2316,20140419,18,PCA,-47.707703452861836
2316,20140419,18,PM2.5,44.0
2322,20140419,19,PCA,-41.15042807304815
2322,20140419,19,PM2.5,43.0
2328,20140419,20,PCA,-42.14843118795616
2328,20140419,20,PM2.5,42.0
2334,20140419,21,PCA,-41.03408348729997
2334,20140419,21,PM2.5,45.0
2340,20140419,22,PCA,-31.779652276500055
