,date,hour,type,顺义
714,20140408,15,PM2.5,85.0
720,20140408,16,PCA,150.09828579709983
720,20140408,16,PM2.5,176.0
726,20140408,17,PCA,155.6194242395839
726,20140408,17,PM2.5,182.0
732,20140408,18,PCA,140.65120557658997
732,20140408,18,PM2.5,157.0
738,20140408,19,PCA,157.0782744926844
738,20140408,19,PM2.5,173.0
744,20140408,20,PCA,174.9260477832355
744,20140408,20,PM2.5,189.0
750,20140408,21,PCA,164.53460795032055
750,20140408,21,PM2.5,171.0
756,20140408,22,PCA,158.2909596140916
756,20140408,22,PM2.5,160.0
762,20140408,23,PCA,159.53656478785868
762,20140408,23,PM2.5,159.0
768,20140409,0,PCA,148.6621494269449
768,20140409,0,PM2.5,148.0
774,20140409,1,PCA,145.74086261811368
774,20140409,1,PM2.5,143.0
780,20140409,2,PCA,135.6351764926488
780,20140409,2,PM2.5,131.0
786,20140409,3,PCA,155.54659278662274
786,20140409,3,PM2.5,155.0
792,20140409,4,PCA,150.93086811371919
792,20140409,4,PM2.5,152.0
798,20140409,5,PCA,151.92749461898075
798,20140409,5,PM2.5,154.0
804,20140409,6,PCA,159.0446059391305
804,20140409,6,PM2.5,161.0
810,20140409,7,PCA,160.95101198925596
810,20140409,7,PM2.5,162.0
816,20140409,8,PCA,165.550388829919
816,20140409,8,PM2.5,164.0
822,20140409,9,PCA,170.01552977245882
822,20140409,9,PM2.5,175.0
828,20140409,10,PCA,174.7720247088185
828,20140409,10,PM2.5,182.0
834,20140409,11,PCA,152.9774482649528
834,20140409,11,PM2.5,158.0
840,20140409,12,PCA,111.55055862870205
840,20140409,12,PM2.5,106.0
846,20140409,13,PCA,72.52022439233362
846,20140409,13,PM2.5,55.0
852,20140409,14,PCA,75.82485022877555
852,20140409,14,PM2.5,63.0
858,20140409,15,PCA,78.4928014594587
858,20140409,15,PM2.5,61.0
864,20140409,16,PCA,69.46416490854484
864,20140409,16,PM2.5,55.0
870,20140409,17,PCA,72.8861512436603
870,20140409,17,PM2.5,74.0
876,20140409,18,PCA,56.92237645272757
876,20140409,18,PM2.5,67.0
882,20140409,19,PCA,56.27848570902566
882,20140409,19,PM2.5,70.0
888,20140409,20,PCA,74.11984401613694
888,20140409,20,PM2.5,104.0
894,20140409,21,PCA,52.021448585585716
894,20140409,21,PM2.5,77.0
900,20140409,22,PCA,46.122677714026274
900,20140409,22,PM2.5,76.0
906,20140409,23,PCA,47.96254232301432
906,20140409,23,PM2.5,81.0
912,20140410,0,PCA,60.448875788087165
912,20140410,0,PM2.5,93.0
942,20140410,5,PCA,104.66630706427006
942,20140410,5,PM2.5,110.0
948,20140410,6,PCA,113.10365509399418
948,20140410,6,PM2.5,113.0
954,20140410,7,PCA,115.25098131373485
954,20140410,7,PM2.5,112.0
960,20140410,8,PCA,101.55354408204876
960,20140410,8,PM2.5,90.0
966,20140410,9,PCA,105.14969441409758
966,20140410,9,PM2.5,90.0
972,20140410,10,PCA,120.37568128457642
972,20140410,10,PM2.5,90.0
978,20140410,11,PCA,124.53453811583026
978,20140410,11,PM2.5,87.0
984,20140410,12,PCA,127.40443941359538
984,20140410,12,PM2.5,73.0
990,20140410,13,PCA,131.4057309934762
990,20140410,13,PM2.5,66.0
996,20140410,14,PCA,138.41097848132347
996,20140410,14,PM2.5,69.0
1002,20140410,15,PCA,138.21789831472074
1002,20140410,15,PM2.5,61.0
1008,20140410,16,PCA,116.53608661755739
1008,20140410,16,PM2.5,41.0
1014,20140410,17,PCA,118.37756130540419
1014,20140410,17,PM2.5,50.0
1020,20140410,18,PCA,117.10212275953336
1020,20140410,18,PM2.5,53.0
1026,20140410,19,PCA,114.55380967429801
1026,20140410,19,PM2.5,56.5
1032,20140410,20,PCA,116.97796189966104
1032,20140410,20,PM2.5,60.0
1038,20140410,21,PCA,128.67129728683628
1038,20140410,21,PM2.5,70.0
1044,20140410,22,PCA,144.40075772231083
1044,20140410,22,PM2.5,92.0
1050,20140410,23,PCA,139.44362857154127
1050,20140410,23,PM2.5,85.0
1056,20140411,0,PCA,143.8206105305201
1056,20140411,0,PM2.5,93.0
1062,20140411,1,PCA,143.61705307252893
1062,20140411,1,PM2.5,103.0
1068,20140411,2,PCA,129.70634409009665
1068,20140411,2,PM2.5,96.0
1116,20140411,10,PCA,36.28673986697994
1116,20140411,10,PM2.5,56.0
1122,20140411,11,PCA,17.58377908234722
1122,20140411,11,PM2.5,42.0
1128,20140411,12,PCA,-4.2713242136513285
1128,20140411,12,PM2.5,23.0
1134,20140411,13,PCA,-19.108426726923366
1134,20140411,13,PM2.5,13.0
1140,20140411,14,PCA,-19.335707864339337
1140,20140411,14,PM2.5,20.0
1146,20140411,15,PCA,-9.894806961906498
1146,20140411,15,PM2.5,35.0
1152,20140411,16,PCA,-5.2725602116491155
1152,20140411,16,PM2.5,45.0
1158,20140411,17,PCA,-3.119294243797512
1158,20140411,17,PM2.5,52.0
1164,20140411,18,PCA,-7.65161123448697
1164,20140411,18,PM2.5,49.0
1170,20140411,19,PCA,1.8890559581802433
1170,20140411,19,PM2.5,57.0
1176,20140411,20,PCA,5.352580447447207
1176,20140411,20,PM2.5,62.0
1182,20140411,21,PCA,13.012844740858663
1182,20140411,21,PM2.5,71.0
1188,20140411,22,PCA,28.921110839200963
1188,20140411,22,PM2.5,89.0
1194,20140411,23,PCA,43.25949546441301
1194,20140411,23,PM2.5,104.0
1200,20140412,0,PCA,40.63807658354055
1200,20140412,0,PM2.5,104.0
1206,20140412,1,PCA,36.74437767815074
1206,20140412,1,PM2.5,104.0
1212,20140412,2,PCA,30.835404139957447
1212,20140412,2,PM2.5,98.0
1218,20140412,3,PCA,32.70979704717306
1218,20140412,3,PM2.5,101.0
1224,20140412,4,PCA,33.1963844601618
1224,20140412,4,PM2.5,101.0
1230,20140412,5,PCA,33.03093889375513
1230,20140412,5,PM2.5,99.0
1236,20140412,6,PCA,24.76876650203757
1236,20140412,6,PM2.5,84.0
1242,20140412,7,PCA,18.227280409164475
1242,20140412,7,PM2.5,74.0
1248,20140412,8,PCA,17.499298271354693
1248,20140412,8,PM2.5,73.0
1254,20140412,9,PCA,40.950003182210914
